dataset,query_id,completed,accesses,dense,sparse,k,independent_checks,source
msmarco-passage-trec-dl-2019,1037798,False,6463,1463,5000,13,13,Only Dense extended; original Sparse prefix retained without reinterpretation.
msmarco-passage-trec-dl-2019,1063750,False,7184,2184,5000,17,17,Only Dense extended; original Sparse prefix retained without reinterpretation.
msmarco-passage-trec-dl-2019,1110199,False,6351,1351,5000,19,19,Only Dense extended; original Sparse prefix retained without reinterpretation.
msmarco-passage-trec-dl-2019,1121709,True,123288,118476,4812,21,17,Only Dense extended; original Sparse prefix retained without reinterpretation.
msmarco-passage-trec-dl-2019,1124210,False,9770,4770,5000,7,7,Only Dense extended; original Sparse prefix retained without reinterpretation.
msmarco-passage-trec-dl-2019,131843,False,10001,5001,5000,11,10,Only Dense extended; original Sparse prefix retained without reinterpretation.
msmarco-passage-trec-dl-2019,443396,False,61250,56250,5000,15,15,Only Dense extended; original Sparse prefix retained without reinterpretation.
msmarco-passage-trec-dl-2019,855410,False,74309,69309,5000,6,5,Only Dense extended; original Sparse prefix retained without reinterpretation.
msmarco-passage-trec-dl-2020,1105792,False,11481,6481,5000,17,14,Only Dense extended; original Sparse prefix retained without reinterpretation.
msmarco-passage-trec-dl-2020,1116380,True,10911,8257,2654,22,18,Only Dense extended; original Sparse prefix retained without reinterpretation.
msmarco-passage-trec-dl-2020,135802,False,6243,1243,5000,15,14,Only Dense extended; original Sparse prefix retained without reinterpretation.
msmarco-passage-trec-dl-2020,174463,False,10000,5000,5000,17,17,Only Dense extended; original Sparse prefix retained without reinterpretation.
msmarco-passage-trec-dl-2020,23849,False,10001,5001,5000,13,11,Only Dense extended; original Sparse prefix retained without reinterpretation.
msmarco-passage-trec-dl-2020,324585,True,35562,33873,1689,31,15,Only Dense extended; original Sparse prefix retained without reinterpretation.
msmarco-passage-trec-dl-2020,405163,False,6828,1828,5000,12,12,Only Dense extended; original Sparse prefix retained without reinterpretation.
msmarco-passage-trec-dl-2020,768208,False,5444,444,5000,15,12,Only Dense extended; original Sparse prefix retained without reinterpretation.
trec-covid,1,False,11225,6225,5000,16,16,Only Dense extended; original Sparse prefix retained without reinterpretation.
trec-covid,12,False,9841,4841,5000,15,14,Only Dense extended; original Sparse prefix retained without reinterpretation.
trec-covid,15,False,9118,4118,5000,5,4,Only Dense extended; original Sparse prefix retained without reinterpretation.
trec-covid,16,True,85178,83051,2127,21,15,Only Dense extended; original Sparse prefix retained without reinterpretation.
trec-covid,18,True,7987,5011,2976,34,20,Only Dense extended; original Sparse prefix retained without reinterpretation.
trec-covid,2,False,9020,4020,5000,17,17,Only Dense extended; original Sparse prefix retained without reinterpretation.
trec-covid,26,False,7064,2064,5000,8,8,Only Dense extended; original Sparse prefix retained without reinterpretation.
trec-covid,27,False,6301,1301,5000,10,10,Only Dense extended; original Sparse prefix retained without reinterpretation.
trec-covid,3,False,7105,2105,5000,15,13,Only Dense extended; original Sparse prefix retained without reinterpretation.
trec-covid,31,False,6333,1333,5000,15,15,Only Dense extended; original Sparse prefix retained without reinterpretation.
trec-covid,32,False,14881,9881,5000,12,9,Only Dense extended; original Sparse prefix retained without reinterpretation.
trec-covid,34,False,10001,5001,5000,13,13,Only Dense extended; original Sparse prefix retained without reinterpretation.
trec-covid,47,False,10000,5000,5000,15,15,Only Dense extended; original Sparse prefix retained without reinterpretation.
trec-covid,49,False,6301,1301,5000,17,17,Only Dense extended; original Sparse prefix retained without reinterpretation.
trec-covid,50,True,15095,14520,575,20,20,Only Dense extended; original Sparse prefix retained without reinterpretation.
trec-covid,6,True,9316,8373,943,20,19,Only Dense extended; original Sparse prefix retained without reinterpretation.
trec-covid,8,False,6366,1366,5000,17,17,Only Dense extended; original Sparse prefix retained without reinterpretation.
