dataset,query_id,cost20,dense,sparse,full_top20_matches_old,full_top100_matches_old,dense_prefix_mismatches,sparse_prefix_mismatches,independent_checks,seconds,provenance
msmarco-passage-trec-dl-2019,1037798,35083,27817,7266,True,True,0,0,20,2.7926530838012695,Reconstructed complete rankings; sparse accumulation in original term-id order. Not a claim of identity with frozen segment-specific arithmetic.
msmarco-passage-trec-dl-2019,1063750,26409,5165,21244,True,True,0,14,20,1.7500579357147217,Reconstructed complete rankings; sparse accumulation in original term-id order. Not a claim of identity with frozen segment-specific arithmetic.
msmarco-passage-trec-dl-2019,1110199,9600,1351,8249,True,True,0,0,20,0.6494758129119873,Reconstructed complete rankings; sparse accumulation in original term-id order. Not a claim of identity with frozen segment-specific arithmetic.
msmarco-passage-trec-dl-2019,1121709,123288,118476,4812,True,True,0,10,17,4.155393838882446,Reconstructed complete rankings; sparse accumulation in original term-id order. Not a claim of identity with frozen segment-specific arithmetic.
msmarco-passage-trec-dl-2019,1124210,43175,4770,38405,True,True,0,0,9,1.0112807750701904,Reconstructed complete rankings; sparse accumulation in original term-id order. Not a claim of identity with frozen segment-specific arithmetic.
msmarco-passage-trec-dl-2019,131843,196410,26820,169590,True,True,0,0,12,2.9029150009155273,Reconstructed complete rankings; sparse accumulation in original term-id order. Not a claim of identity with frozen segment-specific arithmetic.
msmarco-passage-trec-dl-2019,443396,402879,56250,346629,True,True,0,0,17,4.603596925735474,Reconstructed complete rankings; sparse accumulation in original term-id order. Not a claim of identity with frozen segment-specific arithmetic.
msmarco-passage-trec-dl-2019,855410,3533518,1767417,1766101,True,True,0,0,9,38.614158153533936,Reconstructed complete rankings; sparse accumulation in original term-id order. Not a claim of identity with frozen segment-specific arithmetic.
msmarco-passage-trec-dl-2020,1105792,111124,6481,104643,True,True,0,0,16,1.217958927154541,Reconstructed complete rankings; sparse accumulation in original term-id order. Not a claim of identity with frozen segment-specific arithmetic.
msmarco-passage-trec-dl-2020,1116380,10911,8257,2654,True,True,0,6,18,0.2579038143157959,Reconstructed complete rankings; sparse accumulation in original term-id order. Not a claim of identity with frozen segment-specific arithmetic.
msmarco-passage-trec-dl-2020,135802,211169,1243,209926,True,True,0,0,15,2.0730948448181152,Reconstructed complete rankings; sparse accumulation in original term-id order. Not a claim of identity with frozen segment-specific arithmetic.
msmarco-passage-trec-dl-2020,174463,12725,6259,6466,True,True,0,8,20,0.301041841506958,Reconstructed complete rankings; sparse accumulation in original term-id order. Not a claim of identity with frozen segment-specific arithmetic.
msmarco-passage-trec-dl-2020,23849,15542,9168,6374,True,True,0,372,16,0.3188440799713135,Reconstructed complete rankings; sparse accumulation in original term-id order. Not a claim of identity with frozen segment-specific arithmetic.
msmarco-passage-trec-dl-2020,324585,35562,33873,1689,True,True,0,418,15,0.496143102645874,Reconstructed complete rankings; sparse accumulation in original term-id order. Not a claim of identity with frozen segment-specific arithmetic.
msmarco-passage-trec-dl-2020,405163,10828,1828,9000,True,True,0,0,14,0.2517518997192383,Reconstructed complete rankings; sparse accumulation in original term-id order. Not a claim of identity with frozen segment-specific arithmetic.
msmarco-passage-trec-dl-2020,768208,17921,1550,16371,True,True,0,0,17,0.2870988845825195,Reconstructed complete rankings; sparse accumulation in original term-id order. Not a claim of identity with frozen segment-specific arithmetic.
trec-covid,1,39970,6225,33745,True,True,0,0,17,0.4612767696380615,Reconstructed complete rankings; sparse accumulation in original term-id order. Not a claim of identity with frozen segment-specific arithmetic.
