dataset,query_id,cost20,dense,sparse,full_top20_matches_old,full_top100_matches_old,dense_prefix_mismatches,sparse_prefix_mismatches,independent_checks,seconds,provenance
trec-covid,1,39970,6225,33745,True,True,0,0,17,0.4612767696380615,Reconstructed complete rankings; sparse accumulation in original term-id order. Not a claim of identity with frozen segment-specific arithmetic.
trec-covid,12,24910,18095,6815,True,True,0,0,16,0.23667597770690918,Reconstructed complete rankings; sparse accumulation in original term-id order. Not a claim of identity with frozen segment-specific arithmetic.
trec-covid,15,40250,19783,20467,True,True,0,0,10,0.37353992462158203,Reconstructed complete rankings; sparse accumulation in original term-id order. Not a claim of identity with frozen segment-specific arithmetic.
trec-covid,16,85178,83051,2127,True,True,0,0,15,0.7802600860595703,Reconstructed complete rankings; sparse accumulation in original term-id order. Not a claim of identity with frozen segment-specific arithmetic.
trec-covid,18,7987,5011,2976,True,True,0,2,20,0.09461712837219238,Reconstructed complete rankings; sparse accumulation in original term-id order. Not a claim of identity with frozen segment-specific arithmetic.
trec-covid,2,10057,4020,6037,True,True,0,0,18,0.10355782508850098,Reconstructed complete rankings; sparse accumulation in original term-id order. Not a claim of identity with frozen segment-specific arithmetic.
trec-covid,26,14899,8231,6668,True,True,0,0,12,0.14357829093933105,Reconstructed complete rankings; sparse accumulation in original term-id order. Not a claim of identity with frozen segment-specific arithmetic.
trec-covid,27,7362,1349,6013,True,True,0,0,13,0.07929182052612305,Reconstructed complete rankings; sparse accumulation in original term-id order. Not a claim of identity with frozen segment-specific arithmetic.
trec-covid,3,12648,4312,8336,True,True,0,2,18,0.12687397003173828,Reconstructed complete rankings; sparse accumulation in original term-id order. Not a claim of identity with frozen segment-specific arithmetic.
trec-covid,31,10118,1777,8341,True,True,0,3,20,0.10526108741760254,Reconstructed complete rankings; sparse accumulation in original term-id order. Not a claim of identity with frozen segment-specific arithmetic.
trec-covid,32,43736,26618,17118,True,True,0,2,11,0.4098351001739502,Reconstructed complete rankings; sparse accumulation in original term-id order. Not a claim of identity with frozen segment-specific arithmetic.
trec-covid,34,56363,15437,40926,True,True,0,4,15,0.5356779098510742,Reconstructed complete rankings; sparse accumulation in original term-id order. Not a claim of identity with frozen segment-specific arithmetic.
trec-covid,47,32858,22233,10625,True,True,0,2,17,0.31801700592041016,Reconstructed complete rankings; sparse accumulation in original term-id order. Not a claim of identity with frozen segment-specific arithmetic.
trec-covid,49,91290,1800,89490,True,True,0,4,20,0.8505778312683105,Reconstructed complete rankings; sparse accumulation in original term-id order. Not a claim of identity with frozen segment-specific arithmetic.
trec-covid,50,15095,14520,575,True,True,0,4,20,0.15395569801330566,Reconstructed complete rankings; sparse accumulation in original term-id order. Not a claim of identity with frozen segment-specific arithmetic.
trec-covid,6,9316,8373,943,True,True,0,0,19,0.09565615653991699,Reconstructed complete rankings; sparse accumulation in original term-id order. Not a claim of identity with frozen segment-specific arithmetic.
trec-covid,8,11993,6590,5403,True,True,0,2,20,0.12486505508422852,Reconstructed complete rankings; sparse accumulation in original term-id order. Not a claim of identity with frozen segment-specific arithmetic.
