dataset,query_id,dense_to_sparse_cost_ratio,policy,base_budget,target_cost,charged_cost,dense_depth,sparse_depth,dense_cost_share,certified_k_cap100,next_certificate_gap
msmarco-passage-trec-dl-2019,156493,0.0625,cost-balanced,128,68.0,68.0,64,64,0.058823529411764705,18,-0.001752760261297226
msmarco-passage-trec-dl-2019,156493,0.0625,cost-balanced,256,136.0,136.0,1088,68,0.5,18,-0.0015007443726062775
msmarco-passage-trec-dl-2019,156493,0.0625,cost-balanced,512,272.0,272.0,2176,136,0.5,24,-0.00034376420080661774
msmarco-passage-trec-dl-2019,156493,0.0625,cost-balanced,1024,544.0,544.0,4288,276,0.49264705882352944,84,-0.00012132711708545685
msmarco-passage-trec-dl-2019,156493,0.0625,cost-balanced,2048,1088.0,1087.5,5000,775,0.28735632183908044,100,-inf
msmarco-passage-trec-dl-2019,156493,0.0625,cost-balanced,4096,2176.0,2175.5,5000,1863,0.1436451390484946,100,-inf
msmarco-passage-trec-dl-2019,156493,0.0625,cost-balanced,8192,4352.0,4351.5,5000,4039,0.07181431690221762,100,-inf
msmarco-passage-trec-dl-2019,156493,0.0625,cost-balanced,10000,5312.5,5312.5,5000,5000,0.058823529411764705,100,-inf
msmarco-passage-trec-dl-2019,156493,0.0625,upper-per-cost,128,68.0,68.0,256,52,0.23529411764705882,15,-0.00010207295417785645
msmarco-passage-trec-dl-2019,156493,0.0625,upper-per-cost,256,136.0,136.0,512,104,0.23529411764705882,22,-0.00037561729550361633
msmarco-passage-trec-dl-2019,156493,0.0625,upper-per-cost,512,272.0,272.0,960,212,0.22058823529411764,70,-3.140326589345932e-05
msmarco-passage-trec-dl-2019,156493,0.0625,upper-per-cost,1024,544.0,544.0,1920,424,0.22058823529411764,100,-inf
msmarco-passage-trec-dl-2019,156493,0.0625,upper-per-cost,2048,1088.0,1088.0,3520,868,0.20220588235294118,100,-inf
msmarco-passage-trec-dl-2019,156493,0.0625,upper-per-cost,4096,2176.0,2176.0,4992,1864,0.14338235294117646,100,-inf
msmarco-passage-trec-dl-2019,156493,0.0625,upper-per-cost,8192,4352.0,4351.5,5000,4039,0.07181431690221762,100,-inf
msmarco-passage-trec-dl-2019,156493,0.0625,upper-per-cost,10000,5312.5,5312.5,5000,5000,0.058823529411764705,100,-inf
msmarco-passage-trec-dl-2019,156493,0.0625,blocker-per-cost,128,68.0,68.0,64,64,0.058823529411764705,18,-0.001752760261297226
msmarco-passage-trec-dl-2019,156493,0.0625,blocker-per-cost,256,136.0,136.0,128,128,0.058823529411764705,24,-0.0005608722567558289
msmarco-passage-trec-dl-2019,156493,0.0625,blocker-per-cost,512,272.0,272.0,448,244,0.10294117647058823,70,-0.00010189134627580643
msmarco-passage-trec-dl-2019,156493,0.0625,blocker-per-cost,1024,544.0,544.0,1728,436,0.19852941176470587,100,-inf
msmarco-passage-trec-dl-2019,156493,0.0625,blocker-per-cost,2048,1088.0,1088.0,3584,864,0.20588235294117646,100,-inf
msmarco-passage-trec-dl-2019,156493,0.0625,blocker-per-cost,4096,2176.0,2176.0,4992,1864,0.14338235294117646,100,-inf
msmarco-passage-trec-dl-2019,156493,0.0625,blocker-per-cost,8192,4352.0,4351.5,5000,4039,0.07181431690221762,100,-inf
msmarco-passage-trec-dl-2019,156493,0.0625,blocker-per-cost,10000,5312.5,5312.5,5000,5000,0.058823529411764705,100,-inf
msmarco-passage-trec-dl-2019,156493,0.0625,pressure-per-cost,128,68.0,68.0,64,64,0.058823529411764705,18,-0.001752760261297226
msmarco-passage-trec-dl-2019,156493,0.0625,pressure-per-cost,256,136.0,136.0,128,128,0.058823529411764705,24,-0.0005608722567558289
msmarco-passage-trec-dl-2019,156493,0.0625,pressure-per-cost,512,272.0,272.0,448,244,0.10294117647058823,70,-0.00010189134627580643
msmarco-passage-trec-dl-2019,156493,0.0625,pressure-per-cost,1024,544.0,544.0,832,492,0.09558823529411764,100,-inf
msmarco-passage-trec-dl-2019,156493,0.0625,pressure-per-cost,2048,1088.0,1088.0,1792,976,0.10294117647058823,100,-inf
msmarco-passage-trec-dl-2019,156493,0.0625,pressure-per-cost,4096,2176.0,2176.0,4096,1920,0.11764705882352941,100,-inf
msmarco-passage-trec-dl-2019,156493,0.0625,pressure-per-cost,8192,4352.0,4352.0,4992,4040,0.07169117647058823,100,-inf
msmarco-passage-trec-dl-2019,156493,0.0625,pressure-per-cost,10000,5312.5,5312.5,5000,5000,0.058823529411764705,100,-inf
msmarco-passage-trec-dl-2019,156493,0.0625,candidate-per-cost,128,68.0,68.0,64,64,0.058823529411764705,18,-0.001752760261297226
msmarco-passage-trec-dl-2019,156493,0.0625,candidate-per-cost,256,136.0,136.0,128,128,0.058823529411764705,24,-0.0005608722567558289
msmarco-passage-trec-dl-2019,156493,0.0625,candidate-per-cost,512,272.0,272.0,448,244,0.10294117647058823,70,-0.00010189134627580643
msmarco-passage-trec-dl-2019,156493,0.0625,candidate-per-cost,1024,544.0,544.0,1728,436,0.19852941176470587,100,-inf
msmarco-passage-trec-dl-2019,156493,0.0625,candidate-per-cost,2048,1088.0,1088.0,3584,864,0.20588235294117646,100,-inf
msmarco-passage-trec-dl-2019,156493,0.0625,candidate-per-cost,4096,2176.0,2176.0,4992,1864,0.14338235294117646,100,-inf
msmarco-passage-trec-dl-2019,156493,0.0625,candidate-per-cost,8192,4352.0,4351.5,5000,4039,0.07181431690221762,100,-inf
msmarco-passage-trec-dl-2019,156493,0.0625,candidate-per-cost,10000,5312.5,5312.5,5000,5000,0.058823529411764705,100,-inf
msmarco-passage-trec-dl-2019,156493,0.0625,allocation-grid-envelope,128,68.0,68.0,144,59,0.1323529411764706,18,-0.0020916052162647247
msmarco-passage-trec-dl-2019,156493,0.0625,allocation-grid-envelope,256,136.0,136.0,272,119,0.125,24,-0.0008283164352178574
msmarco-passage-trec-dl-2019,156493,0.0625,allocation-grid-envelope,512,272.0,272.0,832,220,0.19117647058823528,76,-0.00015105679631233215
msmarco-passage-trec-dl-2019,156493,0.0625,allocation-grid-envelope,1024,544.0,544.0,1920,424,0.22058823529411764,100,-inf
