dataset,query_id,dense_to_sparse_cost_ratio,policy,base_budget,target_cost,charged_cost,dense_depth,sparse_depth,dense_cost_share,certified_k_cap100,next_certificate_gap
msmarco-passage-trec-dl-2019,156493,0.5,cost-balanced,128,96.0,96.0,64,64,0.3333333333333333,18,-0.001752760261297226
msmarco-passage-trec-dl-2019,156493,0.5,cost-balanced,256,192.0,192.0,192,96,0.5,18,-9.850040078163147e-05
msmarco-passage-trec-dl-2019,156493,0.5,cost-balanced,512,384.0,384.0,384,192,0.5,69,-0.00020494963973760605
msmarco-passage-trec-dl-2019,156493,0.5,cost-balanced,1024,768.0,768.0,768,384,0.5,90,-0.00013030413538217545
msmarco-passage-trec-dl-2019,156493,0.5,cost-balanced,2048,1536.0,1536.0,1536,768,0.5,100,-inf
msmarco-passage-trec-dl-2019,156493,0.5,cost-balanced,4096,3072.0,3072.0,3072,1536,0.5,100,-inf
msmarco-passage-trec-dl-2019,156493,0.5,cost-balanced,8192,6144.0,6144.0,5000,3644,0.4069010416666667,100,-inf
msmarco-passage-trec-dl-2019,156493,0.5,cost-balanced,10000,7500.0,7500.0,5000,5000,0.3333333333333333,100,-inf
msmarco-passage-trec-dl-2019,156493,0.5,upper-per-cost,128,96.0,96.0,64,64,0.3333333333333333,18,-0.001752760261297226
msmarco-passage-trec-dl-2019,156493,0.5,upper-per-cost,256,192.0,192.0,128,128,0.3333333333333333,24,-0.0005608722567558289
msmarco-passage-trec-dl-2019,156493,0.5,upper-per-cost,512,384.0,384.0,320,224,0.4166666666666667,66,-4.5064836740493774e-05
msmarco-passage-trec-dl-2019,156493,0.5,upper-per-cost,1024,768.0,768.0,640,448,0.4166666666666667,76,-0.0001174313947558403
msmarco-passage-trec-dl-2019,156493,0.5,upper-per-cost,2048,1536.0,1536.0,1280,896,0.4166666666666667,100,-inf
msmarco-passage-trec-dl-2019,156493,0.5,upper-per-cost,4096,3072.0,3072.0,2560,1792,0.4166666666666667,100,-inf
msmarco-passage-trec-dl-2019,156493,0.5,upper-per-cost,8192,6144.0,6144.0,4992,3648,0.40625,100,-inf
msmarco-passage-trec-dl-2019,156493,0.5,upper-per-cost,10000,7500.0,7500.0,5000,5000,0.3333333333333333,100,-inf
msmarco-passage-trec-dl-2019,156493,0.5,blocker-per-cost,128,96.0,96.0,64,64,0.3333333333333333,18,-0.001752760261297226
msmarco-passage-trec-dl-2019,156493,0.5,blocker-per-cost,256,192.0,192.0,128,128,0.3333333333333333,24,-0.0005608722567558289
msmarco-passage-trec-dl-2019,156493,0.5,blocker-per-cost,512,384.0,384.0,384,192,0.5,69,-0.00020494963973760605
msmarco-passage-trec-dl-2019,156493,0.5,blocker-per-cost,1024,768.0,768.0,768,384,0.5,90,-0.00013030413538217545
msmarco-passage-trec-dl-2019,156493,0.5,blocker-per-cost,2048,1536.0,1536.0,1280,896,0.4166666666666667,100,-inf
msmarco-passage-trec-dl-2019,156493,0.5,blocker-per-cost,4096,3072.0,3072.0,2560,1792,0.4166666666666667,100,-inf
msmarco-passage-trec-dl-2019,156493,0.5,blocker-per-cost,8192,6144.0,6144.0,4992,3648,0.40625,100,-inf
msmarco-passage-trec-dl-2019,156493,0.5,blocker-per-cost,10000,7500.0,7500.0,5000,5000,0.3333333333333333,100,-inf
msmarco-passage-trec-dl-2019,156493,0.5,pressure-per-cost,128,96.0,96.0,64,64,0.3333333333333333,18,-0.001752760261297226
msmarco-passage-trec-dl-2019,156493,0.5,pressure-per-cost,256,192.0,192.0,128,128,0.3333333333333333,24,-0.0005608722567558289
msmarco-passage-trec-dl-2019,156493,0.5,pressure-per-cost,512,384.0,384.0,384,192,0.5,69,-0.00020494963973760605
msmarco-passage-trec-dl-2019,156493,0.5,pressure-per-cost,1024,768.0,768.0,768,384,0.5,90,-0.00013030413538217545
msmarco-passage-trec-dl-2019,156493,0.5,pressure-per-cost,2048,1536.0,1536.0,1152,960,0.375,100,-inf
msmarco-passage-trec-dl-2019,156493,0.5,pressure-per-cost,4096,3072.0,3072.0,2304,1920,0.375,100,-inf
msmarco-passage-trec-dl-2019,156493,0.5,pressure-per-cost,8192,6144.0,6144.0,4672,3808,0.3802083333333333,100,-inf
msmarco-passage-trec-dl-2019,156493,0.5,pressure-per-cost,10000,7500.0,7500.0,5000,5000,0.3333333333333333,100,-inf
msmarco-passage-trec-dl-2019,156493,0.5,candidate-per-cost,128,96.0,96.0,64,64,0.3333333333333333,18,-0.001752760261297226
msmarco-passage-trec-dl-2019,156493,0.5,candidate-per-cost,256,192.0,192.0,128,128,0.3333333333333333,24,-0.0005608722567558289
msmarco-passage-trec-dl-2019,156493,0.5,candidate-per-cost,512,384.0,384.0,384,192,0.5,69,-0.00020494963973760605
msmarco-passage-trec-dl-2019,156493,0.5,candidate-per-cost,1024,768.0,768.0,768,384,0.5,90,-0.00013030413538217545
msmarco-passage-trec-dl-2019,156493,0.5,candidate-per-cost,2048,1536.0,1536.0,1280,896,0.4166666666666667,100,-inf
msmarco-passage-trec-dl-2019,156493,0.5,candidate-per-cost,4096,3072.0,3072.0,2560,1792,0.4166666666666667,100,-inf
msmarco-passage-trec-dl-2019,156493,0.5,candidate-per-cost,8192,6144.0,6144.0,4992,3648,0.40625,100,-inf
msmarco-passage-trec-dl-2019,156493,0.5,candidate-per-cost,10000,7500.0,7500.0,5000,5000,0.3333333333333333,100,-inf
msmarco-passage-trec-dl-2019,156493,2.0,cost-balanced,128,192.0,192.0,64,64,0.6666666666666666,18,-0.001752760261297226
msmarco-passage-trec-dl-2019,156493,2.0,cost-balanced,256,384.0,384.0,128,128,0.6666666666666666,24,-0.0005608722567558289
msmarco-passage-trec-dl-2019,156493,2.0,cost-balanced,512,768.0,768.0,192,384,0.5,59,-0.00010697171092033386
msmarco-passage-trec-dl-2019,156493,2.0,cost-balanced,1024,1536.0,1536.0,384,768,0.5,69,-0.00020494963973760605
msmarco-passage-trec-dl-2019,156493,2.0,cost-balanced,2048,3072.0,3072.0,768,1536,0.5,90,-0.00013030413538217545
msmarco-passage-trec-dl-2019,156493,2.0,cost-balanced,4096,6144.0,6144.0,1536,3072,0.5,100,-inf
msmarco-passage-trec-dl-2019,156493,2.0,cost-balanced,8192,12288.0,12288.0,3644,5000,0.5930989583333334,100,-inf
