dataset,k,rho_difficulty_overlap_at_k,rho_difficulty_dual_seen_fraction,rho_difficulty_opposite_rank_median,rho_difficulty_minimum_slack
msmarco-passage-trec-dl-2019,5,-0.6427049526001635,,0.8850643736850393,0.21047651859013664
msmarco-passage-trec-dl-2019,10,-0.6046406521632195,-0.4447401593405258,0.8303516917351152,-0.033057683051624986
msmarco-passage-trec-dl-2019,20,-0.6977186046491523,-0.6551056174720298,0.889275798685547,-0.32127042216476603
msmarco-passage-trec-dl-2019,50,-0.6307796860808769,-0.8564551550638112,0.7461039131204785,-0.7919052140065277
msmarco-passage-trec-dl-2019,100,-0.6706721013800703,-0.7300653758699748,0.6853553178974633,-0.7403920705006514
msmarco-passage-trec-dl-2020,5,-0.5314681836807618,,0.8227590998835408,0.42697547142296677
msmarco-passage-trec-dl-2020,10,-0.6529868242021651,,0.7775578600160621,0.25395322831038314
msmarco-passage-trec-dl-2020,20,-0.5262247149467887,-0.5944488991238334,0.7242468156264792,-0.3803838052437612
msmarco-passage-trec-dl-2020,50,-0.563786023440814,-0.8512361296594901,0.7446332559485671,-0.809969535686568
msmarco-passage-trec-dl-2020,100,-0.2995352090984542,-0.3970764155984919,0.3148506654483022,-0.39682924316070123
pooled,5,-0.5873055142134,,0.8499216847448059,0.3533048850791809
pooled,10,-0.6401852712945658,-0.3019279980969877,0.8030259287757783,0.13011953507552143
pooled,20,-0.5942365444200027,-0.6224846895928664,0.8009642831075935,-0.359503271236853
pooled,50,-0.6003064997501577,-0.853910225936587,0.7376521187005306,-0.8030620605212313
pooled,100,-0.5056786759016223,-0.6003506051308861,0.5094453705043623,-0.6053710846507819
