dataset,query_id,policy,budget,reads,dense,sparse,k100,certificate_calls,replay_seconds
msmarco-passage-trec-dl-2019,490595,grouped-unit,128,128,52,76,22,129,0.0009185000089928508
msmarco-passage-trec-dl-2019,490595,grouped-unit,256,256,114,142,39,257,0.0018838749965652823
msmarco-passage-trec-dl-2019,490595,grouped-unit,512,512,199,313,58,513,0.003683042014017701
msmarco-passage-trec-dl-2019,490595,grouped-unit,1024,1003,635,368,100,1004,0.007527459063567221
msmarco-passage-trec-dl-2019,490595,grouped-unit,2048,1003,635,368,100,1004,0.007527709007263184
msmarco-passage-trec-dl-2019,490595,grouped-blocker64,128,128,64,64,17,3,0.00020583299919962883
msmarco-passage-trec-dl-2019,490595,grouped-blocker64,256,256,128,128,30,5,0.000384707935154438
msmarco-passage-trec-dl-2019,490595,grouped-blocker64,512,512,256,256,54,9,0.0007305409526452422
msmarco-passage-trec-dl-2019,490595,grouped-blocker64,1024,1024,640,384,100,17,0.0014833748573437333
msmarco-passage-trec-dl-2019,490595,grouped-blocker64,2048,1024,640,384,100,17,0.001483582891523838
msmarco-passage-trec-dl-2019,490595,grouped-handoff64,128,128,64,64,17,5,0.00024058402050286531
msmarco-passage-trec-dl-2019,490595,grouped-handoff64,256,256,113,143,39,77,0.00157241802662611
msmarco-passage-trec-dl-2019,490595,grouped-handoff64,512,512,199,313,58,165,0.0032725839409977198
msmarco-passage-trec-dl-2019,490595,grouped-handoff64,1024,1021,652,369,100,219,0.00480620888993144
msmarco-passage-trec-dl-2019,490595,grouped-handoff64,2048,1021,652,369,100,219,0.00480641785543412
msmarco-passage-trec-dl-2019,855410,grouped-unit,128,128,64,64,5,129,0.0006811660714447498
msmarco-passage-trec-dl-2019,855410,grouped-unit,256,256,128,128,5,257,0.0013641241239383817
msmarco-passage-trec-dl-2019,855410,grouped-unit,512,512,256,256,5,513,0.002799749141559005
msmarco-passage-trec-dl-2019,855410,grouped-unit,1024,1024,512,512,5,1025,0.0057639991864562035
msmarco-passage-trec-dl-2019,855410,grouped-unit,2048,2048,1024,1024,5,2049,0.012588166166096926
msmarco-passage-trec-dl-2019,855410,grouped-blocker64,128,128,64,64,5,3,0.00012674997560679913
msmarco-passage-trec-dl-2019,855410,grouped-blocker64,256,256,128,128,5,5,0.00023079197853803635
msmarco-passage-trec-dl-2019,855410,grouped-blocker64,512,512,256,256,5,9,0.00045149994548410177
msmarco-passage-trec-dl-2019,855410,grouped-blocker64,1024,1024,512,512,5,17,0.0008906249422580004
msmarco-passage-trec-dl-2019,855410,grouped-blocker64,2048,2048,1024,1024,5,33,0.001843790989369154
msmarco-passage-trec-dl-2019,855410,grouped-handoff64,128,128,64,64,5,6,0.0001617909874767065
msmarco-passage-trec-dl-2019,855410,grouped-handoff64,256,256,128,128,5,98,0.001403248985297978
msmarco-passage-trec-dl-2019,855410,grouped-handoff64,512,512,256,256,5,285,0.004015873884782195
msmarco-passage-trec-dl-2019,855410,grouped-handoff64,1024,1024,512,512,5,674,0.009855873882770538
msmarco-passage-trec-dl-2019,855410,grouped-handoff64,2048,2048,1024,1024,5,1426,0.02239874890074134
msmarco-passage-trec-dl-2019,264014,grouped-unit,128,128,70,58,9,129,0.0007535830372944474
msmarco-passage-trec-dl-2019,264014,grouped-unit,256,256,140,116,26,257,0.0016470830887556076
msmarco-passage-trec-dl-2019,264014,grouped-unit,512,512,272,240,40,513,0.0034583330852910876
msmarco-passage-trec-dl-2019,264014,grouped-unit,1024,1024,769,255,60,1025,0.006950917071662843
msmarco-passage-trec-dl-2019,264014,grouped-unit,2048,2048,1707,341,66,2049,0.014389458112418652
msmarco-passage-trec-dl-2019,264014,grouped-blocker64,128,128,64,64,9,3,0.00018491607625037432
msmarco-passage-trec-dl-2019,264014,grouped-blocker64,256,256,128,128,21,5,0.00039254105649888515
msmarco-passage-trec-dl-2019,264014,grouped-blocker64,512,512,256,256,40,9,0.0007194160716608167
msmarco-passage-trec-dl-2019,264014,grouped-blocker64,1024,1024,768,256,60,17,0.0012283329851925373
msmarco-passage-trec-dl-2019,264014,grouped-blocker64,2048,2048,1664,384,66,33,0.002240083063952625
msmarco-passage-trec-dl-2019,264014,grouped-handoff64,128,128,64,64,9,8,0.00021474994719028473
msmarco-passage-trec-dl-2019,264014,grouped-handoff64,256,256,140,116,26,101,0.0016755829565227032
msmarco-passage-trec-dl-2019,264014,grouped-handoff64,512,512,271,241,40,254,0.004356415942311287
msmarco-passage-trec-dl-2019,264014,grouped-handoff64,1024,1024,759,265,60,274,0.005249499925412238
msmarco-passage-trec-dl-2019,264014,grouped-handoff64,2048,2048,1707,341,66,427,0.008811666979454458
msmarco-passage-trec-dl-2019,19335,grouped-unit,128,128,67,61,5,129,0.0007624580757692456
msmarco-passage-trec-dl-2019,19335,grouped-unit,256,256,133,123,8,257,0.0015627910615876317
msmarco-passage-trec-dl-2019,19335,grouped-unit,512,512,231,281,14,513,0.0032739160815253854
msmarco-passage-trec-dl-2019,19335,grouped-unit,1024,1024,472,552,19,1025,0.006916624144650996
msmarco-passage-trec-dl-2019,19335,grouped-unit,2048,2048,885,1163,21,2049,0.014593582134693861
msmarco-passage-trec-dl-2019,19335,grouped-blocker64,128,128,64,64,4,3,0.00015833298675715923
msmarco-passage-trec-dl-2019,19335,grouped-blocker64,256,256,128,128,8,5,0.00028812489472329617
msmarco-passage-trec-dl-2019,19335,grouped-blocker64,512,512,256,256,14,9,0.0005550839705392718
msmarco-passage-trec-dl-2019,19335,grouped-blocker64,1024,1024,448,576,18,17,0.001138749998062849
msmarco-passage-trec-dl-2019,19335,grouped-blocker64,2048,2048,896,1152,21,33,0.0022686249576509
msmarco-passage-trec-dl-2019,19335,grouped-handoff64,128,128,64,64,4,6,0.00019395898561924696
msmarco-passage-trec-dl-2019,19335,grouped-handoff64,256,256,133,123,8,119,0.0019345838809385896
msmarco-passage-trec-dl-2019,19335,grouped-handoff64,512,512,231,281,14,318,0.005067875841632485
msmarco-passage-trec-dl-2019,19335,grouped-handoff64,1024,1024,472,552,19,729,0.01207175082527101
msmarco-passage-trec-dl-2019,19335,grouped-handoff64,2048,2048,885,1163,21,1461,0.025438542827032506
msmarco-passage-trec-dl-2019,1133167,grouped-unit,128,128,68,60,6,129,0.0006767499726265669
msmarco-passage-trec-dl-2019,1133167,grouped-unit,256,256,137,119,12,257,0.001514666946604848
msmarco-passage-trec-dl-2019,1133167,grouped-unit,512,512,256,256,26,513,0.003219249891117215
msmarco-passage-trec-dl-2019,1133167,grouped-unit,1024,1024,340,684,39,1025,0.0069114998914301395
msmarco-passage-trec-dl-2019,1133167,grouped-unit,2048,2048,961,1087,82,2049,0.014990291791036725
msmarco-passage-trec-dl-2019,1133167,grouped-blocker64,128,128,64,64,6,3,0.00015408394392579794
