dataset,query_id,repetition,policy,seconds,calls,k100
msmarco-passage-trec-dl-2019,490595,0,grouped-unit,0.007611207896843553,1004,100
msmarco-passage-trec-dl-2019,490595,0,grouped-handoff64,0.00471699982881546,219,100
msmarco-passage-trec-dl-2019,490595,0,array-blocker64,0.003323084209114313,17,100
msmarco-passage-trec-dl-2019,490595,0,array-unit,0.18517912493553013,1004,100
msmarco-passage-trec-dl-2019,490595,0,grouped-blocker64,0.0015849568881094456,17,100
msmarco-passage-trec-dl-2019,490595,1,grouped-handoff64,0.004768831888213754,219,100
msmarco-passage-trec-dl-2019,490595,1,array-blocker64,0.0032051667803898454,17,100
msmarco-passage-trec-dl-2019,490595,1,array-unit,0.18538124999031425,1004,100
msmarco-passage-trec-dl-2019,490595,1,grouped-blocker64,0.0015411259373649955,17,100
msmarco-passage-trec-dl-2019,490595,1,grouped-unit,0.007472000899724662,1004,100
msmarco-passage-trec-dl-2019,490595,2,array-blocker64,0.0031400418374687433,17,100
msmarco-passage-trec-dl-2019,490595,2,array-unit,0.18652512494008988,1004,100
msmarco-passage-trec-dl-2019,490595,2,grouped-blocker64,0.0016828341176733375,17,100
msmarco-passage-trec-dl-2019,490595,2,grouped-unit,0.007463208865374327,1004,100
msmarco-passage-trec-dl-2019,490595,2,grouped-handoff64,0.004722791025415063,219,100
msmarco-passage-trec-dl-2019,855410,0,array-unit,0.22032066795509309,2049,5
msmarco-passage-trec-dl-2019,855410,0,grouped-blocker64,0.0024393750354647636,33,5
msmarco-passage-trec-dl-2019,855410,0,grouped-unit,0.01299983391072601,2049,5
msmarco-passage-trec-dl-2019,855410,0,grouped-handoff64,0.023254084982909262,1426,5
msmarco-passage-trec-dl-2019,855410,0,array-blocker64,0.0033464578446000814,33,5
msmarco-passage-trec-dl-2019,855410,1,grouped-blocker64,0.002001458080485463,33,5
msmarco-passage-trec-dl-2019,855410,1,grouped-unit,0.013173499843105674,2049,5
msmarco-passage-trec-dl-2019,855410,1,grouped-handoff64,0.023372458876110613,1426,5
msmarco-passage-trec-dl-2019,855410,1,array-blocker64,0.0035742068430408835,33,5
msmarco-passage-trec-dl-2019,855410,1,array-unit,0.22172749985475093,2049,5
msmarco-passage-trec-dl-2019,855410,2,grouped-unit,0.013007584027945995,2049,5
msmarco-passage-trec-dl-2019,855410,2,grouped-handoff64,0.023075666860677302,1426,5
msmarco-passage-trec-dl-2019,855410,2,array-blocker64,0.0036682909121736884,33,5
msmarco-passage-trec-dl-2019,855410,2,array-unit,0.220176792005077,2049,5
msmarco-passage-trec-dl-2019,855410,2,grouped-blocker64,0.002132709021680057,33,5
msmarco-passage-trec-dl-2019,264014,0,grouped-blocker64,0.0025855839485302567,33,66
msmarco-passage-trec-dl-2019,264014,0,grouped-unit,0.014809415908530354,2049,66
msmarco-passage-trec-dl-2019,264014,0,grouped-handoff64,0.008929083123803139,427,66
msmarco-passage-trec-dl-2019,264014,0,array-blocker64,0.006633333978243172,33,66
msmarco-passage-trec-dl-2019,264014,0,array-unit,0.4011320840800181,2049,66
msmarco-passage-trec-dl-2019,264014,1,grouped-unit,0.01513791608158499,2049,66
msmarco-passage-trec-dl-2019,264014,1,grouped-handoff64,0.009115749970078468,427,66
msmarco-passage-trec-dl-2019,264014,1,array-blocker64,0.0067405408481135964,33,66
msmarco-passage-trec-dl-2019,264014,1,array-unit,0.40391766699030995,2049,66
msmarco-passage-trec-dl-2019,264014,1,grouped-blocker64,0.0024993749102577567,33,66
msmarco-passage-trec-dl-2019,264014,2,grouped-handoff64,0.00896962487604469,427,66
msmarco-passage-trec-dl-2019,264014,2,array-blocker64,0.0065837070578709245,33,66
msmarco-passage-trec-dl-2019,264014,2,array-unit,0.4011520011117682,2049,66
msmarco-passage-trec-dl-2019,264014,2,grouped-blocker64,0.002501793089322746,33,66
msmarco-passage-trec-dl-2019,264014,2,grouped-unit,0.014820541837252676,2049,66
msmarco-passage-trec-dl-2019,19335,0,grouped-unit,0.01501254306640476,2049,21
msmarco-passage-trec-dl-2019,19335,0,grouped-handoff64,0.02553470921702683,1461,21
msmarco-passage-trec-dl-2019,19335,0,array-blocker64,0.0047185830771923065,33,21
msmarco-passage-trec-dl-2019,19335,0,array-unit,0.2840850839857012,2049,21
msmarco-passage-trec-dl-2019,19335,0,grouped-blocker64,0.0023382509825751185,33,21
msmarco-passage-trec-dl-2019,19335,1,grouped-handoff64,0.02519545902032405,1461,21
