dataset,query_id,policy,budget,reads,dense,sparse,k100,certificate_calls,replay_seconds
msmarco-passage-trec-dl-2019,490595,grouped-unit,128,128,52,76,22,129,0.0009593750583007932
msmarco-passage-trec-dl-2019,490595,grouped-unit,256,256,114,142,39,257,0.0019424171186983585
msmarco-passage-trec-dl-2019,490595,grouped-unit,512,512,199,313,58,513,0.0038940832018852234
msmarco-passage-trec-dl-2019,490595,grouped-unit,1024,1003,635,368,100,1004,0.00770641618873924
msmarco-passage-trec-dl-2019,490595,grouped-unit,2048,1003,635,368,100,1004,0.0077067072270438075
msmarco-passage-trec-dl-2019,490595,grouped-blocker64,128,128,64,64,17,3,0.00021645799279212952
msmarco-passage-trec-dl-2019,490595,grouped-blocker64,256,256,128,128,30,5,0.0004024989902973175
msmarco-passage-trec-dl-2019,490595,grouped-blocker64,512,512,256,256,54,9,0.0007928319973871112
msmarco-passage-trec-dl-2019,490595,grouped-blocker64,1024,1024,640,384,100,17,0.001574249006807804
msmarco-passage-trec-dl-2019,490595,grouped-blocker64,2048,1024,640,384,100,17,0.0015744990669190884
msmarco-passage-trec-dl-2019,855410,grouped-unit,128,128,64,64,5,129,0.0007012920686975121
msmarco-passage-trec-dl-2019,855410,grouped-unit,256,256,128,128,5,257,0.0013796250568702817
msmarco-passage-trec-dl-2019,855410,grouped-unit,512,512,256,256,5,513,0.002709750086069107
msmarco-passage-trec-dl-2019,855410,grouped-unit,1024,1024,512,512,5,1025,0.005579167045652866
msmarco-passage-trec-dl-2019,855410,grouped-unit,2048,2048,1024,1024,5,2049,0.012726875022053719
msmarco-passage-trec-dl-2019,855410,grouped-blocker64,128,128,64,64,5,3,0.00015554099809378386
msmarco-passage-trec-dl-2019,855410,grouped-blocker64,256,256,128,128,5,5,0.0002906660083681345
msmarco-passage-trec-dl-2019,855410,grouped-blocker64,512,512,256,256,5,9,0.0005294580478221178
msmarco-passage-trec-dl-2019,855410,grouped-blocker64,1024,1024,512,512,5,17,0.0009994989959523082
msmarco-passage-trec-dl-2019,855410,grouped-blocker64,2048,2048,1024,1024,5,33,0.002005749032832682
msmarco-passage-trec-dl-2019,264014,grouped-unit,128,128,70,58,9,129,0.0008197500137612224
msmarco-passage-trec-dl-2019,264014,grouped-unit,256,256,140,116,26,257,0.0017191249644383788
