dataset,budget,method,cap,ndcg10_linear,ndcg10_exponential,recall
msmarco-passage-trec-dl-2019,128,balanced_cert,20,0.5896272069816016,0.5316504694835957,0.1752249017396539
msmarco-passage-trec-dl-2019,128,balanced_cert,100,0.5896272069816016,0.5316504694835957,0.18140746519371326
msmarco-passage-trec-dl-2019,128,balanced_zero,20,0.6683040137450631,0.60072650214684,0.2580516821101651
msmarco-passage-trec-dl-2019,128,balanced_zero,100,0.6683040137450631,0.60072650214684,0.5402464498093305
msmarco-passage-trec-dl-2019,128,blocker_cert,20,0.5896272069816016,0.5316504694835957,0.1752249017396539
msmarco-passage-trec-dl-2019,128,blocker_cert,100,0.5896272069816016,0.5316504694835957,0.18140746519371326
msmarco-passage-trec-dl-2019,128,blocker_zero,20,0.6683040137450631,0.60072650214684,0.2580516821101651
msmarco-passage-trec-dl-2019,128,blocker_zero,100,0.6683040137450631,0.60072650214684,0.5402464498093305
msmarco-passage-trec-dl-2019,128,fixed_topL_zero,20,0.6683040137450631,0.60072650214684,0.2580516821101651
msmarco-passage-trec-dl-2019,128,fixed_topL_zero,100,0.6683040137450631,0.60072650214684,0.5402464498093305
msmarco-passage-trec-dl-2019,256,balanced_cert,20,0.640221988459671,0.5752903319159635,0.2190095180009042
msmarco-passage-trec-dl-2019,256,balanced_cert,100,0.640221988459671,0.5752903319159635,0.25025464948585613
msmarco-passage-trec-dl-2019,256,balanced_zero,20,0.6745490618587742,0.6068145126617291,0.26122944392963804
msmarco-passage-trec-dl-2019,256,balanced_zero,100,0.6745490618587742,0.6068145126617291,0.5487173559676451
msmarco-passage-trec-dl-2019,256,blocker_cert,20,0.640221988459671,0.5752903319159635,0.2190095180009042
msmarco-passage-trec-dl-2019,256,blocker_cert,100,0.640221988459671,0.5752903319159635,0.25025464948585613
msmarco-passage-trec-dl-2019,256,blocker_zero,20,0.6745490618587742,0.6068145126617291,0.26122944392963804
msmarco-passage-trec-dl-2019,256,blocker_zero,100,0.6745490618587742,0.6068145126617291,0.5487173559676451
msmarco-passage-trec-dl-2019,256,fixed_topL_zero,20,0.6745490618587742,0.6068145126617291,0.26122944392963804
msmarco-passage-trec-dl-2019,256,fixed_topL_zero,100,0.6745490618587742,0.6068145126617291,0.5487173559676451
msmarco-passage-trec-dl-2019,512,balanced_cert,20,0.6670121004196298,0.6009901697532908,0.23818889155357525
msmarco-passage-trec-dl-2019,512,balanced_cert,100,0.6670121004196298,0.6009901697532908,0.3222475355598191
msmarco-passage-trec-dl-2019,512,balanced_zero,20,0.6798012062058163,0.6117705414661437,0.26361828561631884
msmarco-passage-trec-dl-2019,512,balanced_zero,100,0.6798012062058163,0.6117705414661437,0.5580031321072749
msmarco-passage-trec-dl-2019,512,blocker_cert,20,0.6670121004196298,0.6009901697532908,0.23901356580724506
msmarco-passage-trec-dl-2019,512,blocker_cert,100,0.6670121004196298,0.6009901697532908,0.3288017401869267
msmarco-passage-trec-dl-2019,512,blocker_zero,20,0.6798012062058163,0.6117705414661437,0.26268805305817927
msmarco-passage-trec-dl-2019,512,blocker_zero,100,0.6798012062058163,0.6117705414661437,0.5556905537410237
msmarco-passage-trec-dl-2019,512,fixed_topL_zero,20,0.6798012062058163,0.6117705414661437,0.26361828561631884
msmarco-passage-trec-dl-2019,512,fixed_topL_zero,100,0.6798012062058163,0.6117705414661437,0.5580031321072749
msmarco-passage-trec-dl-2019,1024,balanced_cert,20,0.673612714155218,0.6062810499350949,0.2470146456434257
msmarco-passage-trec-dl-2019,1024,balanced_cert,100,0.673612714155218,0.6062810499350949,0.3632931829975186
msmarco-passage-trec-dl-2019,1024,balanced_zero,20,0.6807054741112378,0.6122351138951326,0.2649025095978461
msmarco-passage-trec-dl-2019,1024,balanced_zero,100,0.6807054741112378,0.6122351138951326,0.5628965783125892
msmarco-passage-trec-dl-2019,1024,blocker_cert,20,0.673612714155218,0.6062810499350949,0.24794487820156524
msmarco-passage-trec-dl-2019,1024,blocker_cert,100,0.673612714155218,0.6062810499350949,0.37317597723787665
msmarco-passage-trec-dl-2019,1024,blocker_zero,20,0.6807054741112378,0.6122351138951326,0.2648182494023625
msmarco-passage-trec-dl-2019,1024,blocker_zero,100,0.6807054741112378,0.6122351138951326,0.5637471211229156
msmarco-passage-trec-dl-2019,1024,fixed_topL_zero,20,0.6807054741112378,0.6122351138951326,0.2649025095978461
msmarco-passage-trec-dl-2019,1024,fixed_topL_zero,100,0.6807054741112378,0.6122351138951326,0.5628965783125892
