dataset,query_id,budget,method,cap,ndcg10_linear,ndcg10_exponential,recall
msmarco-passage-trec-dl-2019,156493,128,fixed_topL_zero,20,0.9504318313235595,0.8865613677260856,0.15037593984962405
msmarco-passage-trec-dl-2019,156493,128,fixed_topL_zero,100,0.9504318313235595,0.8865613677260856,0.5714285714285714
msmarco-passage-trec-dl-2019,1110199,128,fixed_topL_zero,20,0.6549542260757428,0.5391982264210395,0.2857142857142857
msmarco-passage-trec-dl-2019,1110199,128,fixed_topL_zero,100,0.6549542260757428,0.5391982264210395,0.4
msmarco-passage-trec-dl-2019,1063750,128,fixed_topL_zero,20,0.4949527155963074,0.37593464133818866,0.03985507246376811
msmarco-passage-trec-dl-2019,1063750,128,fixed_topL_zero,100,0.4949527155963074,0.37593464133818866,0.15579710144927536
msmarco-passage-trec-dl-2019,130510,128,fixed_topL_zero,20,0.8223182274712042,0.7468404933801903,0.6785714285714286
msmarco-passage-trec-dl-2019,130510,128,fixed_topL_zero,100,0.8223182274712042,0.7468404933801903,0.9642857142857143
msmarco-passage-trec-dl-2019,489204,128,fixed_topL_zero,20,0.4379658493744768,0.33565433467531713,0.07291666666666667
msmarco-passage-trec-dl-2019,489204,128,fixed_topL_zero,100,0.4379658493744768,0.33565433467531713,0.16666666666666666
msmarco-passage-trec-dl-2019,573724,128,fixed_topL_zero,20,0.6177623502838339,0.4491786950835266,0.2753623188405797
msmarco-passage-trec-dl-2019,573724,128,fixed_topL_zero,100,0.6177623502838339,0.4491786950835266,0.7971014492753623
msmarco-passage-trec-dl-2019,168216,128,fixed_topL_zero,20,1.0,1.0,0.06920415224913495
msmarco-passage-trec-dl-2019,168216,128,fixed_topL_zero,100,1.0,1.0,0.3391003460207612
msmarco-passage-trec-dl-2019,1133167,128,fixed_topL_zero,20,0.6467706373212103,0.43247880973228325,0.07017543859649122
msmarco-passage-trec-dl-2019,1133167,128,fixed_topL_zero,100,0.6467706373212103,0.43247880973228325,0.3298245614035088
msmarco-passage-trec-dl-2019,527433,128,fixed_topL_zero,20,0.7300004915206632,0.6122899763058401,0.2
msmarco-passage-trec-dl-2019,527433,128,fixed_topL_zero,100,0.7300004915206632,0.6122899763058401,0.4266666666666667
msmarco-passage-trec-dl-2019,1037798,128,fixed_topL_zero,20,0.09203475405180912,0.1148764147845039,0.15384615384615385
msmarco-passage-trec-dl-2019,1037798,128,fixed_topL_zero,100,0.09203475405180912,0.1148764147845039,0.6923076923076923
msmarco-passage-trec-dl-2019,915593,128,fixed_topL_zero,20,0.5695203554398467,0.5281711479760391,0.07608695652173914
msmarco-passage-trec-dl-2019,915593,128,fixed_topL_zero,100,0.5695203554398467,0.5281711479760391,0.43478260869565216
msmarco-passage-trec-dl-2019,264014,128,fixed_topL_zero,20,0.7610631254827988,0.6309708028784059,0.09004739336492891
msmarco-passage-trec-dl-2019,264014,128,fixed_topL_zero,100,0.7610631254827988,0.6309708028784059,0.36018957345971564
msmarco-passage-trec-dl-2019,1121402,128,fixed_topL_zero,20,0.9652843890316114,0.9537125187088151,0.43478260869565216
msmarco-passage-trec-dl-2019,1121402,128,fixed_topL_zero,100,0.9652843890316114,0.9537125187088151,0.9565217391304348
msmarco-passage-trec-dl-2019,962179,128,fixed_topL_zero,20,0.7370070042305851,0.7230329238307068,0.4
msmarco-passage-trec-dl-2019,962179,128,fixed_topL_zero,100,0.7370070042305851,0.7230329238307068,0.88
msmarco-passage-trec-dl-2019,1117099,128,fixed_topL_zero,20,1.0,1.0,0.15966386554621848
msmarco-passage-trec-dl-2019,1117099,128,fixed_topL_zero,100,1.0,1.0,0.2773109243697479
msmarco-passage-trec-dl-2019,148538,128,fixed_topL_zero,20,0.4812489149319909,0.4709335881838884,0.13861386138613863
msmarco-passage-trec-dl-2019,148538,128,fixed_topL_zero,100,0.4812489149319909,0.4709335881838884,0.43564356435643564
msmarco-passage-trec-dl-2019,451602,128,fixed_topL_zero,20,0.41166147836518135,0.2848920447693976,0.07792207792207792
msmarco-passage-trec-dl-2019,451602,128,fixed_topL_zero,100,0.41166147836518135,0.2848920447693976,0.22727272727272727
msmarco-passage-trec-dl-2019,359349,128,fixed_topL_zero,20,0.8397728661031808,0.7253249133197388,0.32142857142857145
msmarco-passage-trec-dl-2019,359349,128,fixed_topL_zero,100,0.8397728661031808,0.7253249133197388,0.6428571428571429
msmarco-passage-trec-dl-2019,1115776,128,fixed_topL_zero,20,0.7552027838055048,0.7501276406848634,0.5416666666666666
msmarco-passage-trec-dl-2019,1115776,128,fixed_topL_zero,100,0.7552027838055048,0.7501276406848634,0.75
msmarco-passage-trec-dl-2019,1112341,128,fixed_topL_zero,20,0.6908286993811015,0.6066448242211794,0.08450704225352113
msmarco-passage-trec-dl-2019,1112341,128,fixed_topL_zero,100,0.6908286993811015,0.6066448242211794,0.22535211267605634
msmarco-passage-trec-dl-2019,131843,128,fixed_topL_zero,20,0.9216017310213247,0.9216017310213247,0.203125
msmarco-passage-trec-dl-2019,131843,128,fixed_topL_zero,100,0.9216017310213247,0.9216017310213247,0.34375
msmarco-passage-trec-dl-2019,104861,128,fixed_topL_zero,20,1.0,1.0,0.14184397163120568
msmarco-passage-trec-dl-2019,104861,128,fixed_topL_zero,100,1.0,1.0,0.475177304964539
msmarco-passage-trec-dl-2019,833860,128,fixed_topL_zero,20,0.9015027499869023,0.8521086920059355,0.22666666666666666
msmarco-passage-trec-dl-2019,833860,128,fixed_topL_zero,100,0.9015027499869023,0.8521086920059355,0.56
msmarco-passage-trec-dl-2019,207786,128,fixed_topL_zero,20,0.5245542131916595,0.42212304641184956,0.5416666666666666
msmarco-passage-trec-dl-2019,207786,128,fixed_topL_zero,100,0.5245542131916595,0.42212304641184956,0.75
msmarco-passage-trec-dl-2019,1114819,128,fixed_topL_zero,20,0.8339096563431521,0.7152736965882608,0.05865102639296188
msmarco-passage-trec-dl-2019,1114819,128,fixed_topL_zero,100,0.8339096563431521,0.7152736965882608,0.25806451612903225
msmarco-passage-trec-dl-2019,183378,128,fixed_topL_zero,20,0.9432379215722527,0.9270201848786105,0.08733624454148471
msmarco-passage-trec-dl-2019,183378,128,fixed_topL_zero,100,0.9432379215722527,0.9270201848786105,0.2663755458515284
msmarco-passage-trec-dl-2019,1106007,128,fixed_topL_zero,20,0.692504548584638,0.6672977972273672,0.15
msmarco-passage-trec-dl-2019,1106007,128,fixed_topL_zero,100,0.692504548584638,0.6672977972273672,0.4
msmarco-passage-trec-dl-2019,1124210,128,fixed_topL_zero,20,0.46297439773836047,0.3205150571907712,0.07913669064748201
msmarco-passage-trec-dl-2019,1124210,128,fixed_topL_zero,100,0.46297439773836047,0.3205150571907712,0.35251798561151076
msmarco-passage-trec-dl-2019,490595,128,fixed_topL_zero,20,0.5016214442531799,0.38643934874817354,0.2909090909090909
msmarco-passage-trec-dl-2019,490595,128,fixed_topL_zero,100,0.5016214442531799,0.38643934874817354,0.7636363636363637
msmarco-passage-trec-dl-2019,1103812,128,fixed_topL_zero,20,0.5956342699781225,0.6562537637975348,0.25806451612903225
msmarco-passage-trec-dl-2019,1103812,128,fixed_topL_zero,100,0.5956342699781225,0.6562537637975348,0.5161290322580645
msmarco-passage-trec-dl-2019,87181,128,fixed_topL_zero,20,0.8113991730202814,0.7729868713934951,0.18072289156626506
msmarco-passage-trec-dl-2019,87181,128,fixed_topL_zero,100,0.8113991730202814,0.7729868713934951,0.7349397590361446
msmarco-passage-trec-dl-2019,443396,128,fixed_topL_zero,20,0.22009176629808014,0.22009176629808017,0.010638297872340425
msmarco-passage-trec-dl-2019,443396,128,fixed_topL_zero,100,0.22009176629808014,0.22009176629808017,0.0425531914893617
msmarco-passage-trec-dl-2019,1121709,128,fixed_topL_zero,20,0.48367342188714474,0.4044789207924737,0.5833333333333334
msmarco-passage-trec-dl-2019,1121709,128,fixed_topL_zero,100,0.48367342188714474,0.4044789207924737,0.75
msmarco-passage-trec-dl-2019,87452,128,fixed_topL_zero,20,0.48507545736173496,0.30326249117284776,0.19753086419753085
msmarco-passage-trec-dl-2019,87452,128,fixed_topL_zero,100,0.48507545736173496,0.30326249117284776,0.4567901234567901
msmarco-passage-trec-dl-2019,855410,128,fixed_topL_zero,20,1.0,1.0,1.0
msmarco-passage-trec-dl-2019,855410,128,fixed_topL_zero,100,1.0,1.0,1.0
msmarco-passage-trec-dl-2019,1114646,128,fixed_topL_zero,20,0.5401866067962926,0.5290099444521252,0.2692307692307692
msmarco-passage-trec-dl-2019,1114646,128,fixed_topL_zero,100,0.5401866067962926,0.5290099444521252,0.7115384615384616
msmarco-passage-trec-dl-2019,19335,128,fixed_topL_zero,20,0.5754220400323602,0.5229273485438384,0.4
msmarco-passage-trec-dl-2019,19335,128,fixed_topL_zero,100,0.5754220400323602,0.5229273485438384,0.85
msmarco-passage-trec-dl-2019,47923,128,fixed_topL_zero,20,0.5123773350843918,0.3338230861874565,0.16964285714285715
msmarco-passage-trec-dl-2019,47923,128,fixed_topL_zero,100,0.5123773350843918,0.3338230861874565,0.39285714285714285
msmarco-passage-trec-dl-2019,405717,128,fixed_topL_zero,20,0.5254096938478459,0.4474990213371721,0.37142857142857144
msmarco-passage-trec-dl-2019,405717,128,fixed_topL_zero,100,0.5254096938478459,0.4474990213371721,0.6571428571428571
msmarco-passage-trec-dl-2019,182539,128,fixed_topL_zero,20,0.697345030871074,0.5935587324589802,0.3584905660377358
msmarco-passage-trec-dl-2019,182539,128,fixed_topL_zero,100,0.697345030871074,0.5935587324589802,0.8301886792452831
msmarco-passage-trec-dl-2019,1113437,128,fixed_topL_zero,20,0.27489164920288794,0.19580352632229736,0.1038961038961039
msmarco-passage-trec-dl-2019,1113437,128,fixed_topL_zero,100,0.27489164920288794,0.19580352632229736,0.4025974025974026
msmarco-passage-trec-dl-2019,1129237,128,fixed_topL_zero,20,0.7542236021833271,0.7180897471647472,0.5714285714285714
msmarco-passage-trec-dl-2019,1129237,128,fixed_topL_zero,100,0.7542236021833271,0.7180897471647472,0.8571428571428571
msmarco-passage-trec-dl-2019,146187,128,fixed_topL_zero,20,0.8206551819920924,0.7542514543007663,0.5217391304347826
msmarco-passage-trec-dl-2019,146187,128,fixed_topL_zero,100,0.8206551819920924,0.7542514543007663,0.8260869565217391
msmarco-passage-trec-dl-2019,156493,128,balanced_zero,20,0.9504318313235595,0.8865613677260856,0.15037593984962405
msmarco-passage-trec-dl-2019,156493,128,balanced_zero,100,0.9504318313235595,0.8865613677260856,0.5714285714285714
msmarco-passage-trec-dl-2019,1110199,128,balanced_zero,20,0.6549542260757428,0.5391982264210395,0.2857142857142857
msmarco-passage-trec-dl-2019,1110199,128,balanced_zero,100,0.6549542260757428,0.5391982264210395,0.4
msmarco-passage-trec-dl-2019,1063750,128,balanced_zero,20,0.4949527155963074,0.37593464133818866,0.03985507246376811
msmarco-passage-trec-dl-2019,1063750,128,balanced_zero,100,0.4949527155963074,0.37593464133818866,0.15579710144927536
msmarco-passage-trec-dl-2019,130510,128,balanced_zero,20,0.8223182274712042,0.7468404933801903,0.6785714285714286
msmarco-passage-trec-dl-2019,130510,128,balanced_zero,100,0.8223182274712042,0.7468404933801903,0.9642857142857143
msmarco-passage-trec-dl-2019,489204,128,balanced_zero,20,0.4379658493744768,0.33565433467531713,0.07291666666666667
msmarco-passage-trec-dl-2019,489204,128,balanced_zero,100,0.4379658493744768,0.33565433467531713,0.16666666666666666
msmarco-passage-trec-dl-2019,573724,128,balanced_zero,20,0.6177623502838339,0.4491786950835266,0.2753623188405797
msmarco-passage-trec-dl-2019,573724,128,balanced_zero,100,0.6177623502838339,0.4491786950835266,0.7971014492753623
msmarco-passage-trec-dl-2019,168216,128,balanced_zero,20,1.0,1.0,0.06920415224913495
msmarco-passage-trec-dl-2019,168216,128,balanced_zero,100,1.0,1.0,0.3391003460207612
msmarco-passage-trec-dl-2019,1133167,128,balanced_zero,20,0.6467706373212103,0.43247880973228325,0.07017543859649122
msmarco-passage-trec-dl-2019,1133167,128,balanced_zero,100,0.6467706373212103,0.43247880973228325,0.3298245614035088
msmarco-passage-trec-dl-2019,527433,128,balanced_zero,20,0.7300004915206632,0.6122899763058401,0.2
msmarco-passage-trec-dl-2019,527433,128,balanced_zero,100,0.7300004915206632,0.6122899763058401,0.4266666666666667
msmarco-passage-trec-dl-2019,1037798,128,balanced_zero,20,0.09203475405180912,0.1148764147845039,0.15384615384615385
msmarco-passage-trec-dl-2019,1037798,128,balanced_zero,100,0.09203475405180912,0.1148764147845039,0.6923076923076923
msmarco-passage-trec-dl-2019,915593,128,balanced_zero,20,0.5695203554398467,0.5281711479760391,0.07608695652173914
msmarco-passage-trec-dl-2019,915593,128,balanced_zero,100,0.5695203554398467,0.5281711479760391,0.43478260869565216
msmarco-passage-trec-dl-2019,264014,128,balanced_zero,20,0.7610631254827988,0.6309708028784059,0.09004739336492891
msmarco-passage-trec-dl-2019,264014,128,balanced_zero,100,0.7610631254827988,0.6309708028784059,0.36018957345971564
msmarco-passage-trec-dl-2019,1121402,128,balanced_zero,20,0.9652843890316114,0.9537125187088151,0.43478260869565216
msmarco-passage-trec-dl-2019,1121402,128,balanced_zero,100,0.9652843890316114,0.9537125187088151,0.9565217391304348
msmarco-passage-trec-dl-2019,962179,128,balanced_zero,20,0.7370070042305851,0.7230329238307068,0.4
msmarco-passage-trec-dl-2019,962179,128,balanced_zero,100,0.7370070042305851,0.7230329238307068,0.88
msmarco-passage-trec-dl-2019,1117099,128,balanced_zero,20,1.0,1.0,0.15966386554621848
msmarco-passage-trec-dl-2019,1117099,128,balanced_zero,100,1.0,1.0,0.2773109243697479
msmarco-passage-trec-dl-2019,148538,128,balanced_zero,20,0.4812489149319909,0.4709335881838884,0.13861386138613863
msmarco-passage-trec-dl-2019,148538,128,balanced_zero,100,0.4812489149319909,0.4709335881838884,0.43564356435643564
msmarco-passage-trec-dl-2019,451602,128,balanced_zero,20,0.41166147836518135,0.2848920447693976,0.07792207792207792
msmarco-passage-trec-dl-2019,451602,128,balanced_zero,100,0.41166147836518135,0.2848920447693976,0.22727272727272727
msmarco-passage-trec-dl-2019,359349,128,balanced_zero,20,0.8397728661031808,0.7253249133197388,0.32142857142857145
msmarco-passage-trec-dl-2019,359349,128,balanced_zero,100,0.8397728661031808,0.7253249133197388,0.6428571428571429
msmarco-passage-trec-dl-2019,1115776,128,balanced_zero,20,0.7552027838055048,0.7501276406848634,0.5416666666666666
msmarco-passage-trec-dl-2019,1115776,128,balanced_zero,100,0.7552027838055048,0.7501276406848634,0.75
