dataset,snapshot,query_id,policy,batch,budget,accesses,dense,sparse,known,stop,k,k_lower,k_upper,k20,ndcg20,full_ndcg20,cost20,baseline20_complete,budget20_cost,elapsed_seconds
msmarco-passage-trec-dl-2019,0,490595,dibud,1,128,128,52,76,1,budget,22,22,22,20,0.5724624301728537,0.5724624301728537,116,1,116,0.20732474990654737
msmarco-passage-trec-dl-2019,0,490595,dibud,1,256,256,114,142,1,budget,39,39,39,20,0.5724624301728537,0.5724624301728537,116,1,116,0.20732574991416186
msmarco-passage-trec-dl-2019,0,490595,dibud,1,512,512,199,313,1,budget,58,58,58,20,0.5724624301728537,0.5724624301728537,116,1,116,0.20732637494802475
msmarco-passage-trec-dl-2019,0,490595,dibud,1,1024,1003,635,368,1,cap100,100,100,100,20,0.5724624301728537,0.5724624301728537,116,1,116,0.2073266669176519
msmarco-passage-trec-dl-2019,0,490595,dibud,1,2048,1003,635,368,1,cap100,100,100,100,20,0.5724624301728537,0.5724624301728537,116,1,116,0.207326874951832
msmarco-passage-trec-dl-2019,0,490595,dibud,1,4096,1003,635,368,1,cap100,100,100,100,20,0.5724624301728537,0.5724624301728537,116,1,116,0.2073270418914035
msmarco-passage-trec-dl-2019,0,490595,dibud,1,8192,1003,635,368,1,cap100,100,100,100,20,0.5724624301728537,0.5724624301728537,116,1,116,0.20732720789965242
msmarco-passage-trec-dl-2019,0,490595,dibud,1,10000,1003,635,368,1,cap100,100,100,100,20,0.5724624301728537,0.5724624301728537,116,1,116,0.20732737495563924
msmarco-passage-trec-dl-2019,0,490595,balanced,1,128,128,64,64,1,budget,17,17,17,17,0.5183119899313551,0.5724624301728537,136,1,128,0.26801024994347245
msmarco-passage-trec-dl-2019,0,490595,balanced,1,256,256,128,128,1,budget,30,30,30,20,0.5724624301728537,0.5724624301728537,136,1,136,0.26801066694315523
msmarco-passage-trec-dl-2019,0,490595,balanced,1,512,512,256,256,1,budget,54,54,54,20,0.5724624301728537,0.5724624301728537,136,1,136,0.268011000007391
msmarco-passage-trec-dl-2019,0,490595,balanced,1,1024,1024,512,512,1,budget,71,71,71,20,0.5724624301728537,0.5724624301728537,136,1,136,0.26801124995108694
msmarco-passage-trec-dl-2019,0,490595,balanced,1,2048,1269,635,634,1,cap100,100,100,100,20,0.5724624301728537,0.5724624301728537,136,1,136,0.26801141700707376
msmarco-passage-trec-dl-2019,0,490595,balanced,1,4096,1269,635,634,1,cap100,100,100,100,20,0.5724624301728537,0.5724624301728537,136,1,136,0.26801162504125386
msmarco-passage-trec-dl-2019,0,490595,balanced,1,8192,1269,635,634,1,cap100,100,100,100,20,0.5724624301728537,0.5724624301728537,136,1,136,0.26801179198082536
msmarco-passage-trec-dl-2019,0,490595,balanced,1,10000,1269,635,634,1,cap100,100,100,100,20,0.5724624301728537,0.5724624301728537,136,1,136,0.268011917010881
msmarco-passage-trec-dl-2019,0,490595,dibud,64,128,128,64,64,1,budget,17,17,17,17,0.5183119899313551,0.5724624301728537,192,1,128,0.010785625083371997
msmarco-passage-trec-dl-2019,0,490595,dibud,64,256,256,128,128,1,budget,30,30,30,20,0.5724624301728537,0.5724624301728537,192,1,192,0.010786083061248064
msmarco-passage-trec-dl-2019,0,490595,dibud,64,512,512,256,256,1,budget,54,54,54,20,0.5724624301728537,0.5724624301728537,192,1,192,0.010786416009068489
