dataset,snapshot,query_id,policy,batch,k,completed,cost,lower_bound,terminal_accesses,stop
msmarco-passage-trec-dl-2019,0,490595,dibud,1,1,1,10,10,1003,cap100
msmarco-passage-trec-dl-2019,0,490595,dibud,1,2,1,10,10,1003,cap100
msmarco-passage-trec-dl-2019,0,490595,dibud,1,3,1,14,14,1003,cap100
msmarco-passage-trec-dl-2019,0,490595,dibud,1,4,1,26,26,1003,cap100
msmarco-passage-trec-dl-2019,0,490595,dibud,1,5,1,46,46,1003,cap100
msmarco-passage-trec-dl-2019,0,490595,dibud,1,6,1,52,52,1003,cap100
msmarco-passage-trec-dl-2019,0,490595,dibud,1,7,1,74,74,1003,cap100
msmarco-passage-trec-dl-2019,0,490595,dibud,1,8,1,80,80,1003,cap100
msmarco-passage-trec-dl-2019,0,490595,dibud,1,9,1,92,92,1003,cap100
msmarco-passage-trec-dl-2019,0,490595,dibud,1,10,1,95,95,1003,cap100
msmarco-passage-trec-dl-2019,0,490595,dibud,1,11,1,98,98,1003,cap100
msmarco-passage-trec-dl-2019,0,490595,dibud,1,12,1,98,98,1003,cap100
msmarco-passage-trec-dl-2019,0,490595,dibud,1,13,1,99,99,1003,cap100
msmarco-passage-trec-dl-2019,0,490595,dibud,1,14,1,100,100,1003,cap100
msmarco-passage-trec-dl-2019,0,490595,dibud,1,15,1,105,105,1003,cap100
msmarco-passage-trec-dl-2019,0,490595,dibud,1,16,1,111,111,1003,cap100
msmarco-passage-trec-dl-2019,0,490595,dibud,1,17,1,112,112,1003,cap100
msmarco-passage-trec-dl-2019,0,490595,dibud,1,18,1,116,116,1003,cap100
msmarco-passage-trec-dl-2019,0,490595,dibud,1,19,1,116,116,1003,cap100
msmarco-passage-trec-dl-2019,0,490595,dibud,1,20,1,116,116,1003,cap100
msmarco-passage-trec-dl-2019,0,490595,dibud,1,21,1,127,127,1003,cap100
msmarco-passage-trec-dl-2019,0,490595,dibud,1,22,1,128,128,1003,cap100
msmarco-passage-trec-dl-2019,0,490595,dibud,1,23,1,141,141,1003,cap100
msmarco-passage-trec-dl-2019,0,490595,dibud,1,24,1,152,152,1003,cap100
msmarco-passage-trec-dl-2019,0,490595,dibud,1,25,1,164,164,1003,cap100
msmarco-passage-trec-dl-2019,0,490595,dibud,1,26,1,173,173,1003,cap100
msmarco-passage-trec-dl-2019,0,490595,dibud,1,27,1,180,180,1003,cap100
msmarco-passage-trec-dl-2019,0,490595,dibud,1,28,1,188,188,1003,cap100
msmarco-passage-trec-dl-2019,0,490595,dibud,1,29,1,202,202,1003,cap100
msmarco-passage-trec-dl-2019,0,490595,dibud,1,30,1,204,204,1003,cap100
msmarco-passage-trec-dl-2019,0,490595,dibud,1,31,1,215,215,1003,cap100
msmarco-passage-trec-dl-2019,0,490595,dibud,1,32,1,223,223,1003,cap100
msmarco-passage-trec-dl-2019,0,490595,dibud,1,33,1,226,226,1003,cap100
msmarco-passage-trec-dl-2019,0,490595,dibud,1,34,1,234,234,1003,cap100
msmarco-passage-trec-dl-2019,0,490595,dibud,1,35,1,234,234,1003,cap100
msmarco-passage-trec-dl-2019,0,490595,dibud,1,36,1,235,235,1003,cap100
msmarco-passage-trec-dl-2019,0,490595,dibud,1,37,1,239,239,1003,cap100
msmarco-passage-trec-dl-2019,0,490595,dibud,1,38,1,246,246,1003,cap100
msmarco-passage-trec-dl-2019,0,490595,dibud,1,39,1,250,250,1003,cap100
msmarco-passage-trec-dl-2019,0,490595,dibud,1,40,1,260,260,1003,cap100
msmarco-passage-trec-dl-2019,0,490595,dibud,1,41,1,291,291,1003,cap100
msmarco-passage-trec-dl-2019,0,490595,dibud,1,42,1,310,310,1003,cap100
msmarco-passage-trec-dl-2019,0,490595,dibud,1,43,1,316,316,1003,cap100
msmarco-passage-trec-dl-2019,0,490595,dibud,1,44,1,329,329,1003,cap100
msmarco-passage-trec-dl-2019,0,490595,dibud,1,45,1,340,340,1003,cap100
msmarco-passage-trec-dl-2019,0,490595,dibud,1,46,1,343,343,1003,cap100
msmarco-passage-trec-dl-2019,0,490595,dibud,1,47,1,343,343,1003,cap100
msmarco-passage-trec-dl-2019,0,490595,dibud,1,48,1,357,357,1003,cap100
