dataset,snapshot,query_id,L,accesses,ndcg10,full_ndcg10,ordered20,overlap20
msmarco-passage-trec-dl-2019,0,490595,10,20,0.446230113814477,0.5016214442531799,0,0.65
msmarco-passage-trec-dl-2019,0,490595,20,40,0.47821730501042975,0.5016214442531799,0,0.7
msmarco-passage-trec-dl-2019,0,490595,50,100,0.5016214442531799,0.5016214442531799,0,0.95
msmarco-passage-trec-dl-2019,0,490595,100,200,0.5016214442531799,0.5016214442531799,1,1.0
msmarco-passage-trec-dl-2019,0,490595,200,400,0.5016214442531799,0.5016214442531799,1,1.0
msmarco-passage-trec-dl-2019,0,490595,500,1000,0.5016214442531799,0.5016214442531799,1,1.0
msmarco-passage-trec-dl-2019,0,490595,1000,2000,0.5016214442531799,0.5016214442531799,1,1.0
msmarco-passage-trec-dl-2019,0,490595,2000,4000,0.5016214442531799,0.5016214442531799,1,1.0
msmarco-passage-trec-dl-2019,0,490595,5000,10000,0.5016214442531799,0.5016214442531799,1,1.0
msmarco-passage-trec-dl-2019,0,855410,10,20,1.0,1.0,0,0.75
msmarco-passage-trec-dl-2019,0,855410,20,40,1.0,1.0,0,0.95
msmarco-passage-trec-dl-2019,0,855410,50,100,1.0,1.0,0,0.95
msmarco-passage-trec-dl-2019,0,855410,100,200,1.0,1.0,0,0.95
msmarco-passage-trec-dl-2019,0,855410,200,400,1.0,1.0,0,0.95
msmarco-passage-trec-dl-2019,0,855410,500,1000,1.0,1.0,0,0.95
msmarco-passage-trec-dl-2019,0,855410,1000,2000,1.0,1.0,0,0.95
msmarco-passage-trec-dl-2019,0,855410,2000,4000,1.0,1.0,0,0.95
msmarco-passage-trec-dl-2019,0,855410,5000,10000,1.0,1.0,0,0.95
msmarco-passage-trec-dl-2020,0,1109707,10,20,0.7426053798006326,0.6993876603474506,0,0.6
msmarco-passage-trec-dl-2020,0,1109707,20,40,0.7409353425419882,0.6993876603474506,0,0.65
msmarco-passage-trec-dl-2020,0,1109707,50,100,0.656562004227358,0.6993876603474506,0,0.65
msmarco-passage-trec-dl-2020,0,1109707,100,200,0.632086072545981,0.6993876603474506,0,0.8
msmarco-passage-trec-dl-2020,0,1109707,200,400,0.6993876603474506,0.6993876603474506,0,0.95
msmarco-passage-trec-dl-2020,0,1109707,500,1000,0.6993876603474506,0.6993876603474506,1,1.0
msmarco-passage-trec-dl-2020,0,1109707,1000,2000,0.6993876603474506,0.6993876603474506,1,1.0
msmarco-passage-trec-dl-2020,0,1109707,2000,4000,0.6993876603474506,0.6993876603474506,1,1.0
msmarco-passage-trec-dl-2020,0,1109707,5000,10000,0.6993876603474506,0.6993876603474506,1,1.0
msmarco-passage-trec-dl-2020,0,390360,10,20,0.5701494307154445,0.6640143973443788,0,0.6
msmarco-passage-trec-dl-2020,0,390360,20,40,0.5804968374546868,0.6640143973443788,0,0.7
msmarco-passage-trec-dl-2020,0,390360,50,100,0.5804968374546868,0.6640143973443788,0,0.7
