dataset,policy,batch,budget,n,coverage,mean_k_lower,mean_k_upper,k20_lower,k20_upper,median_k_lower,p10_k_lower,empty_lower,empty_upper,at10_lower,at10_upper,at20_lower,at20_upper
msmarco-passage-trec-dl-2019,balanced,1,128,43,1.0,9.953488372093023,9.953488372093023,9.651162790697674,9.651162790697674,9.0,2.2,0.0,0.0,0.4418604651162791,0.4418604651162791,0.09302325581395349,0.09302325581395349
msmarco-passage-trec-dl-2019,balanced,1,256,43,1.0,17.0,17.0,14.069767441860465,14.069767441860465,17.0,5.2,0.0,0.0,0.6976744186046512,0.6976744186046512,0.46511627906976744,0.46511627906976744
msmarco-passage-trec-dl-2019,balanced,1,512,43,1.0,27.53488372093023,27.53488372093023,15.930232558139535,15.930232558139535,25.0,7.0,0.0,0.0,0.8372093023255814,0.8372093023255814,0.5813953488372093,0.5813953488372093
msmarco-passage-trec-dl-2019,balanced,1,1024,43,1.0,35.2093023255814,35.2093023255814,17.13953488372093,17.13953488372093,30.0,9.2,0.0,0.0,0.8837209302325582,0.8837209302325582,0.6511627906976745,0.6511627906976745
msmarco-passage-trec-dl-2019,balanced,1,2048,43,1.0,41.86046511627907,41.86046511627907,17.767441860465116,17.767441860465116,33.0,10.2,0.0,0.0,0.9302325581395349,0.9302325581395349,0.7674418604651163,0.7674418604651163
msmarco-passage-trec-dl-2019,balanced,1,4096,43,1.0,48.41860465116279,48.41860465116279,18.162790697674417,18.162790697674417,37.0,13.0,0.0,0.0,0.9302325581395349,0.9302325581395349,0.7906976744186046,0.7906976744186046
msmarco-passage-trec-dl-2019,balanced,1,8192,43,1.0,53.2093023255814,53.2093023255814,18.441860465116278,18.441860465116278,44.0,13.2,0.0,0.0,0.9534883720930233,0.9534883720930233,0.813953488372093,0.813953488372093
msmarco-passage-trec-dl-2019,balanced,1,10000,43,1.0,55.72093023255814,55.72093023255814,18.58139534883721,18.58139534883721,45.0,13.4,0.0,0.0,0.9534883720930233,0.9534883720930233,0.813953488372093,0.813953488372093
msmarco-passage-trec-dl-2019,balanced,64,128,43,1.0,9.953488372093023,9.953488372093023,9.651162790697674,9.651162790697674,9.0,2.2,0.0,0.0,0.4418604651162791,0.4418604651162791,0.09302325581395349,0.09302325581395349
msmarco-passage-trec-dl-2019,balanced,64,256,43,1.0,17.0,17.0,14.069767441860465,14.069767441860465,17.0,5.2,0.0,0.0,0.6976744186046512,0.6976744186046512,0.46511627906976744,0.46511627906976744
msmarco-passage-trec-dl-2019,balanced,64,512,43,1.0,27.53488372093023,27.53488372093023,15.930232558139535,15.930232558139535,25.0,7.0,0.0,0.0,0.8372093023255814,0.8372093023255814,0.5813953488372093,0.5813953488372093
msmarco-passage-trec-dl-2019,balanced,64,1024,43,1.0,35.2093023255814,35.2093023255814,17.13953488372093,17.13953488372093,30.0,9.2,0.0,0.0,0.8837209302325582,0.8837209302325582,0.6511627906976745,0.6511627906976745
msmarco-passage-trec-dl-2019,balanced,64,2048,43,1.0,41.86046511627907,41.86046511627907,17.767441860465116,17.767441860465116,33.0,10.2,0.0,0.0,0.9302325581395349,0.9302325581395349,0.7674418604651163,0.7674418604651163
