dataset,query_id,policy,batch,lower,upper,complete
msmarco-passage-trec-dl-2019,1037798,balanced,1,0.11727677171427289,0.11727677171427289,1
msmarco-passage-trec-dl-2019,1037798,balanced,64,0.11727677171427289,0.11727677171427289,1
msmarco-passage-trec-dl-2019,1037798,dibud,1,0.11727677171427289,0.22626867987422106,0
msmarco-passage-trec-dl-2019,1037798,dibud,64,0.11727677171427289,0.22626867987422106,0
msmarco-passage-trec-dl-2019,104861,balanced,1,0.2559930130711628,0.2559930130711628,1
msmarco-passage-trec-dl-2019,104861,balanced,64,0.2559930130711628,0.2559930130711628,1
msmarco-passage-trec-dl-2019,104861,dibud,1,0.2964505918568674,0.3503201556600602,0
msmarco-passage-trec-dl-2019,104861,dibud,64,0.29326978478543564,0.3471393485886284,0
msmarco-passage-trec-dl-2019,1063750,balanced,1,0.09763663912492715,0.09763663912492715,1
msmarco-passage-trec-dl-2019,1063750,balanced,64,0.09763663912492715,0.09763663912492715,1
msmarco-passage-trec-dl-2019,1063750,dibud,1,0.10081744619635892,0.20479823214205656,0
msmarco-passage-trec-dl-2019,1063750,dibud,64,0.09922704266064303,0.2032078286063407,0
msmarco-passage-trec-dl-2019,1103812,balanced,1,0.1174412163748263,0.1174412163748263,1
msmarco-passage-trec-dl-2019,1103812,balanced,64,0.1174412163748263,0.1174412163748263,1
msmarco-passage-trec-dl-2019,1103812,dibud,1,0.12744121637482625,0.21513585512420985,0
msmarco-passage-trec-dl-2019,1103812,dibud,64,0.12426040930339449,0.21195504805277807,0
msmarco-passage-trec-dl-2019,1106007,balanced,1,0.22549094542845613,0.22549094542845613,1
msmarco-passage-trec-dl-2019,1106007,balanced,64,0.22549094542845613,0.22549094542845613,1
msmarco-passage-trec-dl-2019,1106007,dibud,1,0.23423816487489352,0.3169216814100266,0
msmarco-passage-trec-dl-2019,1106007,dibud,64,0.2302621560356038,0.31294567257073685,0
msmarco-passage-trec-dl-2019,1110199,balanced,1,0.11161264796421687,0.11161264796421687,1
msmarco-passage-trec-dl-2019,1110199,balanced,64,0.11161264796421687,0.11161264796421687,1
msmarco-passage-trec-dl-2019,1110199,dibud,1,0.11366063028563742,0.21513585512420985,0
msmarco-passage-trec-dl-2019,1110199,dibud,64,0.11366063028563742,0.21513585512420985,0
msmarco-passage-trec-dl-2019,1112341,balanced,1,0.19061090123200758,0.19061090123200758,1
msmarco-passage-trec-dl-2019,1112341,balanced,64,0.19061090123200758,0.19061090123200758,1
msmarco-passage-trec-dl-2019,1112341,dibud,1,0.2003821118391552,0.28431840892785093,0
msmarco-passage-trec-dl-2019,1112341,dibud,64,0.1964061029998655,0.2803424000885612,0
msmarco-passage-trec-dl-2019,1113437,balanced,1,0.16256117217837765,0.16256117217837765,1
msmarco-passage-trec-dl-2019,1113437,balanced,64,0.16256117217837765,0.16256117217837765,1
msmarco-passage-trec-dl-2019,1113437,dibud,1,0.18733238278552533,0.2010597463566657,0
msmarco-passage-trec-dl-2019,1113437,dibud,64,0.18733238278552533,0.2010597463566657,0
msmarco-passage-trec-dl-2019,1114646,balanced,1,0.28876946387493835,0.28876946387493835,1
msmarco-passage-trec-dl-2019,1114646,balanced,64,0.28876946387493835,0.28876946387493835,1
msmarco-passage-trec-dl-2019,1114646,dibud,1,0.2983118850892337,0.37974262107080414,0
msmarco-passage-trec-dl-2019,1114646,dibud,64,0.29513107801780186,0.3765618139993724,0
msmarco-passage-trec-dl-2019,1114819,balanced,1,0.71770337241043,0.71770337241043,1
msmarco-passage-trec-dl-2019,1114819,balanced,64,0.71770337241043,0.71770337241043,1
msmarco-passage-trec-dl-2019,1114819,dibud,1,0.7479210395890319,0.7479210395890319,1
msmarco-passage-trec-dl-2019,1114819,dibud,64,0.7367882148390207,0.7367882148390207,1
msmarco-passage-trec-dl-2019,1115776,balanced,1,0.2616571368212188,0.2616571368212188,1
msmarco-passage-trec-dl-2019,1115776,balanced,64,0.2616571368212188,0.2616571368212188,1
msmarco-passage-trec-dl-2019,1115776,dibud,1,0.2664283474283665,0.27855418524954045,0
msmarco-passage-trec-dl-2019,1115776,dibud,64,0.2632475403569347,0.2753733781781087,0
msmarco-passage-trec-dl-2019,1117099,balanced,1,0.28321417371418317,0.28321417371418317,1
msmarco-passage-trec-dl-2019,1117099,balanced,64,0.28321417371418317,0.28321417371418317,1
msmarco-passage-trec-dl-2019,1117099,dibud,1,0.3001422002320524,0.3765618139993724,0
msmarco-passage-trec-dl-2019,1117099,dibud,64,0.2985517966963365,0.37497141046365645,0
msmarco-passage-trec-dl-2019,1121402,balanced,1,0.36197251537487113,0.36197251537487113,1
msmarco-passage-trec-dl-2019,1121402,balanced,64,0.36197251537487113,0.36197251537487113,1
msmarco-passage-trec-dl-2019,1121402,dibud,1,0.3787917083034393,0.39000238855320396,0
msmarco-passage-trec-dl-2019,1121402,dibud,64,0.3772013047677234,0.3884119850174881,0
msmarco-passage-trec-dl-2019,1121709,balanced,1,0.0622878939285234,0.0622878939285234,1
msmarco-passage-trec-dl-2019,1121709,balanced,64,0.0622878939285234,0.0622878939285234,1
msmarco-passage-trec-dl-2019,1121709,dibud,1,0.0622878939285234,0.1737853631955968,0
msmarco-passage-trec-dl-2019,1121709,dibud,64,0.0622878939285234,0.1737853631955968,0
msmarco-passage-trec-dl-2019,1124210,balanced,1,0.04034874519640375,0.04034874519640375,1
msmarco-passage-trec-dl-2019,1124210,balanced,64,0.04034874519640375,0.04034874519640375,1
msmarco-passage-trec-dl-2019,1124210,dibud,1,0.04034874519640375,0.06162615873167133,0
msmarco-passage-trec-dl-2019,1124210,dibud,64,0.04034874519640375,0.06162615873167133,0
msmarco-passage-trec-dl-2019,1129237,balanced,1,0.24278996157123,0.24278996157123,1
msmarco-passage-trec-dl-2019,1129237,balanced,64,0.24278996157123,0.24278996157123,1
msmarco-passage-trec-dl-2019,1129237,dibud,1,0.2698268216784001,0.28263902767813115,0
msmarco-passage-trec-dl-2019,1129237,dibud,64,0.2666460146069683,0.2794582206066994,0
msmarco-passage-trec-dl-2019,1133167,balanced,1,0.46880521907089373,0.46880521907089373,1
msmarco-passage-trec-dl-2019,1133167,balanced,64,0.46880521907089373,0.46880521907089373,1
msmarco-passage-trec-dl-2019,1133167,dibud,1,0.5292405534280974,0.5292405534280974,1
