dataset,policy,batch,k,n,completion,mean_cost_lower,median_lower,median_upper,p90_lower,p90_upper,p95_lower,p95_upper
msmarco-passage-trec-dl-2019,balanced,1,5,43,1.0,125.65116279069767,52,52.0,244,244.0,266,266.0
msmarco-passage-trec-dl-2019,balanced,1,10,43,0.9534883720930233,881.3255813953489,136,136.0,1394,1394.0,7451,7451.0
msmarco-passage-trec-dl-2019,balanced,1,20,43,0.813953488372093,2414.232558139535,368,368.0,10001,inf,10001,inf
msmarco-passage-trec-dl-2019,balanced,1,50,43,0.46511627906976744,6537.906976744186,10001,inf,10001,inf,10001,inf
msmarco-passage-trec-dl-2019,balanced,1,100,43,0.2558139534883721,8416.06976744186,10001,inf,10001,inf,10001,inf
msmarco-passage-trec-dl-2019,balanced,64,5,43,1.0,202.41860465116278,128,128.0,256,256.0,384,384.0
msmarco-passage-trec-dl-2019,balanced,64,10,43,0.9534883720930233,931.0232558139535,256,256.0,1408,1408.0,7488,7488.0
msmarco-passage-trec-dl-2019,balanced,64,20,43,0.813953488372093,2451.5348837209303,384,384.0,10001,inf,10001,inf
msmarco-passage-trec-dl-2019,balanced,64,50,43,0.46511627906976744,6549.0,10001,inf,10001,inf,10001,inf
msmarco-passage-trec-dl-2019,balanced,64,100,43,0.2558139534883721,8414.511627906977,10001,inf,10001,inf,10001,inf
msmarco-passage-trec-dl-2019,dibud,1,5,43,1.0,123.32558139534883,50,50.0,244,244.0,265,265.0
msmarco-passage-trec-dl-2019,dibud,1,10,43,0.9534883720930233,789.7906976744187,128,128.0,1268,1268.0,5588,5588.0
msmarco-passage-trec-dl-2019,dibud,1,20,43,0.813953488372093,2004.3488372093022,311,311.0,8010,inf,9108,inf
msmarco-passage-trec-dl-2019,dibud,1,50,43,0.46511627906976744,4806.837209302325,5434,inf,9108,inf,9771,inf
msmarco-passage-trec-dl-2019,dibud,1,100,43,0.2558139534883721,6158.395348837209,6334,inf,9327,inf,9771,inf
msmarco-passage-trec-dl-2019,dibud,64,5,43,1.0,202.41860465116278,128,128.0,256,256.0,384,384.0
msmarco-passage-trec-dl-2019,dibud,64,10,43,0.9534883720930233,848.7906976744187,192,192.0,1280,1280.0,5696,5696.0
msmarco-passage-trec-dl-2019,dibud,64,20,43,0.813953488372093,2061.767441860465,320,320.0,8073,inf,9161,inf
msmarco-passage-trec-dl-2019,dibud,64,50,43,0.46511627906976744,4849.837209302325,5449,inf,9161,inf,9801,inf
msmarco-passage-trec-dl-2019,dibud,64,100,43,0.2558139534883721,6197.209302325581,6345,inf,9353,inf,9801,inf
msmarco-passage-trec-dl-2020,balanced,1,5,54,1.0,81.16666666666667,45,45.0,177,177.0,272,272.0
msmarco-passage-trec-dl-2020,balanced,1,10,54,1.0,400.0,127,127.0,904,904.0,1083,1083.0
msmarco-passage-trec-dl-2020,balanced,1,20,54,0.8518518518518519,2477.8888888888887,500,500.0,10001,inf,10001,inf
msmarco-passage-trec-dl-2020,balanced,1,50,54,0.4444444444444444,6810.12962962963,10001,inf,10001,inf,10001,inf
msmarco-passage-trec-dl-2020,balanced,1,100,54,0.05555555555555555,9641.462962962964,10001,inf,10001,inf,10001,inf
msmarco-passage-trec-dl-2020,balanced,64,5,54,1.0,167.11111111111111,128,128.0,256,256.0,384,384.0
msmarco-passage-trec-dl-2020,balanced,64,10,54,1.0,455.1111111111111,128,128.0,1024,1024.0,1088,1088.0
msmarco-passage-trec-dl-2020,balanced,64,20,54,0.8518518518518519,2512.740740740741,512,512.0,10001,inf,10001,inf
msmarco-passage-trec-dl-2020,balanced,64,50,54,0.4444444444444444,6819.518518518518,10001,inf,10001,inf,10001,inf
msmarco-passage-trec-dl-2020,balanced,64,100,54,0.05555555555555555,9642.12962962963,10001,inf,10001,inf,10001,inf
msmarco-passage-trec-dl-2020,dibud,1,5,54,1.0,78.87037037037037,44,44.0,173,173.0,262,262.0
msmarco-passage-trec-dl-2020,dibud,1,10,54,1.0,369.94444444444446,124,124.0,794,794.0,1006,1006.0
msmarco-passage-trec-dl-2020,dibud,1,20,54,0.8518518518518519,1940.2962962962963,444,444.0,6690,inf,9912,inf
msmarco-passage-trec-dl-2020,dibud,1,50,54,0.4444444444444444,5214.074074074074,5815,inf,9912,inf,10001,inf
msmarco-passage-trec-dl-2020,dibud,1,100,54,0.05555555555555555,7000.074074074074,6690,inf,9912,inf,10001,inf
msmarco-passage-trec-dl-2020,dibud,64,5,54,1.0,164.74074074074073,128,128.0,256,256.0,320,320.0
msmarco-passage-trec-dl-2020,dibud,64,10,54,1.0,430.22222222222223,128,128.0,896,896.0,1024,1024.0
msmarco-passage-trec-dl-2020,dibud,64,20,54,0.8518518518518519,1999.851851851852,512,512.0,6729,inf,9929,inf
msmarco-passage-trec-dl-2020,dibud,64,50,54,0.4444444444444444,5258.481481481482,5833,inf,9929,inf,10001,inf
msmarco-passage-trec-dl-2020,dibud,64,100,54,0.05555555555555555,7035.018518518518,6729,inf,9929,inf,10001,inf
nfcorpus,balanced,1,5,323,1.0,145.79876160990713,39,39.0,210,210.0,702,702.0
nfcorpus,balanced,1,10,323,1.0,292.79256965944273,105,105.0,616,616.0,1584,1584.0
nfcorpus,balanced,1,20,323,1.0,728.4767801857585,325,325.0,2081,2081.0,2837,2837.0
nfcorpus,balanced,1,50,323,1.0,1889.5696594427245,1705,1705.0,3808,3808.0,4357,4357.0
nfcorpus,balanced,1,100,323,1.0,2605.4210526315787,2872,2872.0,4505,4505.0,5056,5056.0
nfcorpus,balanced,64,5,323,1.0,216.3498452012384,128,128.0,256,256.0,704,704.0
nfcorpus,balanced,64,10,323,1.0,344.8978328173375,128,128.0,640,640.0,1600,1600.0
nfcorpus,balanced,64,20,323,1.0,765.9566563467492,384,384.0,2112,2112.0,2880,2880.0
nfcorpus,balanced,64,50,323,1.0,1919.0,1728,1728.0,3835,3835.0,4416,4416.0
nfcorpus,balanced,64,100,323,1.0,2635.235294117647,2880,2880.0,4544,4544.0,5056,5056.0
nfcorpus,dibud,1,5,323,1.0,144.75851393188856,38,38.0,210,210.0,702,702.0
nfcorpus,dibud,1,10,323,1.0,287.3157894736842,101,101.0,616,616.0,1584,1584.0
nfcorpus,dibud,1,20,323,1.0,683.907120743034,308,308.0,2027,2027.0,2685,2685.0
nfcorpus,dibud,1,50,323,1.0,1779.6006191950464,1634,1634.0,3580,3580.0,3962,3962.0
nfcorpus,dibud,1,100,323,1.0,2568.2538699690404,2868,2868.0,4445,4445.0,4893,4893.0
nfcorpus,dibud,64,5,323,1.0,215.95356037151703,128,128.0,256,256.0,704,704.0
nfcorpus,dibud,64,10,323,1.0,342.1238390092879,128,128.0,640,640.0,1600,1600.0
nfcorpus,dibud,64,20,323,1.0,730.7430340557275,384,384.0,2048,2048.0,2752,2752.0
nfcorpus,dibud,64,50,323,1.0,1814.5077399380805,1664,1664.0,3606,3606.0,3968,3968.0
nfcorpus,dibud,64,100,323,1.0,2600.3653250773996,2880,2880.0,4480,4480.0,4896,4896.0
scifact,balanced,1,5,300,1.0,64.60333333333334,42,42.0,123,123.0,180,180.0
scifact,balanced,1,10,300,1.0,189.49666666666667,116,116.0,371,371.0,644,644.0
scifact,balanced,1,20,300,1.0,861.21,361,361.0,2344,2344.0,4060,4060.0
scifact,balanced,1,50,300,0.9966666666666667,3616.4933333333333,3464,3464.0,6740,6740.0,7377,7377.0
scifact,balanced,1,100,300,0.9633333333333334,5687.716666666666,5840,5869.0,7715,7878.0,8169,8543.0
scifact,balanced,64,5,300,1.0,145.70666666666668,128,128.0,128,128.0,256,256.0
scifact,balanced,64,10,300,1.0,249.47,128,128.0,384,384.0,768,768.0
scifact,balanced,64,20,300,1.0,908.6766666666666,384,384.0,2368,2368.0,4096,4096.0
scifact,balanced,64,50,300,0.9966666666666667,3654.983333333333,3520,3520.0,6766,6766.0,7392,7392.0
scifact,balanced,64,100,300,0.9633333333333334,5721.473333333333,5888,5888.0,7736,7895.0,8192,8576.0
scifact,dibud,1,5,300,1.0,63.13666666666666,41,41.0,122,122.0,175,175.0
scifact,dibud,1,10,300,1.0,179.84666666666666,112,112.0,368,368.0,630,630.0
scifact,dibud,1,20,300,1.0,746.9333333333333,325,325.0,2027,2027.0,3362,3362.0
scifact,dibud,1,50,300,0.9966666666666667,3127.1866666666665,2696,2696.0,6143,6143.0,6803,6803.0
scifact,dibud,1,100,300,0.9633333333333334,5303.1033333333335,5481,5481.0,7532,7749.0,7948,8338.0
scifact,dibud,64,5,300,1.0,145.49333333333334,128,128.0,128,128.0,256,256.0
scifact,dibud,64,10,300,1.0,243.92333333333335,128,128.0,384,384.0,640,640.0
scifact,dibud,64,20,300,1.0,807.94,384,384.0,2112,2112.0,3392,3392.0
scifact,dibud,64,50,300,0.9966666666666667,3180.5,2752,2752.0,6208,6208.0,6831,6831.0
scifact,dibud,64,100,300,0.9633333333333334,5344.363333333334,5515,5515.0,7552,7777.0,7982,8384.0
trec-covid,balanced,1,5,50,1.0,416.3,116,116.0,598,598.0,832,832.0
trec-covid,balanced,1,10,50,0.94,1515.96,280,280.0,4340,4340.0,10001,inf
trec-covid,balanced,1,20,50,0.66,4733.34,3690,3690.0,10001,inf,10001,inf
trec-covid,balanced,1,50,50,0.28,8142.54,10001,inf,10001,inf,10001,inf
trec-covid,balanced,1,100,50,0.16,8958.52,10001,inf,10001,inf,10001,inf
trec-covid,balanced,64,5,50,1.0,474.88,128,128.0,640,640.0,896,896.0
trec-covid,balanced,64,10,50,0.94,1563.9,384,384.0,4352,4352.0,10001,inf
trec-covid,balanced,64,20,50,0.66,4764.82,3712,3712.0,10001,inf,10001,inf
trec-covid,balanced,64,50,50,0.28,8156.88,10001,inf,10001,inf,10001,inf
trec-covid,balanced,64,100,50,0.16,8964.04,10001,inf,10001,inf,10001,inf
trec-covid,dibud,1,5,50,1.0,399.98,113,113.0,583,583.0,832,832.0
trec-covid,dibud,1,10,50,0.94,1179.84,270,270.0,3138,3138.0,7065,inf
trec-covid,dibud,1,20,50,0.66,3669.56,2544,2544.0,7645,inf,9842,inf
trec-covid,dibud,1,50,50,0.28,6078.6,6335,inf,9727,inf,10001,inf
trec-covid,dibud,1,100,50,0.16,6715.6,6649,inf,9789,inf,10001,inf
trec-covid,dibud,64,5,50,1.0,462.08,128,128.0,640,640.0,896,896.0
trec-covid,dibud,64,10,50,0.94,1234.46,384,384.0,3200,3200.0,7113,inf
trec-covid,dibud,64,20,50,0.66,3717.94,2560,2560.0,7680,inf,9865,inf
trec-covid,dibud,64,50,50,0.28,6115.12,6345,inf,9737,inf,10001,inf
trec-covid,dibud,64,100,50,0.16,6748.52,6665,inf,9801,inf,10001,inf
trec-covid-chrono-r1,balanced,1,5,30,1.0,215.53333333333333,88,88.0,314,314.0,609,609.0
trec-covid-chrono-r1,balanced,1,10,30,0.9666666666666667,790.5666666666667,216,216.0,723,723.0,6319,6319.0
trec-covid-chrono-r1,balanced,1,20,30,0.8666666666666667,2664.233333333333,997,997.0,10001,inf,10001,inf
trec-covid-chrono-r1,balanced,1,50,30,0.6,7071.733333333334,7220,7220.0,10001,inf,10001,inf
trec-covid-chrono-r1,balanced,1,100,30,0.2,9318.7,10001,inf,10001,inf,10001,inf
trec-covid-chrono-r1,balanced,64,5,30,1.0,285.8666666666667,128,128.0,384,384.0,576,576.0
trec-covid-chrono-r1,balanced,64,10,30,0.9666666666666667,843.2333333333333,256,256.0,704,704.0,6336,6336.0
trec-covid-chrono-r1,balanced,64,20,30,0.8666666666666667,2709.4666666666667,960,960.0,10001,inf,10001,inf
trec-covid-chrono-r1,balanced,64,50,30,0.6,7091.6,7296,7296.0,10001,inf,10001,inf
trec-covid-chrono-r1,balanced,64,100,30,0.2,9321.333333333334,10001,inf,10001,inf,10001,inf
trec-covid-chrono-r1,dibud,1,5,30,1.0,210.5,81,81.0,314,314.0,550,550.0
trec-covid-chrono-r1,dibud,1,10,30,0.9666666666666667,731.0,197,197.0,646,646.0,4840,4840.0
trec-covid-chrono-r1,dibud,1,20,30,0.8666666666666667,2094.3333333333335,797,797.0,6029,inf,7106,inf
trec-covid-chrono-r1,dibud,1,50,30,0.6,5437.7,5346,5346.0,9049,inf,9704,inf
trec-covid-chrono-r1,dibud,1,100,30,0.2,7225.566666666667,7106,inf,9049,inf,9704,inf
trec-covid-chrono-r1,dibud,64,5,30,1.0,283.73333333333335,128,128.0,384,384.0,576,576.0
trec-covid-chrono-r1,dibud,64,10,30,0.9666666666666667,789.9,256,256.0,704,704.0,4928,4928.0
trec-covid-chrono-r1,dibud,64,20,30,0.8666666666666667,2149.733333333333,832,832.0,6089,inf,7113,inf
trec-covid-chrono-r1,dibud,64,50,30,0.6,5482.266666666666,5376,5376.0,9097,inf,9737,inf
trec-covid-chrono-r1,dibud,64,100,30,0.2,7262.933333333333,7113,inf,9097,inf,9737,inf
trec-covid-chrono-r2,balanced,1,5,30,1.0,469.76666666666665,100,100.0,398,398.0,825,825.0
trec-covid-chrono-r2,balanced,1,10,30,0.9666666666666667,1095.1333333333334,262,262.0,1547,1547.0,7886,7886.0
trec-covid-chrono-r2,balanced,1,20,30,0.8666666666666667,2895.9666666666667,1154,1154.0,10001,inf,10001,inf
trec-covid-chrono-r2,balanced,1,50,30,0.4,8048.733333333334,10001,inf,10001,inf,10001,inf
trec-covid-chrono-r2,balanced,1,100,30,0.06666666666666667,9643.6,10001,inf,10001,inf,10001,inf
trec-covid-chrono-r2,balanced,64,5,30,1.0,531.2,128,128.0,512,512.0,832,832.0
trec-covid-chrono-r2,balanced,64,10,30,0.9666666666666667,1141.9,384,384.0,1600,1600.0,7936,7936.0
trec-covid-chrono-r2,balanced,64,20,30,0.8666666666666667,2939.866666666667,1280,1280.0,10001,inf,10001,inf
trec-covid-chrono-r2,balanced,64,50,30,0.4,8055.0,10001,inf,10001,inf,10001,inf
trec-covid-chrono-r2,balanced,64,100,30,0.06666666666666667,9650.0,10001,inf,10001,inf,10001,inf
trec-covid-chrono-r2,dibud,1,5,30,1.0,380.7,94,94.0,381,381.0,772,772.0
trec-covid-chrono-r2,dibud,1,10,30,0.9666666666666667,870.0666666666667,253,253.0,1219,1219.0,6132,6132.0
trec-covid-chrono-r2,dibud,1,20,30,0.8666666666666667,2280.6666666666665,1154,1154.0,6782,inf,8724,inf
trec-covid-chrono-r2,dibud,1,50,30,0.36666666666666664,6072.0,6635,inf,9125,inf,9484,inf
trec-covid-chrono-r2,dibud,1,100,30,0.06666666666666667,7325.633333333333,7247,inf,9484,inf,9975,inf
trec-covid-chrono-r2,dibud,64,5,30,1.0,443.73333333333335,128,128.0,448,448.0,832,832.0
trec-covid-chrono-r2,dibud,64,10,30,0.9666666666666667,919.7666666666667,320,320.0,1280,1280.0,6208,6208.0
trec-covid-chrono-r2,dibud,64,20,30,0.8666666666666667,2335.0666666666666,1280,1280.0,6793,inf,8777,inf
trec-covid-chrono-r2,dibud,64,50,30,0.36666666666666664,6113.433333333333,6656,inf,9152,inf,9545,inf
trec-covid-chrono-r2,dibud,64,100,30,0.06666666666666667,7359.866666666667,7305,inf,9545,inf,9993,inf
trec-covid-chrono-r3,balanced,1,5,30,1.0,439.96666666666664,108,108.0,448,448.0,612,612.0
trec-covid-chrono-r3,balanced,1,10,30,0.9333333333333333,1226.0666666666666,284,284.0,1956,1956.0,10001,inf
trec-covid-chrono-r3,balanced,1,20,30,0.6666666666666666,4516.766666666666,1960,1960.0,10001,inf,10001,inf
trec-covid-chrono-r3,balanced,1,50,30,0.3,8000.8,10001,inf,10001,inf,10001,inf
trec-covid-chrono-r3,balanced,1,100,30,0.13333333333333333,9535.766666666666,10001,inf,10001,inf,10001,inf
trec-covid-chrono-r3,balanced,64,5,30,1.0,501.3333333333333,128,128.0,512,512.0,640,640.0
trec-covid-chrono-r3,balanced,64,10,30,0.9333333333333333,1270.4666666666667,384,384.0,2048,2048.0,10001,inf
trec-covid-chrono-r3,balanced,64,20,30,0.6666666666666666,4545.4,2048,2048.0,10001,inf,10001,inf
trec-covid-chrono-r3,balanced,64,50,30,0.3,8009.766666666666,10001,inf,10001,inf,10001,inf
trec-covid-chrono-r3,balanced,64,100,30,0.13333333333333333,9540.066666666668,10001,inf,10001,inf,10001,inf
trec-covid-chrono-r3,dibud,1,5,30,1.0,421.3,108,108.0,428,428.0,612,612.0
trec-covid-chrono-r3,dibud,1,10,30,0.9333333333333333,1074.0666666666666,279,279.0,1812,1812.0,8412,inf
trec-covid-chrono-r3,dibud,1,20,30,0.6666666666666666,3382.8333333333335,1720,1720.0,8276,inf,8601,inf
trec-covid-chrono-r3,dibud,1,50,30,0.3,6016.7,6014,inf,8940,inf,9662,inf
trec-covid-chrono-r3,dibud,1,100,30,0.13333333333333333,7024.3,6378,inf,9146,inf,9813,inf
trec-covid-chrono-r3,dibud,64,5,30,1.0,484.26666666666665,128,128.0,512,512.0,640,640.0
trec-covid-chrono-r3,dibud,64,10,30,0.9333333333333333,1129.1333333333334,320,320.0,1856,1856.0,8457,inf
trec-covid-chrono-r3,dibud,64,20,30,0.6666666666666666,3435.5333333333333,1792,1792.0,8329,inf,8649,inf
trec-covid-chrono-r3,dibud,64,50,30,0.3,6056.7,6025,inf,8969,inf,9673,inf
trec-covid-chrono-r3,dibud,64,100,30,0.13333333333333333,7060.866666666667,6409,inf,9161,inf,9865,inf
trec-covid-chrono-r4,balanced,1,5,30,0.9666666666666667,569.7333333333333,109,109.0,582,582.0,1170,1170.0
trec-covid-chrono-r4,balanced,1,10,30,0.9333333333333333,1465.9,330,330.0,3004,3004.0,10001,inf
trec-covid-chrono-r4,balanced,1,20,30,0.6666666666666666,4838.0,1262,1262.0,10001,inf,10001,inf
trec-covid-chrono-r4,balanced,1,50,30,0.23333333333333334,8610.433333333332,10001,inf,10001,inf,10001,inf
trec-covid-chrono-r4,balanced,1,100,30,0.06666666666666667,9538.066666666668,10001,inf,10001,inf,10001,inf
trec-covid-chrono-r4,balanced,64,5,30,0.9666666666666667,627.7666666666667,128,128.0,640,640.0,1280,1280.0
trec-covid-chrono-r4,balanced,64,10,30,0.9333333333333333,1507.2666666666667,384,384.0,3072,3072.0,10001,inf
trec-covid-chrono-r4,balanced,64,20,30,0.6666666666666666,4878.2,1280,1280.0,10001,inf,10001,inf
trec-covid-chrono-r4,balanced,64,50,30,0.23333333333333334,8616.766666666666,10001,inf,10001,inf,10001,inf
trec-covid-chrono-r4,balanced,64,100,30,0.06666666666666667,9543.333333333334,10001,inf,10001,inf,10001,inf
trec-covid-chrono-r4,dibud,1,5,30,0.9666666666666667,513.2,109,109.0,568,568.0,1073,1073.0
trec-covid-chrono-r4,dibud,1,10,30,0.9333333333333333,1166.8333333333333,306,306.0,2199,2199.0,7461,inf
trec-covid-chrono-r4,dibud,1,20,30,0.6666666666666666,3704.8,1179,1179.0,8558,inf,9101,inf
trec-covid-chrono-r4,dibud,1,50,30,0.2,6552.3,6841,inf,8911,inf,9848,inf
trec-covid-chrono-r4,dibud,1,100,30,0.06666666666666667,7311.666666666667,7344,inf,9101,inf,9848,inf
trec-covid-chrono-r4,dibud,64,5,30,0.9666666666666667,574.1666666666666,128,128.0,640,640.0,1152,1152.0
trec-covid-chrono-r4,dibud,64,10,30,0.9333333333333333,1216.6,384,384.0,2304,2304.0,7497,inf
trec-covid-chrono-r4,dibud,64,20,30,0.6666666666666666,3762.2,1216,1216.0,8585,inf,9161,inf
trec-covid-chrono-r4,dibud,64,50,30,0.23333333333333334,6552.233333333334,6857,inf,8969,inf,9865,inf
trec-covid-chrono-r4,dibud,64,100,30,0.06666666666666667,7347.333333333333,7369,inf,9161,inf,9865,inf
trec-covid-chrono-r5,balanced,1,5,30,0.9666666666666667,627.9666666666667,134,134.0,732,732.0,1392,1392.0
trec-covid-chrono-r5,balanced,1,10,30,0.9333333333333333,2013.5333333333333,316,316.0,8133,8133.0,10001,inf
trec-covid-chrono-r5,balanced,1,20,30,0.7,5082.966666666666,5376,5376.0,10001,inf,10001,inf
trec-covid-chrono-r5,balanced,1,50,30,0.2,8721.466666666667,10001,inf,10001,inf,10001,inf
trec-covid-chrono-r5,balanced,1,100,30,0.13333333333333333,9242.833333333334,10001,inf,10001,inf,10001,inf
trec-covid-chrono-r5,balanced,64,5,30,0.9666666666666667,683.2333333333333,256,256.0,768,768.0,1408,1408.0
trec-covid-chrono-r5,balanced,64,10,30,0.9333333333333333,2061.9333333333334,384,384.0,8128,8128.0,10001,inf
trec-covid-chrono-r5,balanced,64,20,30,0.7,5108.033333333334,5376,5376.0,10001,inf,10001,inf
trec-covid-chrono-r5,balanced,64,50,30,0.2,8730.4,10001,inf,10001,inf,10001,inf
trec-covid-chrono-r5,balanced,64,100,30,0.13333333333333333,9245.666666666666,10001,inf,10001,inf,10001,inf
trec-covid-chrono-r5,dibud,1,5,30,0.9666666666666667,519.2333333333333,134,134.0,721,721.0,1230,1230.0
trec-covid-chrono-r5,dibud,1,10,30,0.9333333333333333,1520.4,316,316.0,5950,5977.0,7111,inf
trec-covid-chrono-r5,dibud,1,20,30,0.7,3918.3,3573,3573.0,8267,inf,8682,inf
