dataset,batch,budget,cap,n,both_known,delta_lower,delta_upper,ci_lower,ci_upper
msmarco-passage-trec-dl-2019,1,128,20,43,1.0,0.5581395348837209,0.5581395348837209,0.27906976744186046,0.8604651162790697
msmarco-passage-trec-dl-2019,1,128,100,43,1.0,0.6046511627906976,0.6046511627906976,0.27906976744186046,0.9767441860465116
msmarco-passage-trec-dl-2019,1,256,20,43,1.0,0.27906976744186046,0.27906976744186046,0.09302325581395349,0.5348837209302325
msmarco-passage-trec-dl-2019,1,256,100,43,1.0,1.3255813953488371,1.3255813953488371,0.7906976744186046,1.930232558139535
msmarco-passage-trec-dl-2019,1,512,20,43,1.0,0.3023255813953488,0.3023255813953488,0.06976744186046512,0.6511627906976745
msmarco-passage-trec-dl-2019,1,512,100,43,1.0,2.046511627906977,2.046511627906977,1.2784883720930234,3.0
msmarco-passage-trec-dl-2019,1,1024,20,43,1.0,0.18604651162790697,0.18604651162790697,0.046511627906976744,0.37209302325581395
msmarco-passage-trec-dl-2019,1,1024,100,43,1.0,2.4651162790697674,2.4651162790697674,1.2790697674418605,4.070348837209299
msmarco-passage-trec-dl-2019,1,2048,20,43,1.0,0.13953488372093023,0.13953488372093023,0.0,0.37209302325581395
msmarco-passage-trec-dl-2019,1,2048,100,43,1.0,4.325581395348837,4.325581395348837,2.441860465116279,6.5819767441860435
msmarco-passage-trec-dl-2019,1,4096,20,43,1.0,0.046511627906976744,0.046511627906976744,0.0,0.13953488372093023
msmarco-passage-trec-dl-2019,1,4096,100,43,1.0,2.7209302325581395,2.7209302325581395,0.7906976744186046,5.953488372093023
msmarco-passage-trec-dl-2019,1,8192,20,43,0.4883720930232558,0.046511627906976744,0.5116279069767442,0.0,1.1162790697674418
msmarco-passage-trec-dl-2019,1,8192,100,43,0.4883720930232558,2.2325581395348837,30.88372093023256,0.6511627906976745,40.397093023255806
msmarco-passage-trec-dl-2019,1,10000,20,43,0.3023255813953488,0.0,1.2093023255813953,0.0,2.2796511627906946
msmarco-passage-trec-dl-2019,1,10000,100,43,0.3023255813953488,0.0,40.93023255813954,0.0,50.83720930232558
msmarco-passage-trec-dl-2019,64,128,20,43,1.0,0.0,0.0,0.0,0.0
msmarco-passage-trec-dl-2019,64,128,100,43,1.0,0.0,0.0,0.0,0.0
msmarco-passage-trec-dl-2019,64,256,20,43,1.0,0.0,0.0,0.0,0.0
msmarco-passage-trec-dl-2019,64,256,100,43,1.0,0.0,0.0,0.0,0.0
msmarco-passage-trec-dl-2019,64,512,20,43,1.0,0.11627906976744186,0.11627906976744186,0.0,0.3488372093023256
msmarco-passage-trec-dl-2019,64,512,100,43,1.0,0.7674418604651163,0.7674418604651163,0.3953488372093023,1.2325581395348837
msmarco-passage-trec-dl-2019,64,1024,20,43,1.0,0.16279069767441862,0.16279069767441862,0.023255813953488372,0.3488372093023256
msmarco-passage-trec-dl-2019,64,1024,100,43,1.0,2.302325581395349,2.302325581395349,1.1162790697674418,3.883720930232558
msmarco-passage-trec-dl-2019,64,2048,20,43,1.0,0.11627906976744186,0.11627906976744186,0.0,0.3488372093023256
msmarco-passage-trec-dl-2019,64,2048,100,43,1.0,3.7209302325581395,3.7209302325581395,2.046511627906977,5.813953488372093
msmarco-passage-trec-dl-2019,64,4096,20,43,1.0,0.046511627906976744,0.046511627906976744,0.0,0.13953488372093023
msmarco-passage-trec-dl-2019,64,4096,100,43,1.0,2.6744186046511627,2.6744186046511627,0.7674418604651163,5.790697674418604
msmarco-passage-trec-dl-2019,64,8192,20,43,0.4883720930232558,0.046511627906976744,0.5116279069767442,0.0,1.1162790697674418
msmarco-passage-trec-dl-2019,64,8192,100,43,0.4883720930232558,2.2325581395348837,30.88372093023256,0.6744186046511628,40.51162790697674
msmarco-passage-trec-dl-2019,64,10000,20,43,0.3023255813953488,0.0,1.2093023255813953,0.0,2.256395348837206
msmarco-passage-trec-dl-2019,64,10000,100,43,0.3023255813953488,0.0,40.93023255813954,0.0,51.16279069767442
msmarco-passage-trec-dl-2020,1,128,20,54,1.0,0.16666666666666666,0.16666666666666666,0.05555555555555555,0.3148148148148148
msmarco-passage-trec-dl-2020,1,128,100,54,1.0,0.2777777777777778,0.2777777777777778,0.12962962962962962,0.46296296296296297
msmarco-passage-trec-dl-2020,1,256,20,54,1.0,0.16666666666666666,0.16666666666666666,0.037037037037037035,0.3148148148148148
msmarco-passage-trec-dl-2020,1,256,100,54,1.0,0.6666666666666666,0.6666666666666666,0.3333333333333333,1.0740740740740742
msmarco-passage-trec-dl-2020,1,512,20,54,1.0,0.16666666666666666,0.16666666666666666,0.07407407407407407,0.2777777777777778
msmarco-passage-trec-dl-2020,1,512,100,54,1.0,1.5555555555555556,1.5555555555555556,0.7962962962962963,2.593055555555553
msmarco-passage-trec-dl-2020,1,1024,20,54,1.0,0.18518518518518517,0.18518518518518517,0.07407407407407407,0.3333333333333333
