dataset,target,fold,budget,calibration_retention,calibration_success
msmarco-passage-trec-dl-2019,0.9,0,512,0.9313220586218469,1
msmarco-passage-trec-dl-2019,0.9,1,512,0.9319746031608727,1
msmarco-passage-trec-dl-2019,0.9,2,512,0.9534061359403271,1
msmarco-passage-trec-dl-2019,0.9,3,512,0.9335371932619271,1
msmarco-passage-trec-dl-2019,0.9,4,512,0.9455063608846169,1
msmarco-passage-trec-dl-2019,0.95,0,2048,0.9565896037788559,1
msmarco-passage-trec-dl-2019,0.95,1,1024,0.9543772003960997,1
msmarco-passage-trec-dl-2019,0.95,2,512,0.9534061359403271,1
msmarco-passage-trec-dl-2019,0.95,3,1024,0.9553040553850672,1
msmarco-passage-trec-dl-2019,0.95,4,1024,0.9605706544256156,1
msmarco-passage-trec-dl-2019,0.99,0,10000,0.9739420663670153,0
msmarco-passage-trec-dl-2019,0.99,1,10000,0.9787149489320348,0
msmarco-passage-trec-dl-2019,0.99,2,10000,0.9850742699943738,0
msmarco-passage-trec-dl-2019,0.99,3,10000,0.9821535749821898,0
msmarco-passage-trec-dl-2019,0.99,4,10000,0.9774423281017219,0
msmarco-passage-trec-dl-2020,0.9,0,512,0.9289573737789194,1
msmarco-passage-trec-dl-2020,0.9,1,512,0.923649058191016,1
msmarco-passage-trec-dl-2020,0.9,2,512,0.9364057191666831,1
msmarco-passage-trec-dl-2020,0.9,3,512,0.9401034357179868,1
msmarco-passage-trec-dl-2020,0.9,4,512,0.9306052246645007,1
msmarco-passage-trec-dl-2020,0.95,0,1024,0.9589484735453399,1
msmarco-passage-trec-dl-2020,0.95,1,1024,0.9573716934087078,1
msmarco-passage-trec-dl-2020,0.95,2,1024,0.9624554374919211,1
msmarco-passage-trec-dl-2020,0.95,3,1024,0.9634375274116487,1
msmarco-passage-trec-dl-2020,0.95,4,1024,0.9523288606062396,1
msmarco-passage-trec-dl-2020,0.99,0,10000,0.9847855807415711,0
msmarco-passage-trec-dl-2020,0.99,1,10000,0.9850256566766823,0
msmarco-passage-trec-dl-2020,0.99,2,10000,0.9873467669809932,0
msmarco-passage-trec-dl-2020,0.99,3,8192,0.9903570690946756,1
msmarco-passage-trec-dl-2020,0.99,4,10000,0.9834135230539349,0
nfcorpus,0.9,0,256,0.9434462564301114,1
nfcorpus,0.9,1,128,0.903894266355811,1
nfcorpus,0.9,2,128,0.9076680494756252,1
nfcorpus,0.9,3,128,0.9098840981354284,1
nfcorpus,0.9,4,128,0.9086956794152283,1
nfcorpus,0.95,0,512,0.9670000998140201,1
nfcorpus,0.95,1,256,0.9505735269283185,1
nfcorpus,0.95,2,256,0.9549876174035886,1
nfcorpus,0.95,3,512,0.9703659891379798,1
nfcorpus,0.95,4,256,0.9513210724194263,1
nfcorpus,0.99,0,2048,0.9983025105219379,1
nfcorpus,0.99,1,2048,0.9983012458026197,1
nfcorpus,0.99,2,1024,0.9928597601034433,1
nfcorpus,0.99,3,2048,0.9996861767095628,1
nfcorpus,0.99,4,2048,0.9986861898010401,1
scifact,0.9,0,128,0.9767428285493028,1
scifact,0.9,1,128,0.9799591679472993,1
scifact,0.9,2,128,0.9776225958648269,1
scifact,0.9,3,128,0.9721503153289837,1
scifact,0.9,4,128,0.9772609598079227,1
scifact,0.95,0,128,0.9767428285493028,1
scifact,0.95,1,128,0.9799591679472993,1
scifact,0.95,2,128,0.9776225958648269,1
scifact,0.95,3,128,0.9721503153289837,1
scifact,0.95,4,128,0.9772609598079227,1
scifact,0.99,0,512,0.9942536281970943,1
scifact,0.99,1,512,0.9972054614541966,1
scifact,0.99,2,512,0.9959641127328438,1
scifact,0.99,3,512,0.9943447649596989,1
scifact,0.99,4,512,0.9956327300634592,1
trec-covid,0.9,0,2048,0.9112983890084994,1
trec-covid,0.9,1,2048,0.9022739564780234,1
trec-covid,0.9,2,4096,0.9241134694349302,1
trec-covid,0.9,3,2048,0.9239810570059174,1
trec-covid,0.9,4,2048,0.911978880038141,1
trec-covid,0.95,0,8192,0.9658747639923123,1
trec-covid,0.95,1,8192,0.9608965195634401,1
trec-covid,0.95,2,8192,0.9521157130384139,1
trec-covid,0.95,3,4096,0.9540161876969102,1
trec-covid,0.95,4,8192,0.9612676908273298,1
trec-covid,0.99,0,10000,0.9658747639923123,0
trec-covid,0.99,1,10000,0.9608965195634401,0
trec-covid,0.99,2,10000,0.9521157130384139,0
trec-covid,0.99,3,10000,0.9714372385439243,0
trec-covid,0.99,4,10000,0.9612676908273298,0
