dataset,n,target,quality_lower,quality_upper,cost_saving_lower,baseline20_completion,completed_subset_n,completed_subset_saving,at20,zero_upper,budget_choices,successful_folds
msmarco-passage-trec-dl-2019,43,0.9,0.9393174415778512,0.9393174415778512,0.8361585854015107,0.813953488372093,35,0.5035654154699416,0.6046511627906976,0.0,"512,512,512,512,512",5
msmarco-passage-trec-dl-2019,43,0.95,0.9505498042974403,0.9505498042974403,0.7602422639145114,0.813953488372093,35,0.35703674358720416,0.6744186046511628,0.0,"2048,1024,512,1024,1024",5
msmarco-passage-trec-dl-2019,43,0.99,0.9794893804873676,0.9934584014024179,0.0,0.813953488372093,35,0.0,0.813953488372093,0.0,"10000,10000,10000,10000,10000",0
msmarco-passage-trec-dl-2020,54,0.9,0.9319873613474535,0.9319873613474535,0.8152630373367947,0.8518518518518519,46,0.6366580156670396,0.5370370370370371,0.0,"512,512,512,512,512",5
msmarco-passage-trec-dl-2020,54,0.95,0.9588650104355824,0.9588650104355824,0.70963770329083,0.8518518518518519,46,0.47067787328269717,0.6851851851851852,0.0,"1024,1024,1024,1024,1024",5
msmarco-passage-trec-dl-2020,54,0.99,0.9861893677501224,0.9986432899485466,0.0,0.8518518518518519,46,0.0,0.8518518518518519,0.0,"10000,10000,10000,8192,10000",1
nfcorpus,323,0.9,0.9114838441420744,0.9114838441420744,0.8219889362703823,1.0,323,0.8219889362703823,0.3219814241486068,0.021671826625386997,"256,128,128,128,128",5
nfcorpus,323,0.95,0.9580593172364578,0.9580593172364578,0.6592018180007424,1.0,323,0.6592018180007424,0.5232198142414861,0.018575851393188854,"512,256,256,512,256",5
nfcorpus,323,0.99,0.9896481060113805,0.9896481060113805,0.15919276421218453,1.0,323,0.15919276421218453,0.8730650154798761,0.0030959752321981426,"2048,2048,1024,2048,2048",5
scifact,300,0.9,0.9767628626655706,0.9767628626655706,0.8341262049268119,1.0,300,0.8341262049268119,0.11333333333333333,0.0033333333333333335,"128,128,128,128,128",5
scifact,300,0.95,0.9767628626655706,0.9767628626655706,0.8341262049268119,1.0,300,0.8341262049268119,0.11333333333333333,0.0033333333333333335,"128,128,128,128,128",5
scifact,300,0.99,0.9954925800146831,0.9954925800146831,0.5576401285255266,1.0,300,0.5576401285255266,0.68,0.0,"512,512,512,512,512",5
trec-covid,50,0.9,0.9142900449045241,0.9142900449045241,0.5999956398042272,0.66,33,0.3575687226296629,0.48,0.0,"2048,2048,4096,2048,2048",5
trec-covid,50,0.95,0.9514327578526587,0.9642678749395072,0.05298727912883283,0.66,33,0.0331873582018678,0.64,0.0,"8192,8192,8192,4096,8192",5
trec-covid,50,0.99,0.9623794901662983,0.9990844897648196,0.0,0.66,33,0.0,0.66,0.0,"10000,10000,10000,10000,10000",0
