dataset,n,budget,quality_lower,quality_upper,cost_saving_lower,baseline20_completion,completed_subset_n,completed_subset_saving,at20,zero_upper
msmarco-passage-trec-dl-2019,43,128,0.7464603034081497,0.7464603034081497,0.9375195795189529,0.813953488372093,35,0.7840447657720115,0.11627906976744186,0.0
msmarco-passage-trec-dl-2019,43,256,0.8766974111313856,0.8766974111313856,0.8939283186559458,0.813953488372093,35,0.6487075368921462,0.46511627906976744,0.0
msmarco-passage-trec-dl-2019,43,512,0.9393174415778514,0.9393174415778514,0.8361585854015107,0.813953488372093,35,0.5035654154699416,0.6046511627906976,0.0
msmarco-passage-trec-dl-2019,43,1024,0.9570182837478911,0.9570182837478911,0.740842586468957,0.813953488372093,35,0.2995939387937011,0.6744186046511628,0.0
msmarco-passage-trec-dl-2019,43,2048,0.9644432871304324,0.9644432871304324,0.6140137143652755,0.813953488372093,35,0.16395959195800736,0.7906976744186046,0.0
msmarco-passage-trec-dl-2019,43,4096,0.9738864462284565,0.9738864462284565,0.40015315534825435,0.813953488372093,35,0.06254332970189169,0.7906976744186046,0.0
msmarco-passage-trec-dl-2019,43,8192,0.9766875826659461,0.9832891764307354,0.005302423799412925,0.813953488372093,35,0.0,0.813953488372093,0.0
msmarco-passage-trec-dl-2019,43,10000,0.9794893804873677,0.9934584014024181,0.0,0.813953488372093,35,0.0,0.813953488372093,0.0
msmarco-passage-trec-dl-2020,54,128,0.7826710996545466,0.7826710996545466,0.9363022066122013,0.8518518518518519,46,0.8654729874520822,0.1111111111111111,0.0
msmarco-passage-trec-dl-2020,54,256,0.8708510286264899,0.8708510286264899,0.8874933190807055,0.8518518518518519,46,0.7680897164218196,0.35185185185185186,0.0
msmarco-passage-trec-dl-2020,54,512,0.9319873613474533,0.9319873613474533,0.8152630373367947,0.8518518518518519,46,0.6366580156670396,0.5370370370370371,0.0
msmarco-passage-trec-dl-2020,54,1024,0.9588650104355823,0.9588650104355823,0.70963770329083,0.8518518518518519,46,0.47067787328269717,0.6851851851851852,0.0
msmarco-passage-trec-dl-2020,54,2048,0.9723918348877156,0.9723918348877156,0.5724975185156906,0.8518518518518519,46,0.3236029429272126,0.7592592592592593,0.0
msmarco-passage-trec-dl-2020,54,4096,0.978695018483547,0.978695018483547,0.3386653432083683,0.8518518518518519,46,0.13036024667253987,0.7962962962962963,0.0
msmarco-passage-trec-dl-2020,54,8192,0.9861893677501224,0.9978148667643466,0.0,0.8518518518518519,46,0.0,0.8518518518518519,0.0
msmarco-passage-trec-dl-2020,54,10000,0.9861893677501224,0.9986432899485468,0.0,0.8518518518518519,46,0.0,0.8518518518518519,0.0
nfcorpus,323,128,0.9050889020392837,0.9050889020392837,0.8402911698400195,1.0,323,0.8402911698400195,0.2786377708978328,0.02476780185758514
nfcorpus,323,256,0.9496844111717927,0.9496844111717927,0.7231758879503127,1.0,323,0.7231758879503127,0.4520123839009288,0.018575851393188854
nfcorpus,323,512,0.9721128633413187,0.9721128633413187,0.5570343410199998,1.0,323,0.5570343410199998,0.6346749226006192,0.009287925696594427
nfcorpus,323,1024,0.9853221974510261,0.9853221974510261,0.34849390227340626,1.0,323,0.34849390227340626,0.7739938080495357,0.0030959752321981426
nfcorpus,323,2048,0.9986603971278326,0.9986603971278326,0.10855039791400711,1.0,323,0.10855039791400711,0.9009287925696594,0.0
nfcorpus,323,4096,1.0,1.0,0.004250753727897405,1.0,323,0.004250753727897405,0.9969040247678018,0.0
nfcorpus,323,8192,1.0,1.0,0.0,1.0,323,0.0,1.0,0.0
nfcorpus,323,10000,1.0,1.0,0.0,1.0,323,0.0,1.0,0.0
scifact,300,128,0.9767628626655708,0.9767628626655708,0.8341262049268119,1.0,300,0.8341262049268119,0.11333333333333333,0.0033333333333333335
scifact,300,256,0.9865047662070738,0.9865047662070738,0.7077427704391288,1.0,300,0.7077427704391288,0.4,0.0
scifact,300,512,0.9954925800146831,0.9954925800146831,0.5576401285255266,1.0,300,0.5576401285255266,0.68,0.0
scifact,300,1024,0.9989600347329285,0.9989600347329285,0.3988263120314174,1.0,300,0.3988263120314174,0.8233333333333334,0.0
scifact,300,2048,1.0,1.0,0.20575687254551944,1.0,300,0.20575687254551944,0.9,0.0
