dataset,snapshot,query_id,policy,batch,budget,accesses,dense,sparse,known,stop,k,k_lower,k_upper,k20,ndcg20,full_ndcg20,cost20,baseline20_complete,budget20_cost,elapsed_seconds,baseline_cost_lower,capped_cost_upper,ndcg20_upper
msmarco-passage-trec-dl-2019,0,490595,dibud,1,128,128,52,76,1,budget,22,22,22,20,0.5724624301728537,0.5724624301728537,116.0,1,116.0,0.0083041669568046,116.0,116.0,0.5724624301728537
msmarco-passage-trec-dl-2019,0,490595,dibud,1,256,256,114,142,1,budget,39,39,39,20,0.5724624301728537,0.5724624301728537,116.0,1,116.0,0.0083052079426124,116.0,116.0,0.5724624301728537
msmarco-passage-trec-dl-2019,0,490595,dibud,1,512,512,199,313,1,budget,58,58,58,20,0.5724624301728537,0.5724624301728537,116.0,1,116.0,0.0083058329764753,116.0,116.0,0.5724624301728537
msmarco-passage-trec-dl-2019,0,490595,dibud,1,1024,1003,635,368,1,cap100,100,100,100,20,0.5724624301728537,0.5724624301728537,116.0,1,116.0,0.0083062079502269,116.0,116.0,0.5724624301728537
msmarco-passage-trec-dl-2019,0,490595,dibud,1,2048,1003,635,368,1,cap100,100,100,100,20,0.5724624301728537,0.5724624301728537,116.0,1,116.0,0.0083064999198541,116.0,116.0,0.5724624301728537
msmarco-passage-trec-dl-2019,0,490595,dibud,1,4096,1003,635,368,1,cap100,100,100,100,20,0.5724624301728537,0.5724624301728537,116.0,1,116.0,0.0083066669758409,116.0,116.0,0.5724624301728537
msmarco-passage-trec-dl-2019,0,490595,dibud,1,8192,1003,635,368,1,cap100,100,100,100,20,0.5724624301728537,0.5724624301728537,116.0,1,116.0,0.0083068329840898,116.0,116.0,0.5724624301728537
msmarco-passage-trec-dl-2019,0,490595,dibud,1,10000,1003,635,368,1,cap100,100,100,100,20,0.5724624301728537,0.5724624301728537,116.0,1,116.0,0.0083069580141454,116.0,116.0,0.5724624301728537
msmarco-passage-trec-dl-2019,0,855410,dibud,1,128,128,64,64,1,budget,5,5,5,5,1.0,1.0,,0,128.0,0.0688891670433804,9102.0,128.0,1.0
msmarco-passage-trec-dl-2019,0,855410,dibud,1,256,256,128,128,1,budget,5,5,5,5,1.0,1.0,,0,256.0,0.0688900420209392,9102.0,256.0,1.0
msmarco-passage-trec-dl-2019,0,855410,dibud,1,512,512,256,256,1,budget,5,5,5,5,1.0,1.0,,0,512.0,0.0688905420247465,9102.0,512.0,1.0
msmarco-passage-trec-dl-2019,0,855410,dibud,1,1024,1024,512,512,1,budget,5,5,5,5,1.0,1.0,,0,1024.0,0.0688907500589266,9102.0,1024.0,1.0
msmarco-passage-trec-dl-2019,0,855410,dibud,1,2048,2048,1024,1024,1,budget,5,5,5,5,1.0,1.0,,0,2048.0,0.0688909169984981,9102.0,2048.0,1.0
msmarco-passage-trec-dl-2019,0,855410,dibud,1,4096,4096,2048,2048,1,budget,5,5,5,5,1.0,1.0,,0,4096.0,0.0688910420285537,9102.0,4096.0,1.0
msmarco-passage-trec-dl-2019,0,855410,dibud,1,8192,8192,4096,4096,1,budget,5,5,5,5,1.0,1.0,,0,8192.0,0.0688911670586094,9102.0,8192.0,1.0
msmarco-passage-trec-dl-2019,0,855410,dibud,1,10000,9101,5000,4101,0,observation_limit,6,6,100,6,1.0,1.0,,0,,0.0688913330668583,9102.0,10000.0,1.0
msmarco-passage-trec-dl-2019,0,264014,dibud,1,128,128,70,58,1,budget,9,9,9,9,0.4774790315078405,0.714082561191865,226.0,1,128.0,0.0544295829022303,226.0,128.0,0.4774790315078405
msmarco-passage-trec-dl-2019,0,264014,dibud,1,256,256,140,116,1,budget,26,26,26,20,0.714082561191865,0.714082561191865,226.0,1,226.0,0.054431082913652,226.0,226.0,0.714082561191865
msmarco-passage-trec-dl-2019,0,264014,dibud,1,512,512,272,240,1,budget,40,40,40,20,0.714082561191865,0.714082561191865,226.0,1,226.0,0.0544316669693216,226.0,226.0,0.714082561191865
msmarco-passage-trec-dl-2019,0,264014,dibud,1,1024,1024,769,255,1,budget,60,60,60,20,0.714082561191865,0.714082561191865,226.0,1,226.0,0.0544319578912109,226.0,226.0,0.714082561191865
msmarco-passage-trec-dl-2019,0,264014,dibud,1,2048,2048,1707,341,1,budget,66,66,66,20,0.714082561191865,0.714082561191865,226.0,1,226.0,0.0544322079513222,226.0,226.0,0.714082561191865
msmarco-passage-trec-dl-2019,0,264014,dibud,1,4096,4096,3701,395,1,budget,68,68,68,20,0.714082561191865,0.714082561191865,226.0,1,226.0,0.0544323748908937,226.0,226.0,0.714082561191865
msmarco-passage-trec-dl-2019,0,264014,dibud,1,8192,6625,5000,1625,0,observation_limit,85,85,100,20,0.714082561191865,0.714082561191865,226.0,1,226.0,0.0544324999209493,226.0,226.0,0.714082561191865
msmarco-passage-trec-dl-2019,0,264014,dibud,1,10000,6625,5000,1625,0,observation_limit,85,85,100,20,0.714082561191865,0.714082561191865,226.0,1,226.0,0.0544326249510049,226.0,226.0,0.714082561191865
msmarco-passage-trec-dl-2019,0,19335,dibud,1,128,128,67,61,1,budget,5,5,5,5,0.4572058261445053,0.6560273738894549,1523.0,1,128.0,0.050086791976355,1523.0,128.0,0.4572058261445053
