group,fold,L,calibration_n,heldout_n,calibration_ndcg10
msmarco-passage-trec-dl-2019,0,5000,34,9,0.678437484464126
msmarco-passage-trec-dl-2019,1,5000,34,9,0.6827280042640593
msmarco-passage-trec-dl-2019,2,500,34,9,0.6996806148081797
msmarco-passage-trec-dl-2019,3,5000,35,8,0.65295753081552
msmarco-passage-trec-dl-2019,4,5000,35,8,0.6935759980231124
msmarco-passage-trec-dl-2020,0,20,43,11,0.6246531706313682
msmarco-passage-trec-dl-2020,1,20,43,11,0.6398116921251352
msmarco-passage-trec-dl-2020,2,20,43,11,0.6348523990927114
msmarco-passage-trec-dl-2020,3,20,43,11,0.6515086027033461
msmarco-passage-trec-dl-2020,4,20,44,10,0.6607960801162065
nfcorpus,0,5000,258,65,0.3636506045873722
nfcorpus,1,5000,258,65,0.36382264424311894
nfcorpus,2,5000,258,65,0.36245313717980404
nfcorpus,3,2000,259,64,0.3661262844472501
nfcorpus,4,5000,259,64,0.3765814870066227
scifact,0,200,240,60,0.7289798838695628
scifact,1,50,240,60,0.7575836151231967
scifact,2,200,240,60,0.7566304097374259
scifact,3,50,240,60,0.7410239757868794
scifact,4,50,240,60,0.7374559701827991
trec-covid,0,2000,40,10,0.8243442456515624
trec-covid,1,200,40,10,0.8345059022823753
trec-covid,2,5000,40,10,0.7811085594779562
trec-covid,3,200,40,10,0.7929105753915942
trec-covid,4,200,40,10,0.8038135988423563
trec-covid-chrono-r1,0,50,24,6,0.7560952545040497
trec-covid-chrono-r1,1,50,24,6,0.682797236286635
trec-covid-chrono-r1,2,100,24,6,0.6970087271482505
trec-covid-chrono-r1,3,1000,24,6,0.7102380652086806
trec-covid-chrono-r1,4,50,24,6,0.7101506651866644
