dataset,snapshot,L,ndcg10
msmarco-passage-trec-dl-2019,0,10,0.636075277356013
msmarco-passage-trec-dl-2019,0,20,0.6537709294529146
msmarco-passage-trec-dl-2019,0,50,0.6684190268978704
msmarco-passage-trec-dl-2019,0,100,0.6729344445410077
msmarco-passage-trec-dl-2019,0,200,0.6780034502422605
msmarco-passage-trec-dl-2019,0,500,0.6807054741112378
msmarco-passage-trec-dl-2019,0,1000,0.6808134483937155
msmarco-passage-trec-dl-2019,0,2000,0.6810385563834352
msmarco-passage-trec-dl-2019,0,5000,0.6811598045187115
msmarco-passage-trec-dl-2020,0,10,0.6319958508033288
msmarco-passage-trec-dl-2020,0,20,0.6424099060225612
msmarco-passage-trec-dl-2020,0,50,0.6325393242983417
msmarco-passage-trec-dl-2020,0,100,0.617904732392245
msmarco-passage-trec-dl-2020,0,200,0.6190474562937901
msmarco-passage-trec-dl-2020,0,500,0.6254302355868899
msmarco-passage-trec-dl-2020,0,1000,0.6254302355868899
msmarco-passage-trec-dl-2020,0,2000,0.6242520728424649
msmarco-passage-trec-dl-2020,0,5000,0.6242520728424649
nfcorpus,0,10,0.35742398813257303
nfcorpus,0,20,0.3611579240165682
nfcorpus,0,50,0.3625275667159601
nfcorpus,0,100,0.3634556268630878
nfcorpus,0,200,0.3646832437838022
nfcorpus,0,500,0.36619015999796756
nfcorpus,0,1000,0.3661938794336786
nfcorpus,0,2000,0.36650413921177066
nfcorpus,0,5000,0.3665343037130103
scifact,0,10,0.7380422344459997
scifact,0,20,0.739994257931287
scifact,0,50,0.7442501145190544
scifact,0,100,0.7397729261989315
scifact,0,200,0.7441578091215506
scifact,0,500,0.7441578091215506
scifact,0,1000,0.7441578091215506
scifact,0,2000,0.7441578091215506
scifact,0,5000,0.7441578091215506
trec-covid,0,10,0.6624068034302959
trec-covid,0,20,0.689428389260851
trec-covid,0,50,0.7483810350807458
trec-covid,0,100,0.792486242829824
trec-covid,0,200,0.8070156854164131
trec-covid,0,500,0.8047146290594089
trec-covid,0,1000,0.8027796710608861
trec-covid,0,2000,0.805483884726636
trec-covid,0,5000,0.8059236466499513
trec-covid-chrono-r1,1,10,0.6218557820531196
trec-covid-chrono-r1,1,20,0.6419965277638013
trec-covid-chrono-r1,1,50,0.7099447089339045
trec-covid-chrono-r1,1,100,0.7067366097600513
trec-covid-chrono-r1,1,200,0.701458264263752
trec-covid-chrono-r1,1,500,0.7036186255619719
trec-covid-chrono-r1,1,1000,0.7062461830767769
trec-covid-chrono-r1,1,2000,0.7062461830767769
trec-covid-chrono-r1,1,5000,0.7062461830767769
trec-covid-chrono-r2,2,10,0.6280005286968335
trec-covid-chrono-r2,2,20,0.655965488713799
trec-covid-chrono-r2,2,50,0.6934772471596927
trec-covid-chrono-r2,2,100,0.7138371469368491
trec-covid-chrono-r2,2,200,0.7087431415302636
trec-covid-chrono-r2,2,500,0.7131798707184202
trec-covid-chrono-r2,2,1000,0.7124239880645395
trec-covid-chrono-r2,2,2000,0.7113636415945571
trec-covid-chrono-r2,2,5000,0.710356245099281
trec-covid-chrono-r3,3,10,0.6314453199598993
trec-covid-chrono-r3,3,20,0.6640491246746377
trec-covid-chrono-r3,3,50,0.7352795799526112
trec-covid-chrono-r3,3,100,0.7617374204606916
trec-covid-chrono-r3,3,200,0.7632916511142812
trec-covid-chrono-r3,3,500,0.753063577666584
trec-covid-chrono-r3,3,1000,0.7529228465166964
trec-covid-chrono-r3,3,2000,0.756702481170863
trec-covid-chrono-r3,3,5000,0.7565126754401281
trec-covid-chrono-r4,4,10,0.6274281015864179
trec-covid-chrono-r4,4,20,0.6536089008598643
trec-covid-chrono-r4,4,50,0.7353761049926946
trec-covid-chrono-r4,4,100,0.7897210519866416
trec-covid-chrono-r4,4,200,0.7918755700660575
trec-covid-chrono-r4,4,500,0.7864439407391539
trec-covid-chrono-r4,4,1000,0.7844639789490766
trec-covid-chrono-r4,4,2000,0.7915192634657663
trec-covid-chrono-r4,4,5000,0.7902848332425509
trec-covid-chrono-r5,5,10,0.6332021129655355
trec-covid-chrono-r5,5,20,0.6535254874876022
trec-covid-chrono-r5,5,50,0.7390499213691825
trec-covid-chrono-r5,5,100,0.7847346607956515
trec-covid-chrono-r5,5,200,0.7980708045618219
trec-covid-chrono-r5,5,500,0.7993470338228137
trec-covid-chrono-r5,5,1000,0.7964572716266225
trec-covid-chrono-r5,5,2000,0.7997260922117513
trec-covid-chrono-r5,5,5000,0.8000726303590328
