dataset,n,L_choices,ndcg10,full_ndcg10,delta,ci_lower,ci_upper,ordered20,overlap20,accesses
msmarco-passage-trec-dl-2019,43,"5000,5000,500,5000,5000",0.6798228077770471,0.6811598045187115,-0.0013369967416644313,-0.018086068520516873,0.00042833592671720765,0.9069767441860465,0.9941860465116279,8116.279069767442
msmarco-passage-trec-dl-2020,54,"20,20,20,20,20",0.6424099060225614,0.6242520728424649,0.01815783318009656,-0.014406060070197934,0.03754963936347427,0.0,0.6953703703703703,40.0
nfcorpus,323,"5000,5000,5000,2000,5000",0.36650413921177066,0.3665343037130103,-3.016450123966008e-05,-0.006865613271730765,0.0004531431542298625,0.9845201238390093,0.99984520123839,3864.996904024768
scifact,300,"200,50,200,50,50",0.7437268780403734,0.7441578091215507,-0.0004309310811773104,-0.01281469070624417,0.004345904974057049,0.3233333333333333,0.8725,219.55333333333334
trec-covid,50,"2000,200,5000,200,200",0.8031082823091517,0.8058709779448426,-0.0027626956356909815,-0.01091097423962352,0.006533149075631445,0.44,0.9540000000000001,3040.0
trec-covid-chrono-r1,30,"50,50,100,1000,50",0.6977849609711174,0.7062461830767768,-0.00846122210565936,-0.023226709799281025,0.01332421662852661,0.2,0.8049999999999999,500.0
trec-covid-chrono-r2,30,"50,50,100,1000,50",0.709120538759212,0.7104217901019907,-0.0013012513427786976,-0.02776487304081004,0.010750527762883683,0.23333333333333334,0.7966666666666666,500.0
trec-covid-chrono-r3,30,"50,50,100,1000,50",0.7432420902397224,0.7586333683800933,-0.01539127814037089,-0.03805113463737825,0.010428418330597985,0.2,0.7883333333333333,500.0
trec-covid-chrono-r4,30,"50,50,100,1000,50",0.7625627357132884,0.7901753976522508,-0.02761266193896239,-0.06620628395083197,0.002110628344238974,0.16666666666666666,0.8166666666666665,500.0
trec-covid-chrono-r5,30,"50,50,100,1000,50",0.7730386937525299,0.800244317315536,-0.027205623563006154,-0.06989468969327378,-0.005770856824433233,0.16666666666666666,0.7916666666666666,500.0
