dataset,batch,n,dibud_lower,dibud_upper,balanced_lower,balanced_upper,delta_lower,delta_upper,ci_lower,ci_upper,wins,losses,ties,ambiguous
msmarco-passage-trec-dl-2019,1,43,0.370810224606937,0.370810224606937,0.3455548317963112,0.3455548317963112,0.025255392810625863,0.025255392810625863,0.018510349509818363,0.03260941047836655,39,0,4,0
msmarco-passage-trec-dl-2019,64,43,0.3648871233253697,0.3648871233253697,0.3455548317963112,0.3455548317963112,0.019332291529058562,0.019332291529058562,0.013135205775242223,0.026540369966098112,35,0,8,0
msmarco-passage-trec-dl-2020,1,54,0.3159593229594836,0.3159593229594836,0.29758497452364696,0.29758497452364696,0.018374348435836636,0.018374348435836636,0.013473689390560999,0.023600386127760442,48,0,6,0
msmarco-passage-trec-dl-2020,64,54,0.3129485631807119,0.3129485631807119,0.29758497452364696,0.29758497452364696,0.015363588657064877,0.015363588657064877,0.010978631288021469,0.02078062738068547,47,0,7,0
nfcorpus,1,323,0.5796977058499196,0.5796977058499196,0.5713813232746127,0.5713813232746127,0.00831638257530691,0.00831638257530691,0.006637349740387044,0.0102859225576176,161,0,162,0
nfcorpus,64,323,0.5774622779699968,0.5774622779699968,0.5713813232746127,0.5713813232746127,0.006080954695384274,0.006080954695384274,0.004618448162269686,0.007779682930127246,122,1,200,0
scifact,1,300,0.4410722223828342,0.4410722223828342,0.41763683976721905,0.41763683976721905,0.023435382615615133,0.023435382615615133,0.020964168879925502,0.026038630722651158,289,0,11,0
scifact,64,300,0.437451403666521,0.437451403666521,0.41763683976721905,0.41763683976721905,0.019814563899301967,0.019814563899301967,0.017359972347513835,0.022474572284974594,268,0,32,0
trec-covid,1,50,0.23886690795872387,0.23886690795872387,0.2203608541919645,0.2203608541919645,0.01850605376675934,0.01850605376675934,0.012933376111954064,0.024782319712692263,46,0,4,0
trec-covid,64,50,0.23673794389265057,0.23673794389265057,0.2203608541919645,0.2203608541919645,0.016377089700686073,0.016377089700686073,0.01082141967865511,0.02244919168952624,44,0,6,0
