dataset,snapshot,query_id,policy,batch,budget,accesses,dense,sparse,known,stop,k,k_lower,k_upper,k20,ndcg20,full_ndcg20,cost20,baseline20_complete,budget20_cost,elapsed_seconds
nfcorpus,0,PLAIN-1008,dibud,1,128,101,100,1,1,cap100,100,100,100,20,0.0,0.0,21,1,21,0.02122807502746582
nfcorpus,0,PLAIN-1008,dibud,1,256,101,100,1,1,cap100,100,100,100,20,0.0,0.0,21,1,21,0.021229028701782227
nfcorpus,0,PLAIN-1008,dibud,1,512,101,100,1,1,cap100,100,100,100,20,0.0,0.0,21,1,21,0.021229028701782227
nfcorpus,0,PLAIN-1008,dibud,1,1024,101,100,1,1,cap100,100,100,100,20,0.0,0.0,21,1,21,0.02122974395751953
nfcorpus,0,PLAIN-1008,dibud,1,2048,101,100,1,1,cap100,100,100,100,20,0.0,0.0,21,1,21,0.02122974395751953
nfcorpus,0,PLAIN-1008,dibud,1,4096,101,100,1,1,cap100,100,100,100,20,0.0,0.0,21,1,21,0.02122974395751953
nfcorpus,0,PLAIN-1008,dibud,1,8192,101,100,1,1,cap100,100,100,100,20,0.0,0.0,21,1,21,0.02122974395751953
nfcorpus,0,PLAIN-1008,dibud,1,10000,101,100,1,1,cap100,100,100,100,20,0.0,0.0,21,1,21,0.02122974395751953
nfcorpus,0,PLAIN-1008,balanced,1,128,101,100,1,1,cap100,100,100,100,20,0.0,0.0,21,1,21,0.030243873596191406
nfcorpus,0,PLAIN-1008,balanced,1,256,101,100,1,1,cap100,100,100,100,20,0.0,0.0,21,1,21,0.030243873596191406
nfcorpus,0,PLAIN-1008,balanced,1,512,101,100,1,1,cap100,100,100,100,20,0.0,0.0,21,1,21,0.030244827270507812
nfcorpus,0,PLAIN-1008,balanced,1,1024,101,100,1,1,cap100,100,100,100,20,0.0,0.0,21,1,21,0.030244827270507812
nfcorpus,0,PLAIN-1008,balanced,1,2048,101,100,1,1,cap100,100,100,100,20,0.0,0.0,21,1,21,0.030244827270507812
nfcorpus,0,PLAIN-1008,balanced,1,4096,101,100,1,1,cap100,100,100,100,20,0.0,0.0,21,1,21,0.030244827270507812
nfcorpus,0,PLAIN-1008,balanced,1,8192,101,100,1,1,cap100,100,100,100,20,0.0,0.0,21,1,21,0.03024578094482422
nfcorpus,0,PLAIN-1008,balanced,1,10000,101,100,1,1,cap100,100,100,100,20,0.0,0.0,21,1,21,0.03024578094482422
nfcorpus,0,PLAIN-1008,dibud,64,128,128,127,1,1,cap100,100,100,100,20,0.0,0.0,65,1,65,0.039209842681884766
nfcorpus,0,PLAIN-1008,dibud,64,256,128,127,1,1,cap100,100,100,100,20,0.0,0.0,65,1,65,0.039209842681884766
nfcorpus,0,PLAIN-1008,dibud,64,512,128,127,1,1,cap100,100,100,100,20,0.0,0.0,65,1,65,0.03921103477478027
nfcorpus,0,PLAIN-1008,dibud,64,1024,128,127,1,1,cap100,100,100,100,20,0.0,0.0,65,1,65,0.03921103477478027
nfcorpus,0,PLAIN-1008,dibud,64,2048,128,127,1,1,cap100,100,100,100,20,0.0,0.0,65,1,65,0.03921103477478027
nfcorpus,0,PLAIN-1008,dibud,64,4096,128,127,1,1,cap100,100,100,100,20,0.0,0.0,65,1,65,0.03921103477478027
nfcorpus,0,PLAIN-1008,dibud,64,8192,128,127,1,1,cap100,100,100,100,20,0.0,0.0,65,1,65,0.03921103477478027
nfcorpus,0,PLAIN-1008,dibud,64,10000,128,127,1,1,cap100,100,100,100,20,0.0,0.0,65,1,65,0.03921198844909668
nfcorpus,0,PLAIN-1008,balanced,64,128,128,127,1,1,cap100,100,100,100,20,0.0,0.0,65,1,65,0.04011893272399902
nfcorpus,0,PLAIN-1008,balanced,64,256,128,127,1,1,cap100,100,100,100,20,0.0,0.0,65,1,65,0.04012012481689453
nfcorpus,0,PLAIN-1008,balanced,64,512,128,127,1,1,cap100,100,100,100,20,0.0,0.0,65,1,65,0.04012012481689453
nfcorpus,0,PLAIN-1008,balanced,64,1024,128,127,1,1,cap100,100,100,100,20,0.0,0.0,65,1,65,0.04012012481689453
nfcorpus,0,PLAIN-1008,balanced,64,2048,128,127,1,1,cap100,100,100,100,20,0.0,0.0,65,1,65,0.04012012481689453
nfcorpus,0,PLAIN-1008,balanced,64,4096,128,127,1,1,cap100,100,100,100,20,0.0,0.0,65,1,65,0.040120840072631836
nfcorpus,0,PLAIN-1008,balanced,64,8192,128,127,1,1,cap100,100,100,100,20,0.0,0.0,65,1,65,0.040120840072631836
nfcorpus,0,PLAIN-1008,balanced,64,10000,128,127,1,1,cap100,100,100,100,20,0.0,0.0,65,1,65,0.040120840072631836
nfcorpus,0,PLAIN-1018,dibud,1,128,128,103,25,1,budget,20,20,20,20,0.40392368274011026,0.40392368274011026,114,1,114,0.029872894287109375
nfcorpus,0,PLAIN-1018,dibud,1,256,256,231,25,1,budget,20,20,20,20,0.40392368274011026,0.40392368274011026,114,1,114,0.02987384796142578
nfcorpus,0,PLAIN-1018,dibud,1,512,512,487,25,1,budget,21,21,21,20,0.40392368274011026,0.40392368274011026,114,1,114,0.02987504005432129
nfcorpus,0,PLAIN-1018,dibud,1,1024,1024,999,25,1,budget,25,25,25,20,0.40392368274011026,0.40392368274011026,114,1,114,0.02987504005432129
nfcorpus,0,PLAIN-1018,dibud,1,2048,1646,1621,25,1,cap100,100,100,100,20,0.40392368274011026,0.40392368274011026,114,1,114,0.02987504005432129
nfcorpus,0,PLAIN-1018,dibud,1,4096,1646,1621,25,1,cap100,100,100,100,20,0.40392368274011026,0.40392368274011026,114,1,114,0.02987504005432129
nfcorpus,0,PLAIN-1018,dibud,1,8192,1646,1621,25,1,cap100,100,100,100,20,0.40392368274011026,0.40392368274011026,114,1,114,0.02987504005432129
