dataset,query_id,policy,batch,complete20,last_k,last_cost,terminal_accesses,unresolved_accesses,max_gap,max_gap_rank,max_share,k_at25,k_at50,k_at75
msmarco-passage-trec-dl-2019,1037798,balanced,1,1,20,55633.0,55633,0.0,41101.0,20,0.7387881293476893,13,19,19
msmarco-passage-trec-dl-2019,1037798,balanced,64,1,20,55696.0,55696,0.0,41152.0,20,0.7388681413386958,13,19,19
msmarco-passage-trec-dl-2019,1037798,dibud,1,1,20,35083.0,35083,0.0,21736.0,20,0.6195593307299831,13,19,19
msmarco-passage-trec-dl-2019,1037798,dibud,64,1,20,35152.0,35152,0.0,21760.0,20,0.6190259444697315,13,19,19
msmarco-passage-trec-dl-2019,104861,balanced,1,1,20,551.0,10000,9449.0,112.0,1,0.20326678765880218,2,6,12
msmarco-passage-trec-dl-2019,104861,balanced,64,1,20,576.0,10000,9424.0,128.0,1,0.2222222222222222,1,4,10
msmarco-passage-trec-dl-2019,104861,dibud,1,1,20,475.0,10000,9525.0,112.0,1,0.23578947368421052,1,3,9
msmarco-passage-trec-dl-2019,104861,dibud,64,1,20,576.0,10000,9424.0,128.0,1,0.2222222222222222,1,4,10
msmarco-passage-trec-dl-2019,1063750,balanced,1,1,20,42488.0,42488,0.0,35296.0,18,0.8307286763321409,17,17,17
msmarco-passage-trec-dl-2019,1063750,balanced,64,1,20,42448.0,42448,0.0,35152.0,18,0.8281191104410102,17,17,17
msmarco-passage-trec-dl-2019,1063750,dibud,1,1,20,26409.0,26409,0.0,18970.0,18,0.7183157256995721,17,17,17
msmarco-passage-trec-dl-2019,1063750,dibud,64,1,20,26448.0,26448,0.0,18896.0,18,0.7144585601935874,17,17,17
msmarco-passage-trec-dl-2019,1103812,balanced,1,1,20,6222.0,10000,3778.0,3264.0,14,0.5245901639344263,13,13,13
msmarco-passage-trec-dl-2019,1103812,balanced,64,1,20,6272.0,10000,3728.0,3328.0,14,0.5306122448979592,13,13,13
msmarco-passage-trec-dl-2019,1103812,dibud,1,1,20,5359.0,10000,4641.0,2118.0,14,0.39522298936368727,13,13,15
