dataset,snapshot,query_id,policy,batch,k,completed,cost,lower_bound,terminal_accesses,stop
nfcorpus,0,PLAIN-1008,dibud,1,1,1,5,5,101,cap100
nfcorpus,0,PLAIN-1008,dibud,1,2,1,5,5,101,cap100
nfcorpus,0,PLAIN-1008,dibud,1,3,1,5,5,101,cap100
nfcorpus,0,PLAIN-1008,dibud,1,4,1,5,5,101,cap100
nfcorpus,0,PLAIN-1008,dibud,1,5,1,6,6,101,cap100
nfcorpus,0,PLAIN-1008,dibud,1,6,1,7,7,101,cap100
nfcorpus,0,PLAIN-1008,dibud,1,7,1,8,8,101,cap100
nfcorpus,0,PLAIN-1008,dibud,1,8,1,9,9,101,cap100
nfcorpus,0,PLAIN-1008,dibud,1,9,1,10,10,101,cap100
nfcorpus,0,PLAIN-1008,dibud,1,10,1,11,11,101,cap100
nfcorpus,0,PLAIN-1008,dibud,1,11,1,12,12,101,cap100
nfcorpus,0,PLAIN-1008,dibud,1,12,1,13,13,101,cap100
nfcorpus,0,PLAIN-1008,dibud,1,13,1,14,14,101,cap100
nfcorpus,0,PLAIN-1008,dibud,1,14,1,15,15,101,cap100
nfcorpus,0,PLAIN-1008,dibud,1,15,1,16,16,101,cap100
nfcorpus,0,PLAIN-1008,dibud,1,16,1,17,17,101,cap100
nfcorpus,0,PLAIN-1008,dibud,1,17,1,18,18,101,cap100
nfcorpus,0,PLAIN-1008,dibud,1,18,1,19,19,101,cap100
nfcorpus,0,PLAIN-1008,dibud,1,19,1,20,20,101,cap100
nfcorpus,0,PLAIN-1008,dibud,1,20,1,21,21,101,cap100
nfcorpus,0,PLAIN-1008,dibud,1,21,1,22,22,101,cap100
nfcorpus,0,PLAIN-1008,dibud,1,22,1,23,23,101,cap100
nfcorpus,0,PLAIN-1008,dibud,1,23,1,24,24,101,cap100
nfcorpus,0,PLAIN-1008,dibud,1,24,1,25,25,101,cap100
nfcorpus,0,PLAIN-1008,dibud,1,25,1,26,26,101,cap100
nfcorpus,0,PLAIN-1008,dibud,1,26,1,27,27,101,cap100
