dataset,query_id,from_k,to_k,from_accesses,to_accesses,gap,total,share
msmarco-passage-trec-dl-2019,855410,11,12,166484.0,3458738.0,3292254.0,3533518.0,0.9317213043771109
msmarco-passage-trec-dl-2019,443396,17,18,83877.0,402879.0,319002.0,402879.0,0.7918059764842545
msmarco-passage-trec-dl-2019,131843,12,13,10884.0,196410.0,185526.0,196410.0,0.9445853062471361
msmarco-passage-trec-dl-2020,135802,15,16,2486.0,211169.0,208683.0,211169.0,0.9882274386865496
msmarco-passage-trec-dl-2020,1105792,19,20,11678.0,111124.0,99446.0,111124.0,0.8949101904179115
msmarco-passage-trec-dl-2020,324585,19,20,14942.0,35562.0,20620.0,35562.0,0.5798324053765255
nfcorpus,PLAIN-358,16,17,2404.0,4456.0,2052.0,5035.0,0.4075471698113208
nfcorpus,PLAIN-3151,19,20,2412.0,3512.0,1100.0,3512.0,0.3132118451025057
nfcorpus,PLAIN-2880,3,4,248.0,1575.0,1327.0,3496.0,0.3795766590389016
scifact,1363,15,16,2759.0,5011.0,2252.0,5011.0,0.4494112951506685
scifact,1,14,15,2601.0,3612.0,1011.0,4916.0,0.20565500406834825
scifact,768,15,16,2054.0,4167.0,2113.0,4900.0,0.4312244897959184
trec-covid,49,18,19,45763.0,91253.0,45490.0,91290.0,0.4983021141417461
trec-covid,16,17,18,7878.0,85178.0,77300.0,85178.0,0.9075113292164644
trec-covid,34,14,15,28760.0,56363.0,27603.0,56363.0,0.4897361744406792
