dataset,snapshot,policy,batch,accesses,dense,sparse,known,stop,k,k_lower,k_upper,k20,ndcg20,full_ndcg20,cost20,baseline20_complete,budget20_cost,elapsed_seconds,baseline_cost_lower,capped_cost_upper,ndcg20_upper,query_id,budget,target,fold
msmarco-passage-trec-dl-2019,0,dibud,1,512,294,218,1,budget,21,21,21,20,1.0,1.0,475,1,475,0.6982290744781494,475.0,475.0,1.0,104861,512,0.9,0
msmarco-passage-trec-dl-2019,0,dibud,1,512,226,286,1,budget,29,29,29,20,0.5941198942441208,0.5941198942441208,186,1,186,0.266862154006958,186.0,186.0,0.5941198942441208,1114646,512,0.9,0
msmarco-passage-trec-dl-2019,0,dibud,1,512,246,266,1,budget,36,36,36,20,0.4596195627751552,0.4596195627751552,197,1,197,0.0551180839538574,197.0,197.0,0.4596195627751552,148538,512,0.9,0
msmarco-passage-trec-dl-2019,0,dibud,1,512,327,185,1,budget,67,67,67,20,0.9668446814705784,0.9668446814705784,178,1,178,0.0244820117950439,178.0,178.0,0.9668446814705784,156493,512,0.9,0
msmarco-passage-trec-dl-2019,0,dibud,1,512,322,190,1,budget,39,39,39,20,0.7608046694978651,0.7608046694978651,89,1,89,0.1022641658782959,89.0,89.0,0.7608046694978651,182539,512,0.9,0
msmarco-passage-trec-dl-2019,0,dibud,1,512,243,269,1,budget,9,9,9,9,0.150437134494807,0.1899493779221958,402879,1,512,3.781471967697144,402879.0,512.0,0.150437134494807,443396,512,0.9,0
msmarco-passage-trec-dl-2019,0,dibud,1,512,199,313,1,budget,58,58,58,20,0.5724624301728537,0.5724624301728537,116,1,116,0.0225539207458496,116.0,116.0,0.5724624301728537,490595,512,0.9,0
msmarco-passage-trec-dl-2019,0,dibud,1,512,243,269,1,budget,14,14,14,14,0.7072998671222513,0.7888099091970884,916,1,512,0.1020610332489013,916.0,512.0,0.7072998671222513,833860,512,0.9,0
msmarco-passage-trec-dl-2019,0,dibud,1,512,307,205,1,budget,15,15,15,15,0.6612991776106274,0.728914320877073,1079,1,512,0.1011431217193603,1079.0,512.0,0.6612991776106274,962179,512,0.9,0
msmarco-passage-trec-dl-2019,0,dibud,1,512,279,233,1,budget,22,22,22,20,0.722361082584816,0.722361082584816,344,1,344,0.2005090713500976,344.0,344.0,0.722361082584816,1115776,512,0.9,1
msmarco-passage-trec-dl-2019,0,dibud,1,512,351,161,1,budget,28,28,28,20,0.977270778638806,0.977270778638806,192,1,192,0.1979057788848877,192.0,192.0,0.977270778638806,1117099,512,0.9,1
