dataset,snapshot,query_id,policy,batch,accesses,dense,sparse,before,k
nfcorpus,0,PLAIN-1008,dibud,1,5,4,1,0,4
nfcorpus,0,PLAIN-1008,dibud,1,6,5,1,4,5
nfcorpus,0,PLAIN-1008,dibud,1,7,6,1,5,6
nfcorpus,0,PLAIN-1008,dibud,1,8,7,1,6,7
nfcorpus,0,PLAIN-1008,dibud,1,9,8,1,7,8
nfcorpus,0,PLAIN-1008,dibud,1,10,9,1,8,9
nfcorpus,0,PLAIN-1008,dibud,1,11,10,1,9,10
nfcorpus,0,PLAIN-1008,dibud,1,12,11,1,10,11
nfcorpus,0,PLAIN-1008,dibud,1,13,12,1,11,12
nfcorpus,0,PLAIN-1008,dibud,1,14,13,1,12,13
nfcorpus,0,PLAIN-1008,dibud,1,15,14,1,13,14
nfcorpus,0,PLAIN-1008,dibud,1,16,15,1,14,15
nfcorpus,0,PLAIN-1008,dibud,1,17,16,1,15,16
nfcorpus,0,PLAIN-1008,dibud,1,18,17,1,16,17
nfcorpus,0,PLAIN-1008,dibud,1,19,18,1,17,18
nfcorpus,0,PLAIN-1008,dibud,1,20,19,1,18,19
nfcorpus,0,PLAIN-1008,dibud,1,21,20,1,19,20
nfcorpus,0,PLAIN-1008,dibud,1,22,21,1,20,21
nfcorpus,0,PLAIN-1008,dibud,1,23,22,1,21,22
nfcorpus,0,PLAIN-1008,dibud,1,24,23,1,22,23
nfcorpus,0,PLAIN-1008,dibud,1,25,24,1,23,24
nfcorpus,0,PLAIN-1008,dibud,1,26,25,1,24,25
nfcorpus,0,PLAIN-1008,dibud,1,27,26,1,25,26
nfcorpus,0,PLAIN-1008,dibud,1,28,27,1,26,27
nfcorpus,0,PLAIN-1008,dibud,1,29,28,1,27,28
nfcorpus,0,PLAIN-1008,dibud,1,30,29,1,28,29
nfcorpus,0,PLAIN-1008,dibud,1,31,30,1,29,30
nfcorpus,0,PLAIN-1008,dibud,1,32,31,1,30,31
nfcorpus,0,PLAIN-1008,dibud,1,33,32,1,31,32
nfcorpus,0,PLAIN-1008,dibud,1,34,33,1,32,33
nfcorpus,0,PLAIN-1008,dibud,1,35,34,1,33,34
nfcorpus,0,PLAIN-1008,dibud,1,36,35,1,34,35
nfcorpus,0,PLAIN-1008,dibud,1,37,36,1,35,36
nfcorpus,0,PLAIN-1008,dibud,1,38,37,1,36,37
nfcorpus,0,PLAIN-1008,dibud,1,39,38,1,37,38
nfcorpus,0,PLAIN-1008,dibud,1,40,39,1,38,39
nfcorpus,0,PLAIN-1008,dibud,1,41,40,1,39,40
nfcorpus,0,PLAIN-1008,dibud,1,42,41,1,40,41
nfcorpus,0,PLAIN-1008,dibud,1,43,42,1,41,42
nfcorpus,0,PLAIN-1008,dibud,1,44,43,1,42,43
nfcorpus,0,PLAIN-1008,dibud,1,45,44,1,43,44
nfcorpus,0,PLAIN-1008,dibud,1,46,45,1,44,45
nfcorpus,0,PLAIN-1008,dibud,1,47,46,1,45,46
nfcorpus,0,PLAIN-1008,dibud,1,48,47,1,46,47
nfcorpus,0,PLAIN-1008,dibud,1,49,48,1,47,48
nfcorpus,0,PLAIN-1008,dibud,1,50,49,1,48,49
nfcorpus,0,PLAIN-1008,dibud,1,51,50,1,49,50
nfcorpus,0,PLAIN-1008,dibud,1,52,51,1,50,51
nfcorpus,0,PLAIN-1008,dibud,1,53,52,1,51,52
nfcorpus,0,PLAIN-1008,dibud,1,54,53,1,52,53
nfcorpus,0,PLAIN-1008,dibud,1,55,54,1,53,54
nfcorpus,0,PLAIN-1008,dibud,1,56,55,1,54,55
nfcorpus,0,PLAIN-1008,dibud,1,57,56,1,55,56
nfcorpus,0,PLAIN-1008,dibud,1,58,57,1,56,57
nfcorpus,0,PLAIN-1008,dibud,1,59,58,1,57,58
nfcorpus,0,PLAIN-1008,dibud,1,60,59,1,58,59
nfcorpus,0,PLAIN-1008,dibud,1,61,60,1,59,60
nfcorpus,0,PLAIN-1008,dibud,1,62,61,1,60,61
nfcorpus,0,PLAIN-1008,dibud,1,63,62,1,61,62
nfcorpus,0,PLAIN-1008,dibud,1,64,63,1,62,63
nfcorpus,0,PLAIN-1008,dibud,1,65,64,1,63,64
nfcorpus,0,PLAIN-1008,dibud,1,66,65,1,64,65
nfcorpus,0,PLAIN-1008,dibud,1,67,66,1,65,66
nfcorpus,0,PLAIN-1008,dibud,1,68,67,1,66,67
nfcorpus,0,PLAIN-1008,dibud,1,69,68,1,67,68
nfcorpus,0,PLAIN-1008,dibud,1,70,69,1,68,69
nfcorpus,0,PLAIN-1008,dibud,1,71,70,1,69,70
nfcorpus,0,PLAIN-1008,dibud,1,72,71,1,70,71
nfcorpus,0,PLAIN-1008,dibud,1,73,72,1,71,72
nfcorpus,0,PLAIN-1008,dibud,1,74,73,1,72,73
nfcorpus,0,PLAIN-1008,dibud,1,75,74,1,73,74
nfcorpus,0,PLAIN-1008,dibud,1,76,75,1,74,75
nfcorpus,0,PLAIN-1008,dibud,1,77,76,1,75,76
nfcorpus,0,PLAIN-1008,dibud,1,78,77,1,76,77
nfcorpus,0,PLAIN-1008,dibud,1,79,78,1,77,78
nfcorpus,0,PLAIN-1008,dibud,1,80,79,1,78,79
nfcorpus,0,PLAIN-1008,dibud,1,81,80,1,79,80
nfcorpus,0,PLAIN-1008,dibud,1,82,81,1,80,81
nfcorpus,0,PLAIN-1008,dibud,1,83,82,1,81,82
nfcorpus,0,PLAIN-1008,dibud,1,84,83,1,82,83
nfcorpus,0,PLAIN-1008,dibud,1,85,84,1,83,84
nfcorpus,0,PLAIN-1008,dibud,1,86,85,1,84,85
nfcorpus,0,PLAIN-1008,dibud,1,87,86,1,85,86
nfcorpus,0,PLAIN-1008,dibud,1,88,87,1,86,87
nfcorpus,0,PLAIN-1008,dibud,1,89,88,1,87,88
nfcorpus,0,PLAIN-1008,dibud,1,90,89,1,88,89
nfcorpus,0,PLAIN-1008,dibud,1,91,90,1,89,90
nfcorpus,0,PLAIN-1008,dibud,1,92,91,1,90,91
nfcorpus,0,PLAIN-1008,dibud,1,93,92,1,91,92
nfcorpus,0,PLAIN-1008,dibud,1,94,93,1,92,93
nfcorpus,0,PLAIN-1008,dibud,1,95,94,1,93,94
nfcorpus,0,PLAIN-1008,dibud,1,96,95,1,94,95
nfcorpus,0,PLAIN-1008,dibud,1,97,96,1,95,96
nfcorpus,0,PLAIN-1008,dibud,1,98,97,1,96,97
nfcorpus,0,PLAIN-1008,dibud,1,99,98,1,97,98
nfcorpus,0,PLAIN-1008,dibud,1,100,99,1,98,99
nfcorpus,0,PLAIN-1008,dibud,1,101,100,1,99,100
nfcorpus,0,PLAIN-1008,balanced,1,5,4,1,0,4
nfcorpus,0,PLAIN-1008,balanced,1,6,5,1,4,5
nfcorpus,0,PLAIN-1008,balanced,1,7,6,1,5,6
nfcorpus,0,PLAIN-1008,balanced,1,8,7,1,6,7
nfcorpus,0,PLAIN-1008,balanced,1,9,8,1,7,8
nfcorpus,0,PLAIN-1008,balanced,1,10,9,1,8,9
nfcorpus,0,PLAIN-1008,balanced,1,11,10,1,9,10
nfcorpus,0,PLAIN-1008,balanced,1,12,11,1,10,11
nfcorpus,0,PLAIN-1008,balanced,1,13,12,1,11,12
nfcorpus,0,PLAIN-1008,balanced,1,14,13,1,12,13
nfcorpus,0,PLAIN-1008,balanced,1,15,14,1,13,14
