dataset,snapshot,query_id,L,accesses,ndcg10,full_ndcg10,ordered20,overlap20
nfcorpus,0,PLAIN-1008,10,11,0.0,0.0,0,0.5
nfcorpus,0,PLAIN-1008,20,21,0.0,0.0,1,1.0
nfcorpus,0,PLAIN-1008,50,51,0.0,0.0,1,1.0
nfcorpus,0,PLAIN-1008,100,101,0.0,0.0,1,1.0
nfcorpus,0,PLAIN-1008,200,201,0.0,0.0,1,1.0
nfcorpus,0,PLAIN-1008,500,501,0.0,0.0,1,1.0
nfcorpus,0,PLAIN-1008,1000,1001,0.0,0.0,1,1.0
nfcorpus,0,PLAIN-1008,2000,2001,0.0,0.0,1,1.0
nfcorpus,0,PLAIN-1008,5000,3634,0.0,0.0,1,1.0
nfcorpus,0,PLAIN-1018,10,20,0.576669299949219,0.5708588662113934,0,0.55
nfcorpus,0,PLAIN-1018,20,40,0.5708588662113934,0.5708588662113934,0,0.8
nfcorpus,0,PLAIN-1018,50,75,0.5708588662113934,0.5708588662113934,0,0.9
nfcorpus,0,PLAIN-1018,100,125,0.5708588662113934,0.5708588662113934,1,1.0
nfcorpus,0,PLAIN-1018,200,225,0.5708588662113934,0.5708588662113934,1,1.0
nfcorpus,0,PLAIN-1018,500,525,0.5708588662113934,0.5708588662113934,1,1.0
nfcorpus,0,PLAIN-1018,1000,1025,0.5708588662113934,0.5708588662113934,1,1.0
nfcorpus,0,PLAIN-1018,2000,2025,0.5708588662113934,0.5708588662113934,1,1.0
nfcorpus,0,PLAIN-1018,5000,3658,0.5708588662113934,0.5708588662113934,1,1.0
nfcorpus,0,PLAIN-102,10,20,0.19969097468564354,0.0,0,0.55
nfcorpus,0,PLAIN-102,20,40,0.1746103421078289,0.0,0,0.55
nfcorpus,0,PLAIN-102,50,100,0.04875383067250014,0.0,0,0.8
nfcorpus,0,PLAIN-102,100,200,0.0,0.0,0,0.8
nfcorpus,0,PLAIN-102,200,400,0.0,0.0,0,0.95
nfcorpus,0,PLAIN-102,500,1000,0.0,0.0,1,1.0
nfcorpus,0,PLAIN-102,1000,2000,0.0,0.0,1,1.0
nfcorpus,0,PLAIN-102,2000,3262,0.0,0.0,1,1.0
nfcorpus,0,PLAIN-102,5000,4895,0.0,0.0,1,1.0
nfcorpus,0,PLAIN-1028,10,20,0.0,0.0,0,0.75
nfcorpus,0,PLAIN-1028,20,40,0.0,0.0,0,0.8
nfcorpus,0,PLAIN-1028,50,100,0.0,0.0,0,0.85
nfcorpus,0,PLAIN-1028,100,200,0.0,0.0,0,0.8
nfcorpus,0,PLAIN-1028,200,400,0.0,0.0,0,0.9
nfcorpus,0,PLAIN-1028,500,1000,0.0,0.0,1,1.0
nfcorpus,0,PLAIN-1028,1000,2000,0.0,0.0,1,1.0
nfcorpus,0,PLAIN-1028,2000,3193,0.0,0.0,1,1.0
nfcorpus,0,PLAIN-1028,5000,4826,0.0,0.0,1,1.0
nfcorpus,0,PLAIN-1039,10,20,1.0,1.0,0,0.6
nfcorpus,0,PLAIN-1039,20,40,1.0,1.0,0,0.65
nfcorpus,0,PLAIN-1039,50,100,1.0,1.0,0,0.85
nfcorpus,0,PLAIN-1039,100,200,1.0,1.0,0,0.85
nfcorpus,0,PLAIN-1039,200,400,1.0,1.0,0,0.9
nfcorpus,0,PLAIN-1039,500,1000,1.0,1.0,1,1.0
nfcorpus,0,PLAIN-1039,1000,1552,1.0,1.0,1,1.0
nfcorpus,0,PLAIN-1039,2000,2552,1.0,1.0,1,1.0
nfcorpus,0,PLAIN-1039,5000,4185,1.0,1.0,1,1.0
nfcorpus,0,PLAIN-1050,10,20,0.0,0.09478836436955078,0,0.95
nfcorpus,0,PLAIN-1050,20,36,0.0,0.09478836436955078,0,0.95
nfcorpus,0,PLAIN-1050,50,66,0.0,0.09478836436955078,0,0.95
nfcorpus,0,PLAIN-1050,100,116,0.0,0.09478836436955078,0,0.95
nfcorpus,0,PLAIN-1050,200,216,0.0,0.09478836436955078,0,0.95
nfcorpus,0,PLAIN-1050,500,516,0.11004588314904008,0.09478836436955078,0,1.0
nfcorpus,0,PLAIN-1050,1000,1016,0.09478836436955078,0.09478836436955078,0,1.0
nfcorpus,0,PLAIN-1050,2000,2016,0.09478836436955078,0.09478836436955078,1,1.0
nfcorpus,0,PLAIN-1050,5000,3649,0.09478836436955078,0.09478836436955078,1,1.0
nfcorpus,0,PLAIN-1066,10,20,0.0,0.0,0,0.85
nfcorpus,0,PLAIN-1066,20,38,0.0,0.0,0,0.85
nfcorpus,0,PLAIN-1066,50,68,0.0,0.0,0,0.85
nfcorpus,0,PLAIN-1066,100,118,0.0,0.0,0,0.85
nfcorpus,0,PLAIN-1066,200,218,0.0,0.0,0,0.85
nfcorpus,0,PLAIN-1066,500,518,0.0,0.0,0,0.95
nfcorpus,0,PLAIN-1066,1000,1018,0.0,0.0,0,0.95
nfcorpus,0,PLAIN-1066,2000,2018,0.0,0.0,0,1.0
nfcorpus,0,PLAIN-1066,5000,3651,0.0,0.0,1,1.0
nfcorpus,0,PLAIN-1088,10,12,0.5531464700081437,0.5531464700081437,0,0.5
nfcorpus,0,PLAIN-1088,20,22,0.5531464700081437,0.5531464700081437,1,1.0
nfcorpus,0,PLAIN-1088,50,52,0.5531464700081437,0.5531464700081437,1,1.0
nfcorpus,0,PLAIN-1088,100,102,0.5531464700081437,0.5531464700081437,1,1.0
nfcorpus,0,PLAIN-1088,200,202,0.5531464700081437,0.5531464700081437,1,1.0
nfcorpus,0,PLAIN-1088,500,502,0.5531464700081437,0.5531464700081437,1,1.0
nfcorpus,0,PLAIN-1088,1000,1002,0.5531464700081437,0.5531464700081437,1,1.0
nfcorpus,0,PLAIN-1088,2000,2002,0.5531464700081437,0.5531464700081437,1,1.0
nfcorpus,0,PLAIN-1088,5000,3635,0.5531464700081437,0.5531464700081437,1,1.0
nfcorpus,0,PLAIN-1098,10,10,0.0,0.0,0,0.5
nfcorpus,0,PLAIN-1098,20,20,0.0,0.0,1,1.0
nfcorpus,0,PLAIN-1098,50,50,0.0,0.0,1,1.0
nfcorpus,0,PLAIN-1098,100,100,0.0,0.0,1,1.0
nfcorpus,0,PLAIN-1098,200,200,0.0,0.0,1,1.0
nfcorpus,0,PLAIN-1098,500,500,0.0,0.0,1,1.0
nfcorpus,0,PLAIN-1098,1000,1000,0.0,0.0,1,1.0
nfcorpus,0,PLAIN-1098,2000,2000,0.0,0.0,1,1.0
nfcorpus,0,PLAIN-1098,5000,3633,0.0,0.0,1,1.0
nfcorpus,0,PLAIN-1109,10,20,0.5837154733670048,0.6405914129030108,0,0.65
nfcorpus,0,PLAIN-1109,20,40,0.6405914129030108,0.6405914129030108,0,0.8
nfcorpus,0,PLAIN-1109,50,92,0.6405914129030108,0.6405914129030108,0,1.0
nfcorpus,0,PLAIN-1109,100,142,0.6405914129030108,0.6405914129030108,1,1.0
nfcorpus,0,PLAIN-1109,200,242,0.6405914129030108,0.6405914129030108,1,1.0
nfcorpus,0,PLAIN-1109,500,542,0.6405914129030108,0.6405914129030108,1,1.0
nfcorpus,0,PLAIN-1109,1000,1042,0.6405914129030108,0.6405914129030108,1,1.0
nfcorpus,0,PLAIN-1109,2000,2042,0.6405914129030108,0.6405914129030108,1,1.0
