dataset,k,rho_difficulty_overlap_at_k,rho_difficulty_dual_seen_fraction,rho_difficulty_opposite_rank_median,rho_difficulty_minimum_slack
msmarco-passage-trec-dl-2019,5,-0.6598972798282022,,0.8989564245677819,0.18694025634025266
msmarco-passage-trec-dl-2019,10,-0.6204995328751315,-0.4416051799623219,0.8405940485784924,-0.029047367974226225
msmarco-passage-trec-dl-2019,20,-0.6951944104326182,-0.6537351281916964,0.8858243253869938,-0.3145335614003134
msmarco-passage-trec-dl-2019,50,-0.6328028651414536,-0.8563024756517658,0.7467915559765276,-0.7909430505152137
msmarco-passage-trec-dl-2019,100,-0.6706721013800703,-0.7300653758699748,0.6853553178974633,-0.7403920705006514
msmarco-passage-trec-dl-2020,5,-0.6182873172155124,,0.8790661315236807,0.4202466438668702
msmarco-passage-trec-dl-2020,10,-0.6707922788147448,,0.7830000323135582,0.26454306421318124
msmarco-passage-trec-dl-2020,20,-0.5338989838839185,-0.5938916973283823,0.7288755265860539,-0.37152475616151753
msmarco-passage-trec-dl-2020,50,-0.5644020571298292,-0.8512165517864748,0.744972134996158,-0.8103074086248578
msmarco-passage-trec-dl-2020,100,-0.2995352090984542,-0.3970764155984919,0.3148506654483022,-0.39682924316070123
pooled,5,-0.6404520780856281,,0.8899811420004612,0.3336483070727173
pooled,10,-0.6511644272422867,-0.2999239276924575,0.8073817850293391,0.13648117571684729
pooled,20,-0.5966104500134829,-0.6217915439638863,0.8021549672410503,-0.3536794604071205
pooled,50,-0.6005648556876659,-0.8538632666937169,0.7373599383436298,-0.8029315484754768
pooled,100,-0.5056786759016223,-0.6003506051308861,0.5094453705043623,-0.6053710846507819
