dataset,query_id,first_censored_k,known_k20_poison_query
msmarco-passage-trec-dl-2019,1037798,20,0
msmarco-passage-trec-dl-2019,104861,100,0
msmarco-passage-trec-dl-2019,1063750,20,0
msmarco-passage-trec-dl-2019,1103812,50,0
msmarco-passage-trec-dl-2019,1106007,50,0
msmarco-passage-trec-dl-2019,1110199,20,0
msmarco-passage-trec-dl-2019,1112341,50,0
msmarco-passage-trec-dl-2019,1113437,50,0
msmarco-passage-trec-dl-2019,1114646,50,0
msmarco-passage-trec-dl-2019,1114819,,0
msmarco-passage-trec-dl-2019,1115776,50,0
msmarco-passage-trec-dl-2019,1117099,50,0
msmarco-passage-trec-dl-2019,1121402,100,0
msmarco-passage-trec-dl-2019,1121709,20,0
msmarco-passage-trec-dl-2019,1124210,10,0
msmarco-passage-trec-dl-2019,1129237,50,0
msmarco-passage-trec-dl-2019,1133167,,0
msmarco-passage-trec-dl-2019,130510,50,0
msmarco-passage-trec-dl-2019,131843,20,0
msmarco-passage-trec-dl-2019,146187,100,0
msmarco-passage-trec-dl-2019,148538,,0
msmarco-passage-trec-dl-2019,156493,,0
msmarco-passage-trec-dl-2019,168216,,0
msmarco-passage-trec-dl-2019,182539,50,0
msmarco-passage-trec-dl-2019,183378,100,0
msmarco-passage-trec-dl-2019,19335,50,0
msmarco-passage-trec-dl-2019,207786,50,0
msmarco-passage-trec-dl-2019,264014,100,0
msmarco-passage-trec-dl-2019,359349,,0
msmarco-passage-trec-dl-2019,405717,,0
msmarco-passage-trec-dl-2019,443396,20,1
msmarco-passage-trec-dl-2019,451602,100,0
msmarco-passage-trec-dl-2019,47923,,0
msmarco-passage-trec-dl-2019,489204,50,0
msmarco-passage-trec-dl-2019,490595,,0
msmarco-passage-trec-dl-2019,527433,100,0
msmarco-passage-trec-dl-2019,573724,100,0
msmarco-passage-trec-dl-2019,833860,50,0
msmarco-passage-trec-dl-2019,855410,10,1
msmarco-passage-trec-dl-2019,87181,,0
msmarco-passage-trec-dl-2019,87452,100,0
msmarco-passage-trec-dl-2019,915593,,0
msmarco-passage-trec-dl-2019,962179,50,0
msmarco-passage-trec-dl-2020,1030303,100,0
msmarco-passage-trec-dl-2020,1037496,100,0
msmarco-passage-trec-dl-2020,1043135,100,0
msmarco-passage-trec-dl-2020,1051399,50,0
msmarco-passage-trec-dl-2020,1064670,50,0
msmarco-passage-trec-dl-2020,1071750,,0
msmarco-passage-trec-dl-2020,1105792,20,0
msmarco-passage-trec-dl-2020,1106979,100,0
msmarco-passage-trec-dl-2020,1108651,50,0
msmarco-passage-trec-dl-2020,1109707,100,0
msmarco-passage-trec-dl-2020,1110678,50,0
msmarco-passage-trec-dl-2020,1113256,100,0
msmarco-passage-trec-dl-2020,1115210,50,0
msmarco-passage-trec-dl-2020,1116380,20,0
msmarco-passage-trec-dl-2020,1121353,50,0
msmarco-passage-trec-dl-2020,1122767,50,0
msmarco-passage-trec-dl-2020,1127540,50,0
msmarco-passage-trec-dl-2020,1131069,100,0
msmarco-passage-trec-dl-2020,1132532,50,0
msmarco-passage-trec-dl-2020,1133579,100,0
msmarco-passage-trec-dl-2020,1136043,50,0
msmarco-passage-trec-dl-2020,1136047,100,0
msmarco-passage-trec-dl-2020,1136962,100,0
msmarco-passage-trec-dl-2020,118440,50,0
msmarco-passage-trec-dl-2020,121171,100,0
msmarco-passage-trec-dl-2020,135802,20,0
msmarco-passage-trec-dl-2020,141630,100,0
msmarco-passage-trec-dl-2020,156498,50,0
msmarco-passage-trec-dl-2020,169208,100,0
msmarco-passage-trec-dl-2020,174463,20,0
msmarco-passage-trec-dl-2020,23849,20,0
msmarco-passage-trec-dl-2020,258062,50,0
msmarco-passage-trec-dl-2020,324585,20,0
msmarco-passage-trec-dl-2020,330975,100,0
msmarco-passage-trec-dl-2020,332593,100,0
msmarco-passage-trec-dl-2020,336901,50,0
msmarco-passage-trec-dl-2020,390360,50,0
msmarco-passage-trec-dl-2020,405163,20,0
msmarco-passage-trec-dl-2020,42255,,0
msmarco-passage-trec-dl-2020,47210,100,0
msmarco-passage-trec-dl-2020,555530,100,0
msmarco-passage-trec-dl-2020,583468,,0
msmarco-passage-trec-dl-2020,640502,50,0
msmarco-passage-trec-dl-2020,67316,100,0
msmarco-passage-trec-dl-2020,673670,100,0
msmarco-passage-trec-dl-2020,701453,50,0
msmarco-passage-trec-dl-2020,730539,50,0
msmarco-passage-trec-dl-2020,768208,20,0
msmarco-passage-trec-dl-2020,877809,100,0
msmarco-passage-trec-dl-2020,911232,50,0
msmarco-passage-trec-dl-2020,914916,50,0
msmarco-passage-trec-dl-2020,938400,100,0
msmarco-passage-trec-dl-2020,940547,50,0
msmarco-passage-trec-dl-2020,997622,50,0
