dataset,policy,n,auc,delta_auc,wins,ties,losses,k100,k20,certificate_calls,replay_seconds,schedule_seconds
msmarco-passage-trec-dl-2019,balanced64,20,0.2829375,-0.012062500000000004,0,4,16,45.55,18.4,30,0.004930706194136292,9.543861960992216e-06
msmarco-passage-trec-dl-2019,blocker64,20,0.295,0.0,0,20,0,48.1,18.4,29.5,0.004866556276101619,2.6814755983650684e-05
msmarco-passage-trec-dl-2019,pressure64,20,0.295,0.0,0,20,0,48.1,18.4,29.5,0.042423664906527846,0.037218293733894826
msmarco-passage-trec-dl-2019,unit,20,0.304875,0.009874999999999986,19,1,0,48.15,18.45,1816.95,0.28901458558393645,0.0010463113081641494
msmarco-passage-trec-dl-2019,handoff64,20,0.30424999999999996,0.009249999999999986,19,1,0,48.15,18.45,767.85,0.13152956460835413,0.017784847359871493
msmarco-passage-trec-dl-2019,handoff,20,0.2891875,-0.005812500000000005,3,0,17,48.1,18.45,660.65,0.11660172709380276,0.016793422470800578
msmarco-passage-trec-dl-2019,certificate-event,20,0.2845,-0.010500000000000006,1,0,19,47.95,18.4,42.1,0.007689850404858589,0.0006118267541751265
msmarco-passage-trec-dl-2020,balanced64,20,0.2230625,-0.0095625,0,5,15,34.2,18.8,33,0.005375124799320475,9.750697063282133e-06
msmarco-passage-trec-dl-2020,blocker64,20,0.232625,0.0,0,20,0,37.75,18.8,32.85,0.005440550128696486,2.8294377261772752e-05
msmarco-passage-trec-dl-2020,pressure64,20,0.2325,-0.0001250000000000001,0,19,1,37.75,18.8,32.85,0.046548737707780674,0.040712893573800105
msmarco-passage-trec-dl-2020,unit,20,0.2375625,0.004937499999999996,15,5,0,37.8,18.8,2036.15,0.3245276435802225,0.001171280042035505
msmarco-passage-trec-dl-2020,handoff64,20,0.237125,0.0045,12,8,0,37.8,18.8,895.75,0.1608016226964537,0.020903128600912167
msmarco-passage-trec-dl-2020,handoff,20,0.223,-0.009625000000000005,3,1,16,37.8,18.8,758,0.14099069164949468,0.019501164689427242
msmarco-passage-trec-dl-2020,certificate-event,20,0.2215,-0.011125000000000001,0,2,18,37.7,18.75,37.4,0.006312389706727118,0.0004919313709251582
nfcorpus,balanced64,20,0.43474999999999997,-0.005437499999999998,0,13,7,60.5,19.1,26.15,0.003999022411881015,8.608360076323152e-06
nfcorpus,blocker64,20,0.4401875,0.0,0,20,0,62.55,19.1,26.25,0.004071879491675645,2.0185171160846947e-05
nfcorpus,pressure64,20,0.4401875,0.0,0,20,0,62.55,19.1,26.25,0.009553666604915634,0.00544892480247654
nfcorpus,unit,20,0.4419375,0.0017500000000000003,6,14,0,62.55,19.1,1552,0.2338491458503995,0.0007460754655767232
nfcorpus,handoff64,20,0.44156249999999997,0.001375,6,14,0,62.55,19.1,249.9,0.041490787279326466,0.004907994298264384
nfcorpus,handoff,20,0.4321875,-0.008000000000000004,0,9,11,62.55,19.1,175.8,0.030887385184178127,0.00391130693606101
nfcorpus,certificate-event,20,0.4305625,-0.009624999999999998,0,9,11,61.35,19.1,35.1,0.0052939376386348155,0.00036030175979249177
scifact,balanced64,20,0.2700625,-0.012312500000000002,0,6,14,44.85,18.95,32.65,0.005646439484553412,9.961053729057312e-06
scifact,blocker64,20,0.282375,0.0,0,20,0,49.2,19,32.45,0.005685772834112868,2.7537444839254022e-05
scifact,pressure64,20,0.2823125,-6.249999999999936e-05,0,19,1,49.15,18.95,32.4,0.0341971670743078,0.02813160213408992
scifact,unit,20,0.289,0.006624999999999997,16,4,0,49.25,19,2005.35,0.33660411443561317,0.0011431213410105557
scifact,handoff64,20,0.288375,0.005999999999999998,15,5,0,49.25,19,874.1,0.1554686103540007,0.019781128235626964
scifact,handoff,20,0.2724375,-0.009937500000000004,1,1,18,49.25,19,759.35,0.14065341036184692,0.019122956256614997
scifact,certificate-event,20,0.2670625,-0.015312500000000003,0,0,20,46.55,18.9,45.7,0.008232374995714054,0.0006096078315749765
trec-covid,balanced64,20,0.1633125,-0.01475000000000001,0,9,11,28.4,15.3,33,0.004975435312371701,1.021518255583942e-05
trec-covid,blocker64,20,0.1780625,0.0,0,20,0,35.1,15.5,33,0.005123693629866466,2.818325301632285e-05
trec-covid,pressure64,20,0.178,-6.250000000000006e-05,0,19,1,35.05,15.45,33,0.03536228126031347,0.029945793916704135
trec-covid,unit,20,0.181125,0.0030624999999999984,8,12,0,35.15,15.5,2039.15,0.30192739170743155,0.001171850797254592
trec-covid,handoff64,20,0.17975,0.0016874999999999959,8,11,1,34.75,15.5,1005.65,0.16068436054047197,0.023194000410148873
trec-covid,handoff,20,0.1705625,-0.0075000000000000015,1,0,19,34.2,15.5,907.85,0.14940622932626865,0.023163492215098815
trec-covid,certificate-event,20,0.1674375,-0.010625000000000002,1,0,19,33.6,15.35,38.45,0.006119970616418868,0.00045760054490529
