dataset,query_id,policy,budget,reads,dense,sparse,k100,k20,certificate_calls,replay_seconds,schedule_seconds
msmarco-passage-trec-dl-2019,490595,certificate-event,128,128,1,127,0,0,3,0.0011990839848294854,0.0008992510847747326
msmarco-passage-trec-dl-2019,490595,certificate-event,256,256,113,143,39,20,24,0.004801667993888259,0.0011671677930280566
msmarco-passage-trec-dl-2019,490595,certificate-event,512,512,212,300,58,20,47,0.009622126002795994,0.001500999554991722
msmarco-passage-trec-dl-2019,490595,certificate-event,1024,1024,573,451,72,20,61,0.013029000954702497,0.0017050834139809012
msmarco-passage-trec-dl-2019,490595,certificate-event,2048,1103,652,451,100,20,64,0.013865793007425964,0.0017587904585525393
msmarco-passage-trec-dl-2019,490595,balanced64,128,128,64,64,17,17,3,0.00017424998804926872,1.5830155462026596e-06
msmarco-passage-trec-dl-2019,490595,balanced64,256,256,128,128,30,20,5,0.00047204201109707355,2.2490276023745537e-06
msmarco-passage-trec-dl-2019,490595,balanced64,512,512,256,256,54,20,9,0.0012302499962970614,3.4159747883677483e-06
msmarco-passage-trec-dl-2019,490595,balanced64,1024,1024,512,512,71,20,17,0.003014999907463789,5.584908649325371e-06
msmarco-passage-trec-dl-2019,490595,balanced64,2048,1216,640,576,100,20,20,0.0037646659184247255,6.37606717646122e-06
msmarco-passage-trec-dl-2019,490595,blocker64,128,128,64,64,17,17,3,0.00017904199194163084,7.541966624557972e-06
msmarco-passage-trec-dl-2019,490595,blocker64,256,256,128,128,30,20,5,0.0004923340165987611,9.124982170760632e-06
msmarco-passage-trec-dl-2019,490595,blocker64,512,512,256,256,54,20,9,0.001288584084250033,1.1291936971247196e-05
msmarco-passage-trec-dl-2019,490595,blocker64,1024,1024,640,384,100,20,17,0.003134584054350853,1.6291975043714046e-05
msmarco-passage-trec-dl-2019,490595,blocker64,2048,1024,640,384,100,20,17,0.0031347930198535323,1.6291975043714046e-05
msmarco-passage-trec-dl-2019,490595,pressure64,128,128,64,64,17,17,3,0.00020695803686976433,4.054198507219553e-05
msmarco-passage-trec-dl-2019,490595,pressure64,256,256,128,128,30,20,5,0.002733374945819378,0.002199457958340645
msmarco-passage-trec-dl-2019,490595,pressure64,512,512,256,256,54,20,9,0.012272374937310815,0.010792291024699807
msmarco-passage-trec-dl-2019,490595,pressure64,1024,1024,640,384,100,20,17,0.04024212493095547,0.0365688739111647
msmarco-passage-trec-dl-2019,490595,pressure64,2048,1024,640,384,100,20,17,0.04024241701699793,0.0365688739111647
msmarco-passage-trec-dl-2019,490595,unit,128,128,52,76,22,20,129,0.009225917048752308,7.620942778885365e-05
msmarco-passage-trec-dl-2019,490595,unit,256,256,114,142,39,20,257,0.029089501011185348,0.0001568417064845562
msmarco-passage-trec-dl-2019,490595,unit,512,512,199,313,58,20,513,0.07772066700272262,0.0003101821057498455
msmarco-passage-trec-dl-2019,490595,unit,1024,1003,635,368,100,20,1004,0.18709158396814018,0.0005995584651827812
msmarco-passage-trec-dl-2019,490595,unit,2048,1003,635,368,100,20,1004,0.18709187500644475,0.0005995584651827812
msmarco-passage-trec-dl-2019,490595,handoff64,128,128,64,64,17,17,5,0.00036570802330970764,6.88750296831131e-05
msmarco-passage-trec-dl-2019,490595,handoff64,256,256,113,143,39,20,77,0.012857082998380065,0.0016575413756072521
msmarco-passage-trec-dl-2019,490595,handoff64,512,512,199,313,58,20,165,0.031947582960128784,0.0037710428005084395
msmarco-passage-trec-dl-2019,490595,handoff64,1024,1021,652,369,100,20,219,0.044974290882237256,0.005102375638671219
msmarco-passage-trec-dl-2019,490595,handoff64,2048,1021,652,369,100,20,219,0.04497454082593322,0.005102375638671219
msmarco-passage-trec-dl-2019,490595,handoff,128,128,1,127,0,0,3,0.0002592499367892742,2.162496093660593e-05
msmarco-passage-trec-dl-2019,490595,handoff,256,256,113,143,39,20,37,0.006446583895012736,0.000798080931417644
msmarco-passage-trec-dl-2019,490595,handoff,512,512,199,313,58,20,125,0.025350708863697946,0.002983620041050017
msmarco-passage-trec-dl-2019,490595,handoff,1024,1021,652,369,100,20,178,0.0383955838624388,0.004422995843924582
msmarco-passage-trec-dl-2019,490595,handoff,2048,1021,652,369,100,20,178,0.038395874900743365,0.004422995843924582
msmarco-passage-trec-dl-2019,855410,handoff64,128,128,64,64,5,5,6,0.0005984170129522681,0.00011604290921241045
msmarco-passage-trec-dl-2019,855410,handoff64,256,256,128,128,5,5,98,0.012320208945311606,0.0021529195364564657
msmarco-passage-trec-dl-2019,855410,handoff64,512,512,256,256,5,5,285,0.03613454196602106,0.006255998625420034
msmarco-passage-trec-dl-2019,855410,handoff64,1024,1024,512,512,5,5,674,0.08806824986822903,0.014914834639057517
msmarco-passage-trec-dl-2019,855410,handoff64,2048,2048,1024,1024,5,5,1426,0.19060141686350107,0.031720523023977876
msmarco-passage-trec-dl-2019,855410,handoff,128,128,1,127,0,0,3,0.0001479580532759428,2.054101787507534e-05
msmarco-passage-trec-dl-2019,855410,handoff,256,256,128,128,5,5,7,0.0006649160059168935,9.849993512034416e-05
msmarco-passage-trec-dl-2019,855410,handoff,512,512,256,256,5,5,194,0.024331041029654443,0.0043386355973780155
msmarco-passage-trec-dl-2019,855410,handoff,1024,1024,512,512,5,5,583,0.07590566610451788,0.013553681434132159
msmarco-passage-trec-dl-2019,855410,handoff,2048,2048,1024,1024,5,5,1335,0.17999454110395163,0.032344866544008255
msmarco-passage-trec-dl-2019,855410,certificate-event,128,128,1,127,0,0,3,0.000144458026625216,1.8331920728087425e-05
msmarco-passage-trec-dl-2019,855410,certificate-event,256,256,129,127,5,5,5,0.00036708300467580557,3.924791235476732e-05
msmarco-passage-trec-dl-2019,855410,certificate-event,512,512,129,383,5,5,6,0.00048112496733665466,4.5705935917794704e-05
msmarco-passage-trec-dl-2019,855410,certificate-event,1024,1024,641,383,5,5,7,0.000599791994318366,5.2413903176784515e-05
msmarco-passage-trec-dl-2019,855410,certificate-event,2048,2048,641,1407,5,5,8,0.00073441700078547,5.8622914366424084e-05
msmarco-passage-trec-dl-2019,855410,balanced64,128,128,64,64,5,5,3,0.00015329208690673113,1.625041477382183e-06
msmarco-passage-trec-dl-2019,855410,balanced64,256,256,128,128,5,5,5,0.0003462920431047678,2.458924427628517e-06
msmarco-passage-trec-dl-2019,855410,balanced64,512,512,256,256,5,5,9,0.0008033750345930457,3.7510180845856667e-06
msmarco-passage-trec-dl-2019,855410,balanced64,1024,1024,512,512,5,5,17,0.0016959999920800328,6.041955202817917e-06
msmarco-passage-trec-dl-2019,855410,balanced64,2048,2048,1024,1024,5,5,33,0.0035185409942641854,9.543495252728462e-06
msmarco-passage-trec-dl-2019,855410,blocker64,128,128,64,64,5,5,3,0.00017245800700038671,6.498885340988636e-06
msmarco-passage-trec-dl-2019,855410,blocker64,256,256,128,128,5,5,5,0.00037650007288903,8.081784471869469e-06
msmarco-passage-trec-dl-2019,855410,blocker64,512,512,256,256,5,5,9,0.0007881670026108623,1.037493348121643e-05
msmarco-passage-trec-dl-2019,855410,blocker64,1024,1024,512,512,5,5,17,0.0017437509959563613,1.5373690985143185e-05
msmarco-passage-trec-dl-2019,855410,blocker64,2048,2048,1024,1024,5,5,33,0.0035487510031089187,2.6040710508823395e-05
msmarco-passage-trec-dl-2019,855410,pressure64,128,128,64,64,5,5,3,0.0002395829651504755,4.987395368516445e-05
msmarco-passage-trec-dl-2019,855410,pressure64,256,256,128,128,5,5,5,0.0009741670219227672,0.0005752069409936666
msmarco-passage-trec-dl-2019,855410,pressure64,512,512,256,256,5,5,9,0.0025473340647295117,0.0016793739050626755
msmarco-passage-trec-dl-2019,855410,pressure64,1024,1024,512,512,5,5,17,0.0055558341555297375,0.0038242898881435394
msmarco-passage-trec-dl-2019,855410,pressure64,2048,2048,1088,960,5,5,33,0.011768417083658278,0.008178665768355131
msmarco-passage-trec-dl-2019,855410,unit,128,128,64,64,5,5,129,0.009792375029064715,8.858542423695326e-05
msmarco-passage-trec-dl-2019,855410,unit,256,256,128,128,5,5,257,0.022837292053736746,0.00015613308642059565
msmarco-passage-trec-dl-2019,855410,unit,512,512,256,256,5,5,513,0.049949625972658396,0.0003084730124101043
msmarco-passage-trec-dl-2019,855410,unit,1024,1024,512,512,5,5,1025,0.1053577089915052,0.0005714013241231441
msmarco-passage-trec-dl-2019,855410,unit,2048,2048,1024,1024,5,5,2049,0.22203620907384902,0.0011334100272506475
msmarco-passage-trec-dl-2019,264014,handoff64,128,128,64,64,9,9,8,0.00088900001719594,0.00015299918595701456
msmarco-passage-trec-dl-2019,264014,handoff64,256,256,140,116,26,20,101,0.015130750020034611,0.0022835012059658766
msmarco-passage-trec-dl-2019,264014,handoff64,512,512,271,241,40,20,254,0.04380062501877546,0.005854915361851454
msmarco-passage-trec-dl-2019,264014,handoff64,1024,1024,759,265,60,20,274,0.048431291943416,0.006339040235616267
msmarco-passage-trec-dl-2019,264014,handoff64,2048,2048,1707,341,66,20,427,0.08745783299673349,0.010159245925024152
msmarco-passage-trec-dl-2019,264014,handoff,128,128,1,127,0,0,3,0.00019733398221433163,2.2542080841958523e-05
msmarco-passage-trec-dl-2019,264014,handoff,256,256,129,127,25,20,20,0.0028726679738610983,0.00039883400313556194
msmarco-passage-trec-dl-2019,264014,handoff,512,512,271,241,40,20,155,0.02808225096669048,0.003683578805066645
msmarco-passage-trec-dl-2019,264014,handoff,1024,1024,759,265,60,20,173,0.032450834987685084,0.004177702823653817
msmarco-passage-trec-dl-2019,264014,handoff,2048,2048,1707,341,66,20,296,0.06442104396410286,0.0077034110436216
msmarco-passage-trec-dl-2019,264014,certificate-event,128,128,1,127,0,0,3,0.00015941704623401165,1.8666964024305344e-05
msmarco-passage-trec-dl-2019,264014,certificate-event,256,256,129,127,25,20,20,0.002480125054717064,0.00019808532670140266
msmarco-passage-trec-dl-2019,264014,certificate-event,512,512,254,258,40,20,41,0.0062235420336946845,0.0004697943804785609
msmarco-passage-trec-dl-2019,264014,certificate-event,1024,1024,766,258,60,20,56,0.009633501060307026,0.0007136274361982942
msmarco-passage-trec-dl-2019,264014,certificate-event,2048,2048,1734,314,66,20,63,0.011262001004070044,0.0008240435272455215
msmarco-passage-trec-dl-2019,264014,balanced64,128,128,64,64,9,9,3,0.00017975002992898226,2.2919848561286926e-06
msmarco-passage-trec-dl-2019,264014,balanced64,256,256,128,128,21,20,5,0.00045175000559538603,2.958928234875202e-06
msmarco-passage-trec-dl-2019,264014,balanced64,512,512,256,256,40,20,9,0.001149166957475245,4.125060513615608e-06
msmarco-passage-trec-dl-2019,264014,balanced64,1024,1024,512,512,56,20,17,0.002917167032137513,7.2910916060209274e-06
msmarco-passage-trec-dl-2019,264014,balanced64,2048,2048,1024,1024,64,20,33,0.006847291951999068,1.2958305887877941e-05
msmarco-passage-trec-dl-2019,264014,blocker64,128,128,64,64,9,9,3,0.00018874998204410076,8.584116585552692e-06
msmarco-passage-trec-dl-2019,264014,blocker64,256,256,128,128,21,20,5,0.00046729203313589096,1.0459101758897305e-05
msmarco-passage-trec-dl-2019,264014,blocker64,512,512,256,256,40,20,9,0.0011938340030610561,1.3044220395386219e-05
msmarco-passage-trec-dl-2019,264014,blocker64,1024,1024,768,256,60,20,17,0.0029365430818870664,1.8961145542562008e-05
msmarco-passage-trec-dl-2019,264014,blocker64,2048,2048,1664,384,66,20,33,0.006629084120504558,3.050314262509346e-05
msmarco-passage-trec-dl-2019,264014,pressure64,128,128,64,64,9,9,3,0.00024020893033593893,4.858395550400019e-05
msmarco-passage-trec-dl-2019,264014,pressure64,256,256,128,128,21,20,5,0.0014472499024122953,0.0009807499591261148
msmarco-passage-trec-dl-2019,264014,pressure64,512,512,256,256,40,20,9,0.007618291885592043,0.006445123814046383
msmarco-passage-trec-dl-2019,264014,pressure64,1024,1024,768,256,60,20,17,0.02891458384692669,0.025828414713032544
msmarco-passage-trec-dl-2019,264014,pressure64,2048,2048,1600,448,66,20,33,0.08086800086311996,0.07377375033684075
msmarco-passage-trec-dl-2019,264014,unit,128,128,70,58,9,9,129,0.009318417054601014,7.945543620735407e-05
msmarco-passage-trec-dl-2019,264014,unit,256,256,140,116,26,20,257,0.02561012504156679,0.0001566701103001833
msmarco-passage-trec-dl-2019,264014,unit,512,512,272,240,40,20,513,0.06839141703676432,0.0003063376061618328
msmarco-passage-trec-dl-2019,264014,unit,1024,1024,769,255,60,20,1025,0.172866209060885,0.0006338730454444885
msmarco-passage-trec-dl-2019,264014,unit,2048,2048,1707,341,66,20,2049,0.40532995911780745,0.0012857222463935614
msmarco-passage-trec-dl-2019,19335,handoff,128,128,1,127,0,0,3,0.00024516694247722626,3.591692075133324e-05
msmarco-passage-trec-dl-2019,19335,handoff,256,256,129,127,8,8,6,0.0006888329517096281,0.0001129580195993185
msmarco-passage-trec-dl-2019,19335,handoff,512,512,231,281,14,14,198,0.0299761249916628,0.004706041072495282
msmarco-passage-trec-dl-2019,19335,handoff,1024,1024,472,552,19,19,609,0.09877154091373086,0.014861586387269199
msmarco-passage-trec-dl-2019,19335,handoff,2048,2048,885,1163,21,20,1340,0.2324622489977628,0.03447272174526006
msmarco-passage-trec-dl-2019,19335,certificate-event,128,128,1,127,0,0,3,0.00015900004655122757,1.837499439716339e-05
msmarco-passage-trec-dl-2019,19335,certificate-event,256,256,129,127,8,8,6,0.0005210831295698881,5.150097422301769e-05
msmarco-passage-trec-dl-2019,19335,certificate-event,512,512,187,325,14,14,17,0.002101292135193944,0.00018912600353360176
msmarco-passage-trec-dl-2019,19335,certificate-event,1024,1024,471,553,19,19,27,0.00374820816796273,0.0003325421130284667
msmarco-passage-trec-dl-2019,19335,certificate-event,2048,2048,1136,912,21,20,31,0.0044840831542387605,0.0003878760617226362
msmarco-passage-trec-dl-2019,19335,balanced64,128,128,64,64,4,4,3,0.00014995806850492954,2.1659070625901222e-06
msmarco-passage-trec-dl-2019,19335,balanced64,256,256,128,128,8,8,5,0.0003535830182954669,2.8739450499415398e-06
msmarco-passage-trec-dl-2019,19335,balanced64,512,512,256,256,14,14,9,0.0008639991283416748,3.958120942115784e-06
msmarco-passage-trec-dl-2019,19335,balanced64,1024,1024,512,512,18,18,17,0.0021177910966798663,6.663030944764614e-06
msmarco-passage-trec-dl-2019,19335,balanced64,2048,2048,1024,1024,21,20,33,0.00482199911493808,1.1078780516982079e-05
msmarco-passage-trec-dl-2019,19335,blocker64,128,128,64,64,4,4,3,0.00017087499145418406,7.707974873483181e-06
msmarco-passage-trec-dl-2019,19335,blocker64,256,256,128,128,8,8,5,0.0004045000532642007,9.29099041968584e-06
msmarco-passage-trec-dl-2019,19335,blocker64,512,512,256,256,14,14,9,0.0009552499977871776,1.187401358038187e-05
msmarco-passage-trec-dl-2019,19335,blocker64,1024,1024,448,576,18,18,17,0.0022500839550048113,1.7456128261983395e-05
msmarco-passage-trec-dl-2019,19335,blocker64,2048,2048,896,1152,21,20,33,0.005006251041777432,2.912222407758236e-05
msmarco-passage-trec-dl-2019,19335,pressure64,128,128,64,64,4,4,3,0.00020779098849743605,3.904104232788086e-05
msmarco-passage-trec-dl-2019,19335,pressure64,256,256,128,128,8,8,5,0.0009554580319672823,0.0005529159680008888
msmarco-passage-trec-dl-2019,19335,pressure64,512,512,256,256,14,14,9,0.00346024997998029,0.002516208100132644
msmarco-passage-trec-dl-2019,19335,pressure64,1024,1024,512,512,18,18,17,0.010918832966126502,0.008638333878479898
msmarco-passage-trec-dl-2019,19335,pressure64,2048,2048,960,1088,21,20,33,0.028056124923750758,0.022982832975685596
msmarco-passage-trec-dl-2019,19335,unit,128,128,67,61,5,5,129,0.009013791917823255,7.255282253026962e-05
msmarco-passage-trec-dl-2019,19335,unit,256,256,133,123,8,8,257,0.022878124960698187,0.00014542415738105774
msmarco-passage-trec-dl-2019,19335,unit,512,512,231,281,14,14,513,0.05423583299852908,0.0002832596655935049
msmarco-passage-trec-dl-2019,19335,unit,1024,1024,472,552,19,19,1025,0.12747666600625962,0.0005870580207556486
msmarco-passage-trec-dl-2019,19335,unit,2048,2048,885,1163,21,20,2049,0.28719508298672736,0.0011559604899957776
msmarco-passage-trec-dl-2019,19335,handoff64,128,128,64,64,4,4,6,0.00048345804680138826,9.587593376636505e-05
msmarco-passage-trec-dl-2019,19335,handoff64,256,256,133,123,8,8,119,0.015232166973873973,0.002517501008696854
msmarco-passage-trec-dl-2019,19335,handoff64,512,512,231,281,14,14,318,0.04404025000985712,0.006911118631251156
msmarco-passage-trec-dl-2019,19335,handoff64,1024,1024,472,552,19,19,729,0.11262087500654161,0.016515618888661265
msmarco-passage-trec-dl-2019,19335,handoff64,2048,2048,885,1163,21,20,1461,0.24398920801468194,0.03425533138215542
msmarco-passage-trec-dl-2019,1133167,certificate-event,128,128,1,127,0,0,3,0.00016029109247028828,1.7832964658737183e-05
msmarco-passage-trec-dl-2019,1133167,certificate-event,256,256,129,127,11,11,14,0.001584041048772633,0.00013641593977808952
msmarco-passage-trec-dl-2019,1133167,certificate-event,512,512,258,254,26,20,33,0.004613500088453293,0.00037858285941183567
msmarco-passage-trec-dl-2019,1133167,certificate-event,1024,1024,354,670,39,20,48,0.007504875073209405,0.0006069138180464506
msmarco-passage-trec-dl-2019,1133167,certificate-event,2048,2048,866,1182,81,20,80,0.015417209011502564,0.0011101649142801762
