dataset,policy,n,auc,delta_auc,wins,ties,losses,k100,k20,certificate_calls,replay_seconds,schedule_seconds
msmarco-passage-trec-dl-2019,balanced64,2,0.18875,0.0,0,2,0,29.5,12.5,9,0.0010793964029289782,4.770641680806875e-06
msmarco-passage-trec-dl-2019,blocker64,2,0.18875,0.0,0,2,0,29.5,12.5,9,0.0011000210070051253,1.3812852557748556e-05
msmarco-passage-trec-dl-2019,pressure64,2,0.18875,0.0,0,2,0,29.5,12.5,9,0.007046811922919005,0.005969228921458125
msmarco-passage-trec-dl-2019,unit,2,0.2225,0.03375,1,1,0,31.5,12.5,513,0.06357708346331492,0.0002960903802886605
msmarco-passage-trec-dl-2019,handoff64,2,0.21625,0.027499999999999997,1,1,0,31.5,12.5,225,0.2277274580555968,0.1962599961552769
msmarco-passage-trec-dl-2019,handoff,2,0.18874999999999997,-2.0816681711721685e-17,1,0,1,31.5,12.5,159.5,0.18155702104559168,0.15840208844747394
msmarco-passage-trec-dl-2019,certificate-event,2,0.18874999999999997,-2.0816681711721685e-17,1,0,1,31.5,12.5,26.5,0.04718743689591065,0.041867516993079334
msmarco-passage-trec-dl-2020,balanced64,2,0.08625000000000001,0.0,0,2,0,16,15,9,0.0008801045478321612,3.3336691558361053e-06
msmarco-passage-trec-dl-2020,blocker64,2,0.08625000000000001,0.0,0,2,0,16,15,9,0.0009626249666325748,1.4520541299134493e-05
msmarco-passage-trec-dl-2020,pressure64,2,0.08625000000000001,0.0,0,2,0,16,15,9,0.0029606259777210653,0.0021129377419129014
msmarco-passage-trec-dl-2020,unit,2,0.08625000000000001,0.0,0,2,0,16,15,513,0.05456431151833385,0.0003000074648298323
msmarco-passage-trec-dl-2020,handoff64,2,0.08625000000000001,0.0,0,2,0,16,15,252.5,0.13780733296880499,0.10708264232380316
msmarco-passage-trec-dl-2020,handoff,2,0.07625,-0.010000000000000009,0,0,2,16,15,148.5,0.09743083250941709,0.07794505852507427
msmarco-passage-trec-dl-2020,certificate-event,2,0.075,-0.01125000000000001,0,0,2,15.5,14.5,14.5,0.006706478481646627,0.005014375026803464
nfcorpus,balanced64,2,0.55875,0.0,0,2,0,58.5,18.5,6.5,0.0006414796225726604,2.5004264898598194e-06
nfcorpus,blocker64,2,0.55875,0.0,0,2,0,58.5,18.5,6.5,0.0006551669212058187,1.06250518001616e-05
nfcorpus,pressure64,2,0.55875,0.0,0,2,0,58.5,18.5,6.5,0.001450519950594753,0.0008244164637289941
nfcorpus,unit,2,0.56,0.0012500000000000011,1,1,0,59,19,308,0.03127900045365095,0.00017360964557155967
nfcorpus,handoff64,2,0.56,0.0012500000000000011,1,1,0,59,19,190,0.07283452100818977,0.05000387516338378
nfcorpus,handoff,2,0.55125,-0.007500000000000007,0,1,1,59,19,107,0.049271541472990066,0.03581691667204723
nfcorpus,certificate-event,2,0.55125,-0.007500000000000007,0,1,1,59,19,11,0.003473103977739811,0.002250918128993362
scifact,balanced64,2,0.2325,0.0,0,2,0,33.5,20,9,0.0010572915198281407,3.061664756387472e-06
scifact,blocker64,2,0.2325,0.0,0,2,0,33.5,20,9,0.0010911034769378603,1.1665630154311657e-05
scifact,pressure64,2,0.2325,0.0,0,2,0,33.5,20,9,0.005201562482398003,0.004043980210553855
scifact,unit,2,0.245,0.012499999999999983,1,1,0,34.5,20,513,0.06360143749043345,0.00029102934058755636
scifact,handoff64,2,0.245,0.012499999999999983,1,1,0,34.5,20,307.5,0.26916447846451774,0.223172478901688
scifact,handoff,2,0.20750000000000002,-0.02500000000000001,0,0,2,34.5,20,213,0.2101562706520781,0.1759744141018018
scifact,certificate-event,2,0.2,-0.0325,0,0,2,34.5,20,34,0.02858916751574725,0.02344439539592713
trec-covid,balanced64,2,0.04,0.0,0,2,0,6,6,9,0.0008254790445789695,2.980057615786791e-06
trec-covid,blocker64,2,0.04,0.0,0,2,0,6,6,9,0.0008033124613575637,1.166702713817358e-05
trec-covid,pressure64,2,0.04,0.0,0,2,0,6,6,9,0.0020841245423071086,0.0012563333730213344
trec-covid,unit,2,0.04,0.0,0,2,0,6,6,513,0.04933666600845754,0.00027535739354789257
trec-covid,handoff64,2,0.04,0.0,0,2,0,6,6,260,0.08862160396529362,0.06060697912471369
trec-covid,handoff,2,0.0325,-0.007499999999999996,0,0,2,6,6,177.5,0.06499639485264197,0.04557668464258313
trec-covid,certificate-event,2,0.0325,-0.007499999999999996,0,0,2,6,6,32,0.005338833492714912,0.0022823542822152376
