dataset,query_id,policy,budget,reads,dense,sparse,k100,k20,certificate_calls,replay_seconds,schedule_seconds
msmarco-passage-trec-dl-2019,490595,certificate-event,128,128,1,127,0,0,3,0.000875915982760489,5.9793004766106606e-05
msmarco-passage-trec-dl-2019,490595,certificate-event,256,256,113,143,39,20,24,0.0338158318772912,0.02904853888321668
msmarco-passage-trec-dl-2019,490595,certificate-event,512,512,212,300,58,20,47,0.09341195691376925,0.08321820199489594
msmarco-passage-trec-dl-2019,490595,balanced64,128,128,64,64,17,17,3,0.00018058402929455042,2.4170149117708206e-06
msmarco-passage-trec-dl-2019,490595,balanced64,256,256,128,128,30,20,5,0.0004823339404538274,3.1670788303017616e-06
msmarco-passage-trec-dl-2019,490595,balanced64,512,512,256,256,54,20,9,0.00126279192045331,4.249159246683121e-06
msmarco-passage-trec-dl-2019,490595,blocker64,128,128,64,64,17,17,3,0.00017562496941536665,8.541974239051342e-06
msmarco-passage-trec-dl-2019,490595,blocker64,256,256,128,128,30,20,5,0.0005660409806296229,1.1457945220172405e-05
msmarco-passage-trec-dl-2019,490595,blocker64,512,512,256,256,54,20,9,0.0014017909998074174,1.5374855138361454e-05
msmarco-passage-trec-dl-2019,490595,pressure64,128,128,64,64,17,17,3,0.00022154091857373714,4.833401180803776e-05
msmarco-passage-trec-dl-2019,490595,pressure64,256,256,128,128,30,20,5,0.0025372488889843225,0.002047626068815589
msmarco-passage-trec-dl-2019,490595,pressure64,512,512,256,256,54,20,9,0.011633165879175067,0.010252250940538943
msmarco-passage-trec-dl-2019,490595,unit,128,128,52,76,22,20,129,0.009613582980819046,9.741680696606636e-05
msmarco-passage-trec-dl-2019,490595,unit,256,256,114,142,39,20,257,0.02882462495472282,0.00016608298756182194
msmarco-passage-trec-dl-2019,490595,unit,512,512,199,313,58,20,513,0.07805704197380692,0.00031354359816759825
msmarco-passage-trec-dl-2019,490595,handoff64,128,128,64,64,17,17,5,0.0004772080574184656,0.00018941692542284727
msmarco-passage-trec-dl-2019,490595,handoff64,256,256,113,143,39,20,77,0.11319883307442069,0.10085591464303434
msmarco-passage-trec-dl-2019,490595,handoff64,512,512,199,313,58,20,165,0.3431855001254007,0.31199787685181946
msmarco-passage-trec-dl-2019,490595,handoff,128,128,1,127,0,0,3,0.00020395906176418066,3.250001464039087e-05
msmarco-passage-trec-dl-2019,490595,handoff,256,256,113,143,39,20,37,0.05608383403159678,0.04996499896515161
msmarco-passage-trec-dl-2019,490595,handoff,512,512,199,313,58,20,125,0.28768100100569427,0.26249542413279414
msmarco-passage-trec-dl-2019,855410,handoff64,128,128,64,64,5,5,6,0.0011543749133124948,0.0006635407917201519
msmarco-passage-trec-dl-2019,855410,handoff64,256,256,128,128,5,5,98,0.036964124999940395,0.02636978926602751
