dataset,query_id,dense_to_sparse_cost_ratio,dense_cost_share,base_budget,target_cost,charged_cost,dense_depth,sparse_depth,certified_k_cap100
msmarco-passage-trec-dl-2019,156493,1.0,0.05,128,128.0,127.0,6,121,1
msmarco-passage-trec-dl-2019,156493,1.0,0.05,256,256.0,255.0,12,243,1
msmarco-passage-trec-dl-2019,156493,1.0,0.05,512,512.0,511.0,25,486,5
msmarco-passage-trec-dl-2019,156493,1.0,0.05,1024,1024.0,1023.0,51,972,18
msmarco-passage-trec-dl-2019,156493,1.0,0.05,2048,2048.0,2047.0,102,1945,27
msmarco-passage-trec-dl-2019,156493,1.0,0.05,4096,4096.0,4095.0,204,3891,60
msmarco-passage-trec-dl-2019,156493,1.0,0.05,8192,8192.0,8192.0,3192,5000,100
msmarco-passage-trec-dl-2019,156493,1.0,0.05,10000,10000.0,10000.0,5000,5000,100
msmarco-passage-trec-dl-2019,156493,1.0,0.1,128,128.0,127.0,12,115,1
msmarco-passage-trec-dl-2019,156493,1.0,0.1,256,256.0,255.0,25,230,5
msmarco-passage-trec-dl-2019,156493,1.0,0.1,512,512.0,511.0,51,460,18
msmarco-passage-trec-dl-2019,156493,1.0,0.1,1024,1024.0,1023.0,102,921,27
msmarco-passage-trec-dl-2019,156493,1.0,0.1,2048,2048.0,2047.0,204,1843,60
msmarco-passage-trec-dl-2019,156493,1.0,0.1,4096,4096.0,4095.0,409,3686,69
msmarco-passage-trec-dl-2019,156493,1.0,0.1,8192,8192.0,8192.0,3192,5000,100
msmarco-passage-trec-dl-2019,156493,1.0,0.1,10000,10000.0,10000.0,5000,5000,100
msmarco-passage-trec-dl-2019,156493,1.0,0.15,128,128.0,127.0,19,108,4
msmarco-passage-trec-dl-2019,156493,1.0,0.15,256,256.0,255.0,38,217,13
msmarco-passage-trec-dl-2019,156493,1.0,0.15,512,512.0,511.0,76,435,18
msmarco-passage-trec-dl-2019,156493,1.0,0.15,1024,1024.0,1023.0,153,870,56
msmarco-passage-trec-dl-2019,156493,1.0,0.15,2048,2048.0,2047.0,307,1740,66
msmarco-passage-trec-dl-2019,156493,1.0,0.15,4096,4096.0,4095.0,614,3481,76
msmarco-passage-trec-dl-2019,156493,1.0,0.15,8192,8192.0,8192.0,3192,5000,100
msmarco-passage-trec-dl-2019,156493,1.0,0.15,10000,10000.0,10000.0,5000,5000,100
msmarco-passage-trec-dl-2019,156493,1.0,0.2,128,128.0,127.0,25,102,5
msmarco-passage-trec-dl-2019,156493,1.0,0.2,256,256.0,255.0,51,204,18
msmarco-passage-trec-dl-2019,156493,1.0,0.2,512,512.0,511.0,102,409,27
msmarco-passage-trec-dl-2019,156493,1.0,0.2,1024,1024.0,1023.0,204,819,60
msmarco-passage-trec-dl-2019,156493,1.0,0.2,2048,2048.0,2047.0,409,1638,69
msmarco-passage-trec-dl-2019,156493,1.0,0.2,4096,4096.0,4095.0,819,3276,100
msmarco-passage-trec-dl-2019,156493,1.0,0.2,8192,8192.0,8192.0,3192,5000,100
msmarco-passage-trec-dl-2019,156493,1.0,0.2,10000,10000.0,10000.0,5000,5000,100
msmarco-passage-trec-dl-2019,156493,1.0,0.25,128,128.0,128.0,32,96,10
msmarco-passage-trec-dl-2019,156493,1.0,0.25,256,256.0,256.0,64,192,18
msmarco-passage-trec-dl-2019,156493,1.0,0.25,512,512.0,512.0,128,384,36
msmarco-passage-trec-dl-2019,156493,1.0,0.25,1024,1024.0,1024.0,256,768,63
msmarco-passage-trec-dl-2019,156493,1.0,0.25,2048,2048.0,2048.0,512,1536,74
msmarco-passage-trec-dl-2019,156493,1.0,0.25,4096,4096.0,4096.0,1024,3072,100
msmarco-passage-trec-dl-2019,156493,1.0,0.25,8192,8192.0,8192.0,3192,5000,100
msmarco-passage-trec-dl-2019,156493,1.0,0.25,10000,10000.0,10000.0,5000,5000,100
msmarco-passage-trec-dl-2019,156493,1.0,0.3,128,128.0,127.0,38,89,13
msmarco-passage-trec-dl-2019,156493,1.0,0.3,256,256.0,255.0,76,179,18
msmarco-passage-trec-dl-2019,156493,1.0,0.3,512,512.0,511.0,153,358,56
msmarco-passage-trec-dl-2019,156493,1.0,0.3,1024,1024.0,1023.0,307,716,66
msmarco-passage-trec-dl-2019,156493,1.0,0.3,2048,2048.0,2047.0,614,1433,76
msmarco-passage-trec-dl-2019,156493,1.0,0.3,4096,4096.0,4095.0,1228,2867,100
msmarco-passage-trec-dl-2019,156493,1.0,0.3,8192,8192.0,8192.0,3192,5000,100
msmarco-passage-trec-dl-2019,156493,1.0,0.3,10000,10000.0,10000.0,5000,5000,100
msmarco-passage-trec-dl-2019,156493,1.0,0.35,128,128.0,127.0,44,83,15
msmarco-passage-trec-dl-2019,156493,1.0,0.35,256,256.0,255.0,89,166,23
msmarco-passage-trec-dl-2019,156493,1.0,0.35,512,512.0,511.0,179,332,56
msmarco-passage-trec-dl-2019,156493,1.0,0.35,1024,1024.0,1023.0,358,665,68
msmarco-passage-trec-dl-2019,156493,1.0,0.35,2048,2048.0,2047.0,716,1331,89
msmarco-passage-trec-dl-2019,156493,1.0,0.35,4096,4096.0,4095.0,1433,2662,100
msmarco-passage-trec-dl-2019,156493,1.0,0.35,8192,8192.0,8192.0,3192,5000,100
msmarco-passage-trec-dl-2019,156493,1.0,0.35,10000,10000.0,10000.0,5000,5000,100
msmarco-passage-trec-dl-2019,156493,1.0,0.4,128,128.0,127.0,51,76,18
msmarco-passage-trec-dl-2019,156493,1.0,0.4,256,256.0,255.0,102,153,25
msmarco-passage-trec-dl-2019,156493,1.0,0.4,512,512.0,511.0,204,307,60
msmarco-passage-trec-dl-2019,156493,1.0,0.4,1024,1024.0,1023.0,409,614,69
msmarco-passage-trec-dl-2019,156493,1.0,0.4,2048,2048.0,2047.0,819,1228,100
msmarco-passage-trec-dl-2019,156493,1.0,0.4,4096,4096.0,4095.0,1638,2457,100
msmarco-passage-trec-dl-2019,156493,1.0,0.4,8192,8192.0,8191.0,3276,4915,100
msmarco-passage-trec-dl-2019,156493,1.0,0.4,10000,10000.0,10000.0,5000,5000,100
msmarco-passage-trec-dl-2019,156493,1.0,0.45,128,128.0,127.0,57,70,18
msmarco-passage-trec-dl-2019,156493,1.0,0.45,256,256.0,255.0,115,140,24
msmarco-passage-trec-dl-2019,156493,1.0,0.45,512,512.0,511.0,230,281,63
msmarco-passage-trec-dl-2019,156493,1.0,0.45,1024,1024.0,1023.0,460,563,70
msmarco-passage-trec-dl-2019,156493,1.0,0.45,2048,2048.0,2047.0,921,1126,100
msmarco-passage-trec-dl-2019,156493,1.0,0.45,4096,4096.0,4095.0,1843,2252,100
msmarco-passage-trec-dl-2019,156493,1.0,0.45,8192,8192.0,8191.0,3686,4505,100
msmarco-passage-trec-dl-2019,156493,1.0,0.45,10000,10000.0,10000.0,5000,5000,100
msmarco-passage-trec-dl-2019,156493,1.0,0.5,128,128.0,128.0,64,64,18
msmarco-passage-trec-dl-2019,156493,1.0,0.5,256,256.0,256.0,128,128,24
msmarco-passage-trec-dl-2019,156493,1.0,0.5,512,512.0,512.0,256,256,63
msmarco-passage-trec-dl-2019,156493,1.0,0.5,1024,1024.0,1024.0,512,512,74
msmarco-passage-trec-dl-2019,156493,1.0,0.5,2048,2048.0,2048.0,1024,1024,100
msmarco-passage-trec-dl-2019,156493,1.0,0.5,4096,4096.0,4096.0,2048,2048,100
msmarco-passage-trec-dl-2019,156493,1.0,0.5,8192,8192.0,8192.0,4096,4096,100
msmarco-passage-trec-dl-2019,156493,1.0,0.5,10000,10000.0,10000.0,5000,5000,100
msmarco-passage-trec-dl-2019,156493,1.0,0.55,128,128.0,127.0,70,57,16
msmarco-passage-trec-dl-2019,156493,1.0,0.55,256,256.0,255.0,140,115,23
msmarco-passage-trec-dl-2019,156493,1.0,0.55,512,512.0,511.0,281,230,66
msmarco-passage-trec-dl-2019,156493,1.0,0.55,1024,1024.0,1023.0,563,460,76
msmarco-passage-trec-dl-2019,156493,1.0,0.55,2048,2048.0,2047.0,1126,921,100
msmarco-passage-trec-dl-2019,156493,1.0,0.55,4096,4096.0,4095.0,2252,1843,100
msmarco-passage-trec-dl-2019,156493,1.0,0.55,8192,8192.0,8191.0,4505,3686,100
msmarco-passage-trec-dl-2019,156493,1.0,0.55,10000,10000.0,10000.0,5000,5000,100
msmarco-passage-trec-dl-2019,156493,1.0,0.6,128,128.0,127.0,76,51,15
msmarco-passage-trec-dl-2019,156493,1.0,0.6,256,256.0,255.0,153,102,21
msmarco-passage-trec-dl-2019,156493,1.0,0.6,512,512.0,511.0,307,204,66
msmarco-passage-trec-dl-2019,156493,1.0,0.6,1024,1024.0,1023.0,614,409,76
msmarco-passage-trec-dl-2019,156493,1.0,0.6,2048,2048.0,2047.0,1228,819,100
msmarco-passage-trec-dl-2019,156493,1.0,0.6,4096,4096.0,4095.0,2457,1638,100
msmarco-passage-trec-dl-2019,156493,1.0,0.6,8192,8192.0,8191.0,4915,3276,100
msmarco-passage-trec-dl-2019,156493,1.0,0.6,10000,10000.0,10000.0,5000,5000,100
msmarco-passage-trec-dl-2019,156493,1.0,0.65,128,128.0,127.0,83,44,14
msmarco-passage-trec-dl-2019,156493,1.0,0.65,256,256.0,255.0,166,89,18
msmarco-passage-trec-dl-2019,156493,1.0,0.65,512,512.0,511.0,332,179,36
msmarco-passage-trec-dl-2019,156493,1.0,0.65,1024,1024.0,1023.0,665,358,76
msmarco-passage-trec-dl-2019,156493,1.0,0.65,2048,2048.0,2047.0,1331,716,100
msmarco-passage-trec-dl-2019,156493,1.0,0.65,4096,4096.0,4095.0,2662,1433,100
msmarco-passage-trec-dl-2019,156493,1.0,0.65,8192,8192.0,8192.0,5000,3192,100
msmarco-passage-trec-dl-2019,156493,1.0,0.65,10000,10000.0,10000.0,5000,5000,100
msmarco-passage-trec-dl-2019,156493,1.0,0.7,128,128.0,127.0,89,38,13
msmarco-passage-trec-dl-2019,156493,1.0,0.7,256,256.0,255.0,179,76,18
msmarco-passage-trec-dl-2019,156493,1.0,0.7,512,512.0,511.0,358,153,25
msmarco-passage-trec-dl-2019,156493,1.0,0.7,1024,1024.0,1023.0,716,307,87
msmarco-passage-trec-dl-2019,156493,1.0,0.7,2048,2048.0,2047.0,1433,614,100
msmarco-passage-trec-dl-2019,156493,1.0,0.7,4096,4096.0,4095.0,2867,1228,100
msmarco-passage-trec-dl-2019,156493,1.0,0.7,8192,8192.0,8192.0,5000,3192,100
msmarco-passage-trec-dl-2019,156493,1.0,0.7,10000,10000.0,10000.0,5000,5000,100
msmarco-passage-trec-dl-2019,156493,1.0,0.75,128,128.0,128.0,96,32,9
msmarco-passage-trec-dl-2019,156493,1.0,0.75,256,256.0,256.0,192,64,18
msmarco-passage-trec-dl-2019,156493,1.0,0.75,512,512.0,512.0,384,128,24
msmarco-passage-trec-dl-2019,156493,1.0,0.75,1024,1024.0,1024.0,768,256,79
msmarco-passage-trec-dl-2019,156493,1.0,0.75,2048,2048.0,2048.0,1536,512,100
msmarco-passage-trec-dl-2019,156493,1.0,0.75,4096,4096.0,4096.0,3072,1024,100
msmarco-passage-trec-dl-2019,156493,1.0,0.75,8192,8192.0,8192.0,5000,3192,100
msmarco-passage-trec-dl-2019,156493,1.0,0.75,10000,10000.0,10000.0,5000,5000,100
msmarco-passage-trec-dl-2019,156493,1.0,0.8,128,128.0,127.0,102,25,5
msmarco-passage-trec-dl-2019,156493,1.0,0.8,256,256.0,255.0,204,51,15
msmarco-passage-trec-dl-2019,156493,1.0,0.8,512,512.0,511.0,409,102,21
msmarco-passage-trec-dl-2019,156493,1.0,0.8,1024,1024.0,1023.0,819,204,70
msmarco-passage-trec-dl-2019,156493,1.0,0.8,2048,2048.0,2047.0,1638,409,93
msmarco-passage-trec-dl-2019,156493,1.0,0.8,4096,4096.0,4095.0,3276,819,100
msmarco-passage-trec-dl-2019,156493,1.0,0.8,8192,8192.0,8192.0,5000,3192,100
msmarco-passage-trec-dl-2019,156493,1.0,0.8,10000,10000.0,10000.0,5000,5000,100
msmarco-passage-trec-dl-2019,156493,1.0,0.85,128,128.0,127.0,108,19,4
msmarco-passage-trec-dl-2019,156493,1.0,0.85,256,256.0,255.0,217,38,13
msmarco-passage-trec-dl-2019,156493,1.0,0.85,512,512.0,511.0,435,76,18
msmarco-passage-trec-dl-2019,156493,1.0,0.85,1024,1024.0,1023.0,870,153,25
msmarco-passage-trec-dl-2019,156493,1.0,0.85,2048,2048.0,2047.0,1740,307,87
msmarco-passage-trec-dl-2019,156493,1.0,0.85,4096,4096.0,4095.0,3481,614,100
msmarco-passage-trec-dl-2019,156493,1.0,0.85,8192,8192.0,8192.0,5000,3192,100
msmarco-passage-trec-dl-2019,156493,1.0,0.85,10000,10000.0,10000.0,5000,5000,100
msmarco-passage-trec-dl-2019,156493,1.0,0.9,128,128.0,127.0,115,12,1
msmarco-passage-trec-dl-2019,156493,1.0,0.9,256,256.0,255.0,230,25,5
msmarco-passage-trec-dl-2019,156493,1.0,0.9,512,512.0,511.0,460,51,15
msmarco-passage-trec-dl-2019,156493,1.0,0.9,1024,1024.0,1023.0,921,102,21
msmarco-passage-trec-dl-2019,156493,1.0,0.9,2048,2048.0,2047.0,1843,204,70
msmarco-passage-trec-dl-2019,156493,1.0,0.9,4096,4096.0,4095.0,3686,409,93
msmarco-passage-trec-dl-2019,156493,1.0,0.9,8192,8192.0,8192.0,5000,3192,100
msmarco-passage-trec-dl-2019,156493,1.0,0.9,10000,10000.0,10000.0,5000,5000,100
msmarco-passage-trec-dl-2019,156493,1.0,0.95,128,128.0,127.0,121,6,1
msmarco-passage-trec-dl-2019,156493,1.0,0.95,256,256.0,255.0,243,12,1
msmarco-passage-trec-dl-2019,156493,1.0,0.95,512,512.0,511.0,486,25,5
msmarco-passage-trec-dl-2019,156493,1.0,0.95,1024,1024.0,1023.0,972,51,15
msmarco-passage-trec-dl-2019,156493,1.0,0.95,2048,2048.0,2047.0,1945,102,21
msmarco-passage-trec-dl-2019,156493,1.0,0.95,4096,4096.0,4095.0,3891,204,70
msmarco-passage-trec-dl-2019,156493,1.0,0.95,8192,8192.0,8192.0,5000,3192,100
msmarco-passage-trec-dl-2019,156493,1.0,0.95,10000,10000.0,10000.0,5000,5000,100
msmarco-passage-trec-dl-2019,1110199,1.0,0.05,128,128.0,127.0,6,121,0
msmarco-passage-trec-dl-2019,1110199,1.0,0.05,256,256.0,255.0,12,243,1
msmarco-passage-trec-dl-2019,1110199,1.0,0.05,512,512.0,511.0,25,486,1
msmarco-passage-trec-dl-2019,1110199,1.0,0.05,1024,1024.0,1023.0,51,972,3
msmarco-passage-trec-dl-2019,1110199,1.0,0.05,2048,2048.0,2047.0,102,1945,3
msmarco-passage-trec-dl-2019,1110199,1.0,0.05,4096,4096.0,4095.0,204,3891,7
msmarco-passage-trec-dl-2019,1110199,1.0,0.05,8192,8192.0,8192.0,3192,5000,19
msmarco-passage-trec-dl-2019,1110199,1.0,0.05,10000,10000.0,10000.0,5000,5000,19
msmarco-passage-trec-dl-2019,1110199,1.0,0.1,128,128.0,127.0,12,115,1
msmarco-passage-trec-dl-2019,1110199,1.0,0.1,256,256.0,255.0,25,230,1
msmarco-passage-trec-dl-2019,1110199,1.0,0.1,512,512.0,511.0,51,460,3
msmarco-passage-trec-dl-2019,1110199,1.0,0.1,1024,1024.0,1023.0,102,921,3
msmarco-passage-trec-dl-2019,1110199,1.0,0.1,2048,2048.0,2047.0,204,1843,7
msmarco-passage-trec-dl-2019,1110199,1.0,0.1,4096,4096.0,4095.0,409,3686,9
msmarco-passage-trec-dl-2019,1110199,1.0,0.1,8192,8192.0,8192.0,3192,5000,19
msmarco-passage-trec-dl-2019,1110199,1.0,0.1,10000,10000.0,10000.0,5000,5000,19
msmarco-passage-trec-dl-2019,1110199,1.0,0.15,128,128.0,127.0,19,108,1
msmarco-passage-trec-dl-2019,1110199,1.0,0.15,256,256.0,255.0,38,217,3
msmarco-passage-trec-dl-2019,1110199,1.0,0.15,512,512.0,511.0,76,435,3
msmarco-passage-trec-dl-2019,1110199,1.0,0.15,1024,1024.0,1023.0,153,870,6
msmarco-passage-trec-dl-2019,1110199,1.0,0.15,2048,2048.0,2047.0,307,1740,7
msmarco-passage-trec-dl-2019,1110199,1.0,0.15,4096,4096.0,4095.0,614,3481,13
msmarco-passage-trec-dl-2019,1110199,1.0,0.15,8192,8192.0,8192.0,3192,5000,19
