dataset,query_id,dense_to_sparse_cost_ratio,dense_cost_share,base_budget,target_cost,charged_cost,dense_depth,sparse_depth,certified_k_cap100
msmarco-passage-trec-dl-2019,156493,0.0625,0.05,128,68.0,67.375,54,64,18
msmarco-passage-trec-dl-2019,156493,0.0625,0.05,256,136.0,135.75,108,129,24
msmarco-passage-trec-dl-2019,156493,0.0625,0.05,512,272.0,271.5625,217,258,61
msmarco-passage-trec-dl-2019,156493,0.0625,0.05,1024,544.0,543.1875,435,516,70
msmarco-passage-trec-dl-2019,156493,0.0625,0.05,2048,1088.0,1087.375,870,1033,100
msmarco-passage-trec-dl-2019,156493,0.0625,0.05,4096,2176.0,2175.75,1740,2067,100
msmarco-passage-trec-dl-2019,156493,0.0625,0.05,8192,4352.0,4351.5625,3481,4134,100
msmarco-passage-trec-dl-2019,156493,0.0625,0.05,10000,5312.5,5312.5,5000,5000,100
msmarco-passage-trec-dl-2019,156493,0.0625,0.1,128,68.0,67.75,108,61,18
msmarco-passage-trec-dl-2019,156493,0.0625,0.1,256,136.0,135.5625,217,122,24
msmarco-passage-trec-dl-2019,156493,0.0625,0.1,512,272.0,271.1875,435,244,70
msmarco-passage-trec-dl-2019,156493,0.0625,0.1,1024,544.0,543.375,870,489,100
msmarco-passage-trec-dl-2019,156493,0.0625,0.1,2048,1088.0,1087.75,1740,979,100
msmarco-passage-trec-dl-2019,156493,0.0625,0.1,4096,2176.0,2175.5625,3481,1958,100
msmarco-passage-trec-dl-2019,156493,0.0625,0.1,8192,4352.0,4351.5,5000,4039,100
msmarco-passage-trec-dl-2019,156493,0.0625,0.1,10000,5312.5,5312.5,5000,5000,100
msmarco-passage-trec-dl-2019,156493,0.0625,0.15,128,68.0,67.1875,163,57,16
msmarco-passage-trec-dl-2019,156493,0.0625,0.15,256,136.0,135.375,326,115,23
msmarco-passage-trec-dl-2019,156493,0.0625,0.15,512,272.0,271.75,652,231,76
msmarco-passage-trec-dl-2019,156493,0.0625,0.15,1024,544.0,543.5625,1305,462,100
msmarco-passage-trec-dl-2019,156493,0.0625,0.15,2048,1088.0,1087.1875,2611,924,100
msmarco-passage-trec-dl-2019,156493,0.0625,0.15,4096,2176.0,2175.5,5000,1863,100
msmarco-passage-trec-dl-2019,156493,0.0625,0.15,8192,4352.0,4351.5,5000,4039,100
msmarco-passage-trec-dl-2019,156493,0.0625,0.15,10000,5312.5,5312.5,5000,5000,100
msmarco-passage-trec-dl-2019,156493,0.0625,0.2,128,68.0,67.5625,217,54,16
msmarco-passage-trec-dl-2019,156493,0.0625,0.2,256,136.0,135.1875,435,108,22
msmarco-passage-trec-dl-2019,156493,0.0625,0.2,512,272.0,271.375,870,217,73
msmarco-passage-trec-dl-2019,156493,0.0625,0.2,1024,544.0,543.75,1740,435,100
msmarco-passage-trec-dl-2019,156493,0.0625,0.2,2048,1088.0,1087.5625,3481,870,100
msmarco-passage-trec-dl-2019,156493,0.0625,0.2,4096,2176.0,2175.5,5000,1863,100
msmarco-passage-trec-dl-2019,156493,0.0625,0.2,8192,4352.0,4351.5,5000,4039,100
msmarco-passage-trec-dl-2019,156493,0.0625,0.2,10000,5312.5,5312.5,5000,5000,100
msmarco-passage-trec-dl-2019,156493,0.0625,0.25,128,68.0,68.0,272,51,15
msmarco-passage-trec-dl-2019,156493,0.0625,0.25,256,136.0,136.0,544,102,21
msmarco-passage-trec-dl-2019,156493,0.0625,0.25,512,272.0,272.0,1088,204,70
msmarco-passage-trec-dl-2019,156493,0.0625,0.25,1024,544.0,544.0,2176,408,93
msmarco-passage-trec-dl-2019,156493,0.0625,0.25,2048,1088.0,1088.0,4352,816,100
msmarco-passage-trec-dl-2019,156493,0.0625,0.25,4096,2176.0,2175.5,5000,1863,100
msmarco-passage-trec-dl-2019,156493,0.0625,0.25,8192,4352.0,4351.5,5000,4039,100
