dataset,budget,cap,method,queries,actual_reads,returned,empty,has10,exact10,position_agreement10,top10_set_same_order_diff,ndcg10,recall
trec-covid-chrono-r1,128,20,balanced_cert,30,128,6.833333333333333,0,0.26666666666666666,0.26666666666666666,0.5933333333333334,0,0.5386165790064269,0.055458869627853985
trec-covid-chrono-r1,128,20,balanced_zero,30,128,20,0,1,0.5,0.77,0,0.6726557976015064,0.10515641392054287
trec-covid-chrono-r1,128,20,blocker_cert,30,128,6.833333333333333,0,0.26666666666666666,0.26666666666666666,0.5933333333333334,0,0.5386165790064269,0.055458869627853985
trec-covid-chrono-r1,128,20,blocker_zero,30,128,20,0,1,0.5,0.77,0,0.6726557976015064,0.10515641392054287
trec-covid-chrono-r1,128,20,fixed_topL_zero,30,128,20,0,1,0.5,0.77,0,0.6726557976015064,0.10515641392054287
trec-covid-chrono-r1,128,100,balanced_cert,30,128,6.833333333333333,0,0.26666666666666666,0.26666666666666666,0.5933333333333334,0,0.5386165790064269,0.055458869627853985
trec-covid-chrono-r1,128,100,balanced_zero,30,128,99.9,0,1,0.5,0.77,0,0.6726557976015064,0.2568363528373714
trec-covid-chrono-r1,128,100,blocker_cert,30,128,6.833333333333333,0,0.26666666666666666,0.26666666666666666,0.5933333333333334,0,0.5386165790064269,0.055458869627853985
trec-covid-chrono-r1,128,100,blocker_zero,30,128,99.9,0,1,0.5,0.77,0,0.6726557976015064,0.2568363528373714
trec-covid-chrono-r1,128,100,fixed_topL_zero,30,128,99.9,0,1,0.5,0.77,0,0.6726557976015064,0.2568363528373714
trec-covid-chrono-r1,256,20,balanced_cert,30,256,11.2,0,0.6,0.6,0.83,0,0.6233694284593291,0.0768395175588801
trec-covid-chrono-r1,256,20,balanced_zero,30,256,20,0,1,0.7333333333333333,0.8966666666666667,0,0.671992754127885,0.10702151682682037
trec-covid-chrono-r1,256,20,blocker_cert,30,256,11.2,0,0.6,0.6,0.83,0,0.6233694284593291,0.0768395175588801
trec-covid-chrono-r1,256,20,blocker_zero,30,256,20,0,1,0.7333333333333333,0.8966666666666667,0,0.671992754127885,0.10702151682682037
trec-covid-chrono-r1,256,20,fixed_topL_zero,30,256,20,0,1,0.7333333333333333,0.8966666666666667,0,0.671992754127885,0.10702151682682037
trec-covid-chrono-r1,256,100,balanced_cert,30,256,11.933333333333334,0,0.6,0.6,0.83,0,0.6233694284593291,0.08071211542065652
trec-covid-chrono-r1,256,100,balanced_zero,30,256,100,0,1,0.7333333333333333,0.8966666666666667,0,0.671992754127885,0.26286064104006424
trec-covid-chrono-r1,256,100,blocker_cert,30,256,11.933333333333334,0,0.6,0.6,0.83,0,0.6233694284593291,0.08071211542065652
trec-covid-chrono-r1,256,100,blocker_zero,30,256,100,0,1,0.7333333333333333,0.8966666666666667,0,0.671992754127885,0.26286064104006424
trec-covid-chrono-r1,256,100,fixed_topL_zero,30,256,100,0,1,0.7333333333333333,0.8966666666666667,0,0.671992754127885,0.26286064104006424
trec-covid-chrono-r1,512,20,balanced_cert,30,512,14.566666666666666,0,0.8,0.8,0.9233333333333333,0,0.6582081946611004,0.09110333150802546
trec-covid-chrono-r1,512,20,balanced_zero,30,512,20,0,1,0.9,0.9566666666666667,0.03333333333333333,0.6731836401174072,0.10624333236134637
trec-covid-chrono-r1,512,20,blocker_cert,30,512,14.666666666666666,0,0.8,0.8,0.9233333333333333,0,0.6582081946611004,0.09143015876953299
trec-covid-chrono-r1,512,20,blocker_zero,30,512,20,0,1,0.9,0.9566666666666667,0.03333333333333333,0.6731836401174072,0.10611610589824204
trec-covid-chrono-r1,512,20,fixed_topL_zero,30,512,20,0,1,0.9,0.9566666666666667,0.03333333333333333,0.6731836401174072,0.10624333236134637
trec-covid-chrono-r1,512,100,balanced_cert,30,512,16.866666666666667,0,0.8,0.8,0.9233333333333333,0,0.6582081946611004,0.1052392011580391
trec-covid-chrono-r1,512,100,balanced_zero,30,512,100,0,1,0.9,0.9566666666666667,0.03333333333333333,0.6731836401174072,0.2717585095594395
trec-covid-chrono-r1,512,100,blocker_cert,30,512,17.366666666666667,0,0.8,0.8,0.9233333333333333,0,0.6582081946611004,0.10768403711650269
trec-covid-chrono-r1,512,100,blocker_zero,30,512,100,0,1,0.9,0.9566666666666667,0.03333333333333333,0.6731836401174072,0.2729168451203412
trec-covid-chrono-r1,512,100,fixed_topL_zero,30,512,100,0,1,0.9,0.9566666666666667,0.03333333333333333,0.6731836401174072,0.2717585095594395
trec-covid-chrono-r1,1024,20,balanced_cert,30,1024,16.3,0,0.9,0.9,0.9566666666666667,0,0.6671471362863891,0.09584750228734491
trec-covid-chrono-r1,1024,20,balanced_zero,30,1024,20,0,1,0.9333333333333333,0.9666666666666667,0,0.6738575948748494,0.10589854618116692
trec-covid-chrono-r1,1024,20,blocker_cert,30,1024,16.566666666666666,0,0.9,0.9,0.9566666666666667,0,0.6671471362863891,0.09648625193925246
