budget,cap,method,actual_reads,returned,empty,has10,exact10,position_agreement10,top10_set_same_order_diff,ndcg10,recall
128,20,balanced_cert,128,5.693333333333333,0.06666666666666667,0.22,0.22,0.528,0,0.508096187121493,0.025179442560728887
128,20,balanced_zero,128,20,0,1,0.37333333333333335,0.674,0.013333333333333332,0.70823110968196,0.0556570469692852
128,20,blocker_cert,128,5.693333333333333,0.06666666666666667,0.22,0.22,0.528,0,0.508096187121493,0.025179442560728887
128,20,blocker_zero,128,20,0,1,0.37333333333333335,0.674,0.013333333333333332,0.70823110968196,0.0556570469692852
128,20,fixed_topL_zero,128,20,0,1,0.37333333333333335,0.674,0.013333333333333332,0.70823110968196,0.0556570469692852
128,100,balanced_cert,128,5.693333333333333,0.06666666666666667,0.22,0.22,0.528,0,0.508096187121493,0.025179442560728887
128,100,balanced_zero,128,99.88,0,1,0.37333333333333335,0.674,0.013333333333333332,0.70823110968196,0.16424216868596866
128,100,blocker_cert,128,5.693333333333333,0.06666666666666667,0.22,0.22,0.528,0,0.508096187121493,0.025179442560728887
128,100,blocker_zero,128,99.88,0,1,0.37333333333333335,0.674,0.013333333333333332,0.70823110968196,0.16424216868596866
128,100,fixed_topL_zero,128,99.88,0,1,0.37333333333333335,0.674,0.013333333333333332,0.70823110968196,0.16424216868596866
256,20,balanced_cert,256,9.386666666666667,0.006666666666666666,0.44666666666666666,0.44666666666666666,0.7213333333333333,0,0.6163409103907042,0.03682003537714936
256,20,balanced_zero,256,20,0,1,0.6133333333333333,0.8293333333333334,0.013333333333333332,0.7268492558772135,0.05798654534037643
256,20,blocker_cert,256,9.386666666666667,0.006666666666666666,0.44666666666666666,0.44666666666666666,0.7213333333333333,0,0.6163409103907042,0.03682003537714936
256,20,blocker_zero,256,20,0,1,0.6133333333333333,0.8293333333333334,0.013333333333333332,0.7268492558772135,0.05798654534037643
256,20,fixed_topL_zero,256,20,0,1,0.6133333333333333,0.8293333333333334,0.013333333333333332,0.7268492558772135,0.05798654534037643
256,100,balanced_cert,256,9.713333333333333,0.006666666666666666,0.44666666666666666,0.44666666666666666,0.7213333333333333,0,0.6163409103907042,0.03824668296700619
256,100,balanced_zero,256,100,0,1,0.6133333333333333,0.8293333333333334,0.013333333333333332,0.7268492558772135,0.16923119486803065
256,100,blocker_cert,256,9.713333333333333,0.006666666666666666,0.44666666666666666,0.44666666666666666,0.7213333333333333,0,0.6163409103907042,0.03824668296700619
256,100,blocker_zero,256,100,0,1,0.6133333333333333,0.8293333333333334,0.013333333333333332,0.7268492558772135,0.16923119486803065
256,100,fixed_topL_zero,256,100,0,1,0.6133333333333333,0.8293333333333334,0.013333333333333332,0.7268492558772135,0.16923119486803065
512,20,balanced_cert,512,12.646666666666667,0,0.64,0.64,0.8386666666666667,0,0.6748824956644431,0.04617026623585358
512,20,balanced_zero,512,20,0,1,0.7666666666666666,0.9026666666666667,0.02,0.7276525770008494,0.05845666970236148
512,20,blocker_cert,512,12.706666666666667,0,0.64,0.64,0.8393333333333334,0,0.6753715884784388,0.046282665069612004
512,20,blocker_zero,512,20,0,1,0.7666666666666666,0.9026666666666667,0.02,0.7276525770008494,0.05844137154317541
