dataset,query_id,budget,cap,method,dense_depth,sparse_depth,actual_reads,candidates,returned,empty,has10,exact10,position_agreement10,top10_set_same_order_diff,ndcg10,recall
trec-covid-chrono-r1,1,128,20,fixed_topL_zero,64,64,128,123,20,0,1,0,0.4,0,0.3306563239944826,0.019736842105263157
trec-covid-chrono-r1,1,128,100,fixed_topL_zero,64,64,128,123,100,0,1,0,0.4,0,0.3306563239944826,0.04276315789473684
trec-covid-chrono-r1,1,128,20,balanced_zero,64,64,128,123,20,0,1,0,0.4,0,0.3306563239944826,0.019736842105263157
trec-covid-chrono-r1,1,128,100,balanced_zero,64,64,128,123,100,0,1,0,0.4,0,0.3306563239944826,0.04276315789473684
trec-covid-chrono-r1,1,128,20,balanced_cert,64,64,128,123,2,0,0,0,0.2,0,0.22009176629808017,0.003289473684210526
trec-covid-chrono-r1,1,128,100,balanced_cert,64,64,128,123,2,0,0,0,0.2,0,0.22009176629808017,0.003289473684210526
trec-covid-chrono-r1,1,128,20,blocker_zero,64,64,128,123,20,0,1,0,0.4,0,0.3306563239944826,0.019736842105263157
trec-covid-chrono-r1,1,128,100,blocker_zero,64,64,128,123,100,0,1,0,0.4,0,0.3306563239944826,0.04276315789473684
trec-covid-chrono-r1,1,128,20,blocker_cert,64,64,128,123,2,0,0,0,0.2,0,0.22009176629808017,0.003289473684210526
trec-covid-chrono-r1,1,128,100,blocker_cert,64,64,128,123,2,0,0,0,0.2,0,0.22009176629808017,0.003289473684210526
trec-covid-chrono-r1,1,256,20,fixed_topL_zero,128,128,256,240,20,0,1,0,0.4,0,0.5058674257113213,0.02631578947368421
trec-covid-chrono-r1,1,256,100,fixed_topL_zero,128,128,256,240,100,0,1,0,0.4,0,0.5058674257113213,0.046052631578947366
trec-covid-chrono-r1,1,256,20,balanced_zero,128,128,256,240,20,0,1,0,0.4,0,0.5058674257113213,0.02631578947368421
trec-covid-chrono-r1,1,256,100,balanced_zero,128,128,256,240,100,0,1,0,0.4,0,0.5058674257113213,0.046052631578947366
trec-covid-chrono-r1,1,256,20,balanced_cert,128,128,256,240,4,0,0,0,0.4,0,0.2516878877545971,0.006578947368421052
trec-covid-chrono-r1,1,256,100,balanced_cert,128,128,256,240,4,0,0,0,0.4,0,0.2516878877545971,0.006578947368421052
trec-covid-chrono-r1,1,256,20,blocker_zero,128,128,256,240,20,0,1,0,0.4,0,0.5058674257113213,0.02631578947368421
trec-covid-chrono-r1,1,256,100,blocker_zero,128,128,256,240,100,0,1,0,0.4,0,0.5058674257113213,0.046052631578947366
trec-covid-chrono-r1,1,256,20,blocker_cert,128,128,256,240,4,0,0,0,0.4,0,0.2516878877545971,0.006578947368421052
trec-covid-chrono-r1,1,256,100,blocker_cert,128,128,256,240,4,0,0,0,0.4,0,0.2516878877545971,0.006578947368421052
trec-covid-chrono-r1,1,512,20,fixed_topL_zero,256,256,512,471,20,0,1,1,1.0,0,0.4402090130594238,0.03289473684210526
trec-covid-chrono-r1,1,512,100,fixed_topL_zero,256,256,512,471,100,0,1,1,1.0,0,0.4402090130594238,0.05592105263157895
trec-covid-chrono-r1,1,512,20,balanced_zero,256,256,512,471,20,0,1,1,1.0,0,0.4402090130594238,0.03289473684210526
trec-covid-chrono-r1,1,512,100,balanced_zero,256,256,512,471,100,0,1,1,1.0,0,0.4402090130594238,0.05592105263157895
trec-covid-chrono-r1,1,512,20,balanced_cert,256,256,512,471,7,0,0,0,0.7,0,0.3045235676682574,0.013157894736842105
trec-covid-chrono-r1,1,512,100,balanced_cert,256,256,512,471,7,0,0,0,0.7,0,0.3045235676682574,0.013157894736842105
trec-covid-chrono-r1,1,512,20,blocker_zero,256,256,512,471,20,0,1,1,1.0,0,0.4402090130594238,0.03289473684210526
trec-covid-chrono-r1,1,512,100,blocker_zero,256,256,512,471,100,0,1,1,1.0,0,0.4402090130594238,0.05592105263157895
trec-covid-chrono-r1,1,512,20,blocker_cert,256,256,512,471,7,0,0,0,0.7,0,0.3045235676682574,0.013157894736842105
trec-covid-chrono-r1,1,512,100,blocker_cert,256,256,512,471,7,0,0,0,0.7,0,0.3045235676682574,0.013157894736842105
trec-covid-chrono-r1,1,1024,20,fixed_topL_zero,512,512,1024,916,20,0,1,1,1.0,0,0.4402090130594238,0.03289473684210526
trec-covid-chrono-r1,1,1024,100,fixed_topL_zero,512,512,1024,916,100,0,1,1,1.0,0,0.4402090130594238,0.05592105263157895
trec-covid-chrono-r1,1,1024,20,balanced_zero,512,512,1024,916,20,0,1,1,1.0,0,0.4402090130594238,0.03289473684210526
trec-covid-chrono-r1,1,1024,100,balanced_zero,512,512,1024,916,100,0,1,1,1.0,0,0.4402090130594238,0.05592105263157895
trec-covid-chrono-r1,1,1024,20,balanced_cert,512,512,1024,916,12,0,1,1,1.0,0,0.4402090130594238,0.019736842105263157
trec-covid-chrono-r1,1,1024,100,balanced_cert,512,512,1024,916,12,0,1,1,1.0,0,0.4402090130594238,0.019736842105263157
