dataset,budget,method,cap,ndcg10_linear,ndcg10_exponential,recall
trec-covid-chrono-r1,128,balanced_cert,20,0.5557876152422155,0.5386165790064269,0.055458869627853985
trec-covid-chrono-r1,128,balanced_cert,100,0.5557876152422155,0.5386165790064269,0.055458869627853985
trec-covid-chrono-r1,128,balanced_zero,20,0.7044331191802493,0.6726557976015064,0.10515641392054287
trec-covid-chrono-r1,128,balanced_zero,100,0.7044331191802493,0.6726557976015064,0.2568363528373714
trec-covid-chrono-r1,128,blocker_cert,20,0.5557876152422155,0.5386165790064269,0.055458869627853985
trec-covid-chrono-r1,128,blocker_cert,100,0.5557876152422155,0.5386165790064269,0.055458869627853985
trec-covid-chrono-r1,128,blocker_zero,20,0.7044331191802493,0.6726557976015064,0.10515641392054287
trec-covid-chrono-r1,128,blocker_zero,100,0.7044331191802493,0.6726557976015064,0.2568363528373714
trec-covid-chrono-r1,128,fixed_topL_zero,20,0.7044331191802493,0.6726557976015064,0.10515641392054287
trec-covid-chrono-r1,128,fixed_topL_zero,100,0.7044331191802493,0.6726557976015064,0.2568363528373714
trec-covid-chrono-r1,256,balanced_cert,20,0.6478627484889915,0.623369428459329,0.0768395175588801
trec-covid-chrono-r1,256,balanced_cert,100,0.6478627484889915,0.623369428459329,0.08071211542065652
trec-covid-chrono-r1,256,balanced_zero,20,0.7019524784092841,0.671992754127885,0.10702151682682037
trec-covid-chrono-r1,256,balanced_zero,100,0.7019524784092841,0.671992754127885,0.26286064104006424
trec-covid-chrono-r1,256,blocker_cert,20,0.6478627484889915,0.623369428459329,0.0768395175588801
trec-covid-chrono-r1,256,blocker_cert,100,0.6478627484889915,0.623369428459329,0.08071211542065652
trec-covid-chrono-r1,256,blocker_zero,20,0.7019524784092841,0.671992754127885,0.10702151682682037
trec-covid-chrono-r1,256,blocker_zero,100,0.7019524784092841,0.671992754127885,0.26286064104006424
trec-covid-chrono-r1,256,fixed_topL_zero,20,0.7019524784092841,0.671992754127885,0.10702151682682037
