dataset,query_id,policy,work_budget,dense_depth,sparse_depth,actual_work,dense_work_share,absolute_depth_gap,certified_k_cap100,certified_at_least_100,next_certificate_gap,seen_candidates,returned_ndcg_at10,full_ndcg_at10,ndcg_retention,returned_recall_at100,full_recall_at100,recall_retention
trec-covid-chrono-r1,1,balanced,128,64,64,128,0.5,0,2,0,-0.0015985909849405289,123,0.22009176629808017,0.4402090130594238,0.4999710586760976,0.003289473684210526,0.05263157894736842,0.0625
trec-covid-chrono-r1,1,balanced,256,128,128,256,0.5,0,4,0,-0.0023831427097320557,240,0.2516878877545971,0.4402090130594238,0.5717463302384083,0.006578947368421052,0.05263157894736842,0.125
trec-covid-chrono-r1,1,balanced,512,256,256,512,0.5,0,7,0,-0.00022855214774608612,471,0.3045235676682574,0.4402090130594238,0.6917704059529326,0.013157894736842105,0.05263157894736842,0.25
trec-covid-chrono-r1,1,balanced,1024,512,512,1024,0.5,0,12,0,-3.610551357269287e-05,916,0.4402090130594238,0.4402090130594238,1.0,0.019736842105263157,0.05263157894736842,0.375
trec-covid-chrono-r1,1,balanced,2048,1024,1024,2048,0.5,0,17,0,-1.5147030353546143e-05,1691,0.4402090130594238,0.4402090130594238,1.0,0.029605263157894735,0.05263157894736842,0.5625
trec-covid-chrono-r1,1,balanced,4096,2048,2048,4096,0.5,0,25,0,-1.4191493391990662e-05,2815,0.4402090130594238,0.4402090130594238,1.0,0.03618421052631579,0.05263157894736842,0.6875000000000001
trec-covid-chrono-r1,1,balanced,8192,4096,4096,8192,0.5,0,100,1,-inf,5513,0.4402090130594238,0.4402090130594238,1.0,0.05263157894736842,0.05263157894736842,1.0
trec-covid-chrono-r1,1,balanced,10000,5000,5000,10000,0.5,0,100,1,-inf,7069,0.4402090130594238,0.4402090130594238,1.0,0.05263157894736842,0.05263157894736842,1.0
trec-covid-chrono-r1,1,blocker,128,64,64,128,0.5,0,2,0,-0.0015985909849405289,123,0.22009176629808017,0.4402090130594238,0.4999710586760976,0.003289473684210526,0.05263157894736842,0.0625
trec-covid-chrono-r1,1,blocker,256,128,128,256,0.5,0,4,0,-0.0023831427097320557,240,0.2516878877545971,0.4402090130594238,0.5717463302384083,0.006578947368421052,0.05263157894736842,0.125
trec-covid-chrono-r1,1,blocker,512,256,256,512,0.5,0,7,0,-0.00022855214774608612,471,0.3045235676682574,0.4402090130594238,0.6917704059529326,0.013157894736842105,0.05263157894736842,0.25
trec-covid-chrono-r1,1,blocker,1024,576,448,1024,0.5625,128,13,0,-0.00065632164478302,913,0.4402090130594238,0.4402090130594238,1.0,0.023026315789473683,0.05263157894736842,0.4375
trec-covid-chrono-r1,1,blocker,2048,1024,1024,2048,0.5,0,17,0,-1.5147030353546143e-05,1691,0.4402090130594238,0.4402090130594238,1.0,0.029605263157894735,0.05263157894736842,0.5625
trec-covid-chrono-r1,1,blocker,4096,1856,2240,4096,0.453125,384,27,0,-3.3000484108924866e-05,2767,0.4402090130594238,0.4402090130594238,1.0,0.03618421052631579,0.05263157894736842,0.6875000000000001
trec-covid-chrono-r1,1,blocker,8192,4096,4096,8192,0.5,0,100,1,-inf,5513,0.4402090130594238,0.4402090130594238,1.0,0.05263157894736842,0.05263157894736842,1.0
trec-covid-chrono-r1,1,blocker,10000,5000,5000,10000,0.5,0,100,1,-inf,7069,0.4402090130594238,0.4402090130594238,1.0,0.05263157894736842,0.05263157894736842,1.0
trec-covid-chrono-r1,2,balanced,128,64,64,128,0.5,0,2,0,-0.001867322251200676,125,0.3589542101716347,0.6312726719634206,0.5686199104028924,0.022727272727272728,0.3181818181818182,0.07142857142857144
trec-covid-chrono-r1,2,balanced,256,128,128,256,0.5,0,3,0,-0.003041071817278862,248,0.3589542101716347,0.6312726719634206,0.5686199104028924,0.022727272727272728,0.3181818181818182,0.07142857142857144
trec-covid-chrono-r1,2,balanced,512,256,256,512,0.5,0,4,0,-0.0004183463752269745,483,0.4537425745411855,0.6312726719634206,0.718774302600379,0.03409090909090909,0.3181818181818182,0.10714285714285714
trec-covid-chrono-r1,2,balanced,1024,512,512,1024,0.5,0,8,0,-0.0004615131765604019,982,0.5650184485090316,0.6312726719634206,0.8950465838346505,0.056818181818181816,0.3181818181818182,0.17857142857142858
trec-covid-chrono-r1,2,balanced,2048,1024,1024,2048,0.5,0,9,0,-0.0006119012832641602,1928,0.6312726719634206,0.6312726719634206,1.0,0.06818181818181818,0.3181818181818182,0.21428571428571427
trec-covid-chrono-r1,2,balanced,4096,2048,2048,4096,0.5,0,9,0,-0.00016377680003643036,3751,0.6312726719634206,0.6312726719634206,1.0,0.06818181818181818,0.3181818181818182,0.21428571428571427
trec-covid-chrono-r1,2,balanced,8192,4096,4096,8192,0.5,0,10,0,-8.801184594631195e-05,7370,0.6312726719634206,0.6312726719634206,1.0,0.06818181818181818,0.3181818181818182,0.21428571428571427
trec-covid-chrono-r1,2,balanced,10000,5000,5000,10000,0.5,0,10,0,-4.502385854721069e-05,8983,0.6312726719634206,0.6312726719634206,1.0,0.06818181818181818,0.3181818181818182,0.21428571428571427
trec-covid-chrono-r1,2,blocker,128,64,64,128,0.5,0,2,0,-0.001867322251200676,125,0.3589542101716347,0.6312726719634206,0.5686199104028924,0.022727272727272728,0.3181818181818182,0.07142857142857144
trec-covid-chrono-r1,2,blocker,256,128,128,256,0.5,0,3,0,-0.003041071817278862,248,0.3589542101716347,0.6312726719634206,0.5686199104028924,0.022727272727272728,0.3181818181818182,0.07142857142857144
trec-covid-chrono-r1,2,blocker,512,256,256,512,0.5,0,4,0,-0.0004183463752269745,483,0.4537425745411855,0.6312726719634206,0.718774302600379,0.03409090909090909,0.3181818181818182,0.10714285714285714
trec-covid-chrono-r1,2,blocker,1024,576,448,1024,0.5625,128,8,0,-0.0004173535853624344,980,0.5650184485090316,0.6312726719634206,0.8950465838346505,0.056818181818181816,0.3181818181818182,0.17857142857142858
trec-covid-chrono-r1,2,blocker,2048,1152,896,2048,0.5625,256,9,0,-0.000514475628733635,1931,0.6312726719634206,0.6312726719634206,1.0,0.06818181818181818,0.3181818181818182,0.21428571428571427
trec-covid-chrono-r1,2,blocker,4096,2560,1536,4096,0.625,1024,9,0,-7.107295095920563e-05,3791,0.6312726719634206,0.6312726719634206,1.0,0.06818181818181818,0.3181818181818182,0.21428571428571427
trec-covid-chrono-r1,2,blocker,8192,5000,3192,8192,0.6103515625,1808,10,0,-4.502385854721069e-05,7313,0.6312726719634206,0.6312726719634206,1.0,0.06818181818181818,0.3181818181818182,0.21428571428571427
trec-covid-chrono-r1,2,blocker,10000,5000,5000,10000,0.5,0,10,0,-4.502385854721069e-05,8983,0.6312726719634206,0.6312726719634206,1.0,0.06818181818181818,0.3181818181818182,0.21428571428571427
trec-covid-chrono-r1,3,balanced,128,64,64,128,0.5,0,2,0,-0.002044694498181343,120,0.3589542101716347,0.7333241361089944,0.4894891528816162,0.007633587786259542,0.17557251908396945,0.043478260869565216
trec-covid-chrono-r1,3,balanced,256,128,128,256,0.5,0,9,0,-0.0008279215544462204,235,0.6697033479100428,0.7333241361089944,0.9132432916547348,0.026717557251908396,0.17557251908396945,0.15217391304347827
trec-covid-chrono-r1,3,balanced,512,256,256,512,0.5,0,14,0,-0.00021026656031608582,465,0.7333241361089944,0.7333241361089944,1.0,0.04580152671755725,0.17557251908396945,0.2608695652173913
trec-covid-chrono-r1,3,balanced,1024,512,512,1024,0.5,0,20,0,-1.1045485734939575e-06,908,0.7333241361089944,0.7333241361089944,1.0,0.061068702290076333,0.17557251908396945,0.34782608695652173
trec-covid-chrono-r1,3,balanced,2048,1024,1024,2048,0.5,0,24,0,-2.0716339349746704e-05,1778,0.7333241361089944,0.7333241361089944,1.0,0.07251908396946564,0.17557251908396945,0.41304347826086957
trec-covid-chrono-r1,3,balanced,4096,2048,2048,4096,0.5,0,30,0,-0.00036604516208171844,3473,0.7333241361089944,0.7333241361089944,1.0,0.0916030534351145,0.17557251908396945,0.5217391304347826
trec-covid-chrono-r1,3,balanced,8192,4096,4096,8192,0.5,0,34,0,-0.00013451464474201202,6750,0.7333241361089944,0.7333241361089944,1.0,0.09923664122137404,0.17557251908396945,0.5652173913043479
trec-covid-chrono-r1,3,balanced,10000,5000,5000,10000,0.5,0,34,0,-9.152665734291077e-05,8166,0.7333241361089944,0.7333241361089944,1.0,0.09923664122137404,0.17557251908396945,0.5652173913043479
trec-covid-chrono-r1,3,blocker,128,64,64,128,0.5,0,2,0,-0.002044694498181343,120,0.3589542101716347,0.7333241361089944,0.4894891528816162,0.007633587786259542,0.17557251908396945,0.043478260869565216
trec-covid-chrono-r1,3,blocker,256,128,128,256,0.5,0,9,0,-0.0008279215544462204,235,0.6697033479100428,0.7333241361089944,0.9132432916547348,0.026717557251908396,0.17557251908396945,0.15217391304347827
trec-covid-chrono-r1,3,blocker,512,320,192,512,0.625,128,15,0,-0.0005987938493490219,468,0.7333241361089944,0.7333241361089944,1.0,0.04961832061068702,0.17557251908396945,0.28260869565217395
trec-covid-chrono-r1,3,blocker,1024,640,384,1024,0.625,256,21,0,-0.00046243704855442047,910,0.7333241361089944,0.7333241361089944,1.0,0.061068702290076333,0.17557251908396945,0.34782608695652173
trec-covid-chrono-r1,3,blocker,2048,1408,640,2048,0.6875,768,28,0,-0.00010478496551513672,1800,0.7333241361089944,0.7333241361089944,1.0,0.08396946564885496,0.17557251908396945,0.4782608695652174
trec-covid-chrono-r1,3,blocker,4096,2944,1152,4096,0.71875,1792,32,0,-1.9399449229240417e-05,3590,0.7333241361089944,0.7333241361089944,1.0,0.0916030534351145,0.17557251908396945,0.5217391304347826
trec-covid-chrono-r1,3,blocker,8192,5000,3192,8192,0.6103515625,1808,34,0,-9.152665734291077e-05,6827,0.7333241361089944,0.7333241361089944,1.0,0.09923664122137404,0.17557251908396945,0.5652173913043479
trec-covid-chrono-r1,3,blocker,10000,5000,5000,10000,0.5,0,34,0,-9.152665734291077e-05,8166,0.7333241361089944,0.7333241361089944,1.0,0.09923664122137404,0.17557251908396945,0.5652173913043479
trec-covid-chrono-r1,4,balanced,128,64,64,128,0.5,0,3,0,-0.00023000873625278473,111,0.37642513073830514,0.6168647000880483,0.6102231667407392,0.024793388429752067,0.2809917355371901,0.08823529411764706
trec-covid-chrono-r1,4,balanced,256,128,128,256,0.5,0,12,0,-0.0005899351090192795,224,0.6168647000880483,0.6168647000880483,1.0,0.09090909090909091,0.2809917355371901,0.3235294117647059
trec-covid-chrono-r1,4,balanced,512,256,256,512,0.5,0,17,0,-0.0005233921110630035,441,0.6168647000880483,0.6168647000880483,1.0,0.11570247933884298,0.2809917355371901,0.4117647058823529
trec-covid-chrono-r1,4,balanced,1024,512,512,1024,0.5,0,19,0,-0.00026537105441093445,856,0.6168647000880483,0.6168647000880483,1.0,0.11570247933884298,0.2809917355371901,0.4117647058823529
trec-covid-chrono-r1,4,balanced,2048,1024,1024,2048,0.5,0,24,0,-1.4858320355415344e-05,1611,0.6168647000880483,0.6168647000880483,1.0,0.12396694214876033,0.2809917355371901,0.4411764705882353
trec-covid-chrono-r1,4,balanced,4096,2048,2048,4096,0.5,0,35,0,-0.00042368192225694656,2899,0.6168647000880483,0.6168647000880483,1.0,0.12396694214876033,0.2809917355371901,0.4411764705882353
trec-covid-chrono-r1,4,balanced,8192,4096,4096,8192,0.5,0,56,0,-4.579219967126846e-05,5464,0.6168647000880483,0.6168647000880483,1.0,0.19008264462809918,0.2809917355371901,0.6764705882352942
trec-covid-chrono-r1,4,balanced,10000,5000,5000,10000,0.5,0,56,0,-2.8051435947418213e-06,6998,0.6168647000880483,0.6168647000880483,1.0,0.19008264462809918,0.2809917355371901,0.6764705882352942
trec-covid-chrono-r1,4,blocker,128,64,64,128,0.5,0,3,0,-0.00023000873625278473,111,0.37642513073830514,0.6168647000880483,0.6102231667407392,0.024793388429752067,0.2809917355371901,0.08823529411764706
trec-covid-chrono-r1,4,blocker,256,128,128,256,0.5,0,12,0,-0.0005899351090192795,224,0.6168647000880483,0.6168647000880483,1.0,0.09090909090909091,0.2809917355371901,0.3235294117647059
trec-covid-chrono-r1,4,blocker,512,256,256,512,0.5,0,17,0,-0.0005233921110630035,441,0.6168647000880483,0.6168647000880483,1.0,0.11570247933884298,0.2809917355371901,0.4117647058823529
trec-covid-chrono-r1,4,blocker,1024,448,576,1024,0.4375,128,19,0,-0.00021239742636680603,860,0.6168647000880483,0.6168647000880483,1.0,0.11570247933884298,0.2809917355371901,0.4117647058823529
trec-covid-chrono-r1,4,blocker,2048,768,1280,2048,0.375,512,26,0,-0.00032041966915130615,1688,0.6168647000880483,0.6168647000880483,1.0,0.12396694214876033,0.2809917355371901,0.4411764705882353
trec-covid-chrono-r1,4,blocker,4096,1408,2688,4096,0.34375,1280,35,0,-0.00031319912523031235,2893,0.6168647000880483,0.6168647000880483,1.0,0.12396694214876033,0.2809917355371901,0.4411764705882353
trec-covid-chrono-r1,4,blocker,8192,5000,3192,8192,0.6103515625,1808,56,0,-2.8051435947418213e-06,5512,0.6168647000880483,0.6168647000880483,1.0,0.19008264462809918,0.2809917355371901,0.6764705882352942
trec-covid-chrono-r1,4,blocker,10000,5000,5000,10000,0.5,0,56,0,-2.8051435947418213e-06,6998,0.6168647000880483,0.6168647000880483,1.0,0.19008264462809918,0.2809917355371901,0.6764705882352942
trec-covid-chrono-r1,5,balanced,128,64,64,128,0.5,0,13,0,-0.0013575851917266846,105,0.9510907186004267,0.9510907186004267,1.0,0.05263157894736842,0.29959514170040485,0.17567567567567566
trec-covid-chrono-r1,5,balanced,256,128,128,256,0.5,0,18,0,-0.0002048872411251068,213,0.9510907186004267,0.9510907186004267,1.0,0.0728744939271255,0.29959514170040485,0.24324324324324323
trec-covid-chrono-r1,5,balanced,512,256,256,512,0.5,0,25,0,-0.0005315765738487244,419,0.9510907186004267,0.9510907186004267,1.0,0.09716599190283401,0.29959514170040485,0.32432432432432434
trec-covid-chrono-r1,5,balanced,1024,512,512,1024,0.5,0,33,0,-0.0002628304064273834,833,0.9510907186004267,0.9510907186004267,1.0,0.12550607287449392,0.29959514170040485,0.4189189189189189
trec-covid-chrono-r1,5,balanced,2048,1024,1024,2048,0.5,0,36,0,-4.5435503125190735e-05,1628,0.9510907186004267,0.9510907186004267,1.0,0.13765182186234817,0.29959514170040485,0.45945945945945943
trec-covid-chrono-r1,5,balanced,4096,2048,2048,4096,0.5,0,39,0,-8.638948202133179e-06,3088,0.9510907186004267,0.9510907186004267,1.0,0.1417004048582996,0.29959514170040485,0.47297297297297297
trec-covid-chrono-r1,5,balanced,8192,4096,4096,8192,0.5,0,59,0,-0.0001746341586112976,6009,0.9510907186004267,0.9510907186004267,1.0,0.1862348178137652,0.29959514170040485,0.6216216216216217
trec-covid-chrono-r1,5,balanced,10000,5000,5000,10000,0.5,0,59,0,-0.00013164710253477097,7305,0.9510907186004267,0.9510907186004267,1.0,0.1862348178137652,0.29959514170040485,0.6216216216216217
trec-covid-chrono-r1,5,blocker,128,64,64,128,0.5,0,13,0,-0.0013575851917266846,105,0.9510907186004267,0.9510907186004267,1.0,0.05263157894736842,0.29959514170040485,0.17567567567567566
trec-covid-chrono-r1,5,blocker,256,128,128,256,0.5,0,18,0,-0.0002048872411251068,213,0.9510907186004267,0.9510907186004267,1.0,0.0728744939271255,0.29959514170040485,0.24324324324324323
trec-covid-chrono-r1,5,blocker,512,256,256,512,0.5,0,25,0,-0.0005315765738487244,419,0.9510907186004267,0.9510907186004267,1.0,0.09716599190283401,0.29959514170040485,0.32432432432432434
trec-covid-chrono-r1,5,blocker,1024,448,576,1024,0.4375,128,33,0,-8.690729737281799e-05,834,0.9510907186004267,0.9510907186004267,1.0,0.12550607287449392,0.29959514170040485,0.4189189189189189
trec-covid-chrono-r1,5,blocker,2048,768,1280,2048,0.375,512,38,0,-3.948807716369629e-05,1646,0.9510907186004267,0.9510907186004267,1.0,0.13765182186234817,0.29959514170040485,0.45945945945945943
trec-covid-chrono-r1,5,blocker,4096,1152,2944,4096,0.28125,1792,41,0,-8.309073746204376e-05,3317,0.9510907186004267,0.9510907186004267,1.0,0.145748987854251,0.29959514170040485,0.48648648648648646
